hometeam,awayteam,season,homewin,draw,awaywin
AS Roma ,Liverpool,2018,0.3678393609,0.240685014,0.3914756251
Real Madrid ,Bayern Munich,2018,0.4070642165,0.2378688209,0.3550669626
Bayern Munich ,Real Madrid,2018,0.4873308997,0.2388876959,0.2737814043
Liverpool ,AS Roma,2018,0.6423208378,0.211442195,0.1462369672
Bayern Munich ,Sevilla,2018,0.7649480797,0.1426858743,0.092366046
Real Madrid ,Juventus,2018,0.5897919067,0.2205835973,0.189624496
AS Roma ,Barcelona,2018,0.2063776271,0.2203851583,0.5732372146
Manchester City ,Liverpool,2018,0.6529025265,0.1835759971,0.1635214764
Barcelona ,AS Roma,2018,0.7942878997,0.1378174493,0.06789465094
Liverpool ,Manchester City,2018,0.314910787,0.2696749833,0.4154142297
Juventus ,Real Madrid,2018,0.3242303412,0.3002132789,0.3755563798
Sevilla ,Bayern Munich,2018,0.1644077802,0.2190872217,0.6165049981
Barcelona ,Chelsea,2018,0.6554072074,0.2096127055,0.1349800871
Besiktas ,Bayern Munich,2018,0.1101675603,0.1631291847,0.726703255
AS Roma ,Shakhtar Donetsk,2018,0.5864484349,0.2240252935,0.1895262717
Manchester Utd ,Sevilla,2018,0.5923801657,0.2382625101,0.1693573242
Manchester City ,Basel,2018,0.7578716534,0.1675579675,0.07457037909
Tottenham ,Juventus,2018,0.4324595625,0.2788063082,0.2887341293
Liverpool ,FC Porto,2018,0.673796345,0.2060770549,0.1201266001
Paris SG ,Real Madrid,2018,0.543667887,0.2121731086,0.2441590044
Sevilla ,Manchester Utd,2018,0.3608086789,0.2986385681,0.3405527531
Shakhtar Donetsk ,AS Roma,2018,0.372964422,0.290331586,0.3367039921
Bayern Munich ,Besiktas,2018,0.8592133609,0.1011400643,0.03964657481
Chelsea ,Barcelona,2018,0.2763700822,0.2912642782,0.4323656396
FC Porto ,Liverpool,2018,0.2701510513,0.2779140125,0.4519349362
Real Madrid ,Paris SG,2018,0.4317994392,0.2597723899,0.3084281709
Basel ,Manchester City,2018,0.08657752792,0.1824138159,0.7310086562
Juventus ,Tottenham,2018,0.4202983307,0.3214864715,0.2582151978
Atl. Madrid ,Real Madrid,2017,0.3676936156,0.2701212874,0.362185097
Juventus ,Monaco,2017,0.5868879632,0.2450592515,0.1680527853
Monaco ,Juventus,2017,0.3047740688,0.2963857917,0.3988401395
Real Madrid ,Atl. Madrid,2017,0.5358332197,0.2744265491,0.1897402312
Barcelona ,Juventus,2017,0.6513885037,0.1892196089,0.1593918873
Monaco ,Dortmund,2017,0.3311340029,0.2337885852,0.4350774119
Leicester ,Atl. Madrid,2017,0.2197439195,0.2536834253,0.5265726552
Real Madrid ,Bayern Munich,2017,0.3703375245,0.2491187987,0.3805436768
Atl. Madrid ,Leicester,2017,0.729067489,0.183652239,0.08728027201
Bayern Munich ,Real Madrid,2017,0.572062974,0.222716397,0.2052206291
Dortmund ,Monaco,2017,0.6282071464,0.1971035798,0.1746892738
Juventus ,Barcelona,2017,0.358707291,0.2891073688,0.3521853402
Atl. Madrid ,Bayer Leverkusen,2017,0.6341101319,0.21740317,0.148486698
Monaco ,Manchester City,2017,0.3351490145,0.25092763,0.4139233555
Juventus ,FC Porto,2017,0.5535337896,0.2678797262,0.1785864841
Leicester ,Sevilla,2017,0.32211101,0.2684258417,0.4094631483
Barcelona ,Paris SG,2017,0.6324788042,0.194201541,0.1733196549
Dortmund ,Benfica,2017,0.7579389871,0.1511287892,0.09093222368
Arsenal ,Bayern Munich,2017,0.2413772748,0.2326737673,0.5259489579
Napoli ,Real Madrid,2017,0.3227077103,0.2450944635,0.4321978262
