club,clubid,country,countrycode,governingbody,clubshortnames
FC Santa Coloma,9549dc95,Andorra,AND,UEFA,Santa Coloma
FC Banants,f0e1ca42,Armenia,ARM,UEFA,FC Banants|Banants
Lincoln Red Imps FC,2d3c1b6d,Gibraltar,GIB,UEFA,Red Imps|Lincoln
Havnar Bóltfelag,15c5743b,Faroe Islands,FRO,UEFA,Havnar Bóltfelag|HB
S.P. La Fiorita,6de42722,San Marino,SMR,UEFA,S.P. La Fiorita|La Fiorita
FC Levadia Tallinn,112c9642,Estonia,EST,UEFA,Levadia Tallinn|FCI Levadia
FC BATE Borisov,b983b638,Belarus,BLR,UEFA,BATE Borisov|BATE
KF Skënderbeu Korçë,df526548,Albania,ALB,UEFA,Skënderbeu Korçë
Maccabi Tel Aviv FC,04c011d8,Israel,ISR,UEFA,Maccabi Tel Aviv|Maccabi TA
FC Dinamo Tbilisi,e2fa043d,Georgia,GEO,UEFA,Dinamo Tbilisi
FC Aktobe,c8282e20,Kazakhstan,KAZ,UEFA,FC Aktobe
HŠK Zrinjski Mostar,2a6cfcb2,Bosnia and Herzegovina,BIH,UEFA,Zrinjski Mostar|Zrinjski
NK Maribor,2aae7689,Slovenia,SVN,UEFA,NK Maribor|Maribor
FC Sheriff Tiraspol,50995c1e,Moldova,MDA,UEFA,Sheriff Tiraspol|Sheriff
FK Sutjeska Nikšić,55ff3845,Montenegro,MNE,UEFA,Sutjeska Nikšić|Sutjeska Nik
AC Sparta Prague,ecb862be,Czech Republic,CZE,UEFA,Sparta Prague
Malmö FF,f3d8c8b9,Sweden,SWE,UEFA,Malmö
FK Ventspils,869a3b6a,Latvia,LVA,UEFA,FK Ventspils|Ventspils
ŠK Slovan Bratislava,ae7f2f70,Slovakia,SVK,UEFA,ŠK Slovan Bratislava|Slovan Bratislava|Sl. Bratislava
The New Saints FC,fd12ff13,Wales,WAL,UEFA,The New Saints
Knattspyrnufélag Reykjavíkur,ae156985,Iceland,ISL,UEFA,KR Reykjavík
Celtic FC,b81aa4fa,Scotland,SCO,UEFA,Celtic
Cliftonville FC,5a130b7c,Northern Ireland,NIR,UEFA,Cliftonville FC|Cliftonville
Debreceni VSC,e24ac92e,Hungary,HUN,UEFA,Debrecen
FK Partizan,dde3e804,Serbia,SRB,UEFA,Partizan
Legia Warsaw,a73408a7,Poland,POL,UEFA,Legia Warsaw
St Patrick's Athletic FC,8a814429,Ireland,IRL,UEFA,St Patrick's|St. Patrick's
FK Rabotnički,4ebc9920,North Macedonia,MKD,UEFA,FK Rabotnički
HJK Helsinki,d7319d80,Finland,FIN,UEFA,HJK Helsinki|HJK
GNK Dinamo Zagreb,edd0d381,Croatia,CRO,UEFA,Dinamo Zagreb
VMFD Žalgiris Vilnius,4c6489de,Lithuania,LTU,UEFA,Žalgiris
PFC Ludogorets Razgrad,488c6ba1,Bulgaria,BUL,UEFA,Ludogorets
F91 Dudelange,baae133b,Luxembourg,LUX,UEFA,F91 Dudelange
Valletta FC,3f53cc7a,Malta,MLT,UEFA,Valletta FC|Valletta
Qarabağ FK,44b65410,Azerbaijan,AZE,UEFA,Qarabağ FK|Qarabağ Ağdam
Strømsgodset Toppfotball,90eb0dcc,Norway,NOR,UEFA,Strømsgodset
FCSB,aed59852,Romania,ROU,UEFA,Steaua|FCSB
FC Red Bull Salzburg,50f2a074,Austria,AUT,UEFA,RB Salzburg
Aalborg BK,7e746554,Denmark,DEN,UEFA,Aalborg
APOEL FC,eab315a6,Cyprus,CYP,UEFA,APOEL FC|APOEL
AEL Limassol,651288fd,Cyprus,CYP,UEFA,AEL Limassol|AE Lemesós
FC Zenit Saint Petersburg,98ce363d,Russia,RUS,UEFA,Zenit
FC Dnipro,c4770a69,Ukraine,UKR,UEFA,Dnipro
FC Copenhagen,18050b20,Denmark,DEN,UEFA,FC Copenhagen
Feyenoord Rotterdam,fb4ca611,Netherlands,NED,UEFA,Feyenoord
Beşiktaş JK,0f9294bd,Turkey,TUR,UEFA,Beşiktaş
Grasshopper Club Zürich,7b66a29c,Switzerland,SUI,UEFA,Grasshopper
Lille OSC,cb188c0c,France,FRA,UEFA,Lille
Standard Liège,33c6b26e,Belgium,BEL,UEFA,Standard Liège
Panathinaikos FC,f3a5726c,Greece,GRE,UEFA,Panathinaikos
Arsenal FC,18bb7c10,England,ENG,UEFA,Arsenal
Bayer 04 Leverkusen,c7a9f859,Germany,GER,UEFA,Bayer
FC Porto,5e876ee6,Portugal,POR,UEFA,Porto
SSC Napoli,d48ad4ff,Italy,ITA,UEFA,Napoli
Athletic Bilbao,2b390eca,Spain,ESP,UEFA,Athletic Bilbao
Paris Saint-Germain FC,e2d8892c,France,FRA,UEFA,Paris S-G
Chelsea FC,cff3d9bb,England,ENG,UEFA,Chelsea
FC Shakhtar Donetsk,e89d5a28,Ukraine,UKR,UEFA,Shakhtar
FC Bayern Munich,054efa67,Germany,GER,UEFA,Bayern Munich
