club,clubid,country,countrycode,governingbody,clubshortnames
1. FSV Mainz 05,a224b06a,Germany,GER,UEFA,Mainz 05
Aalborg BK,7e746554,Denmark,DEN,UEFA,Aalborg
Aberdeen FC,8bbab7cf,Scotland,SCO,UEFA,Aberdeen
Aberystwyth Town FC,6dbe9dca,Wales,WAL,UEFA,Aberystwyth
AC Juvenes/Dogana,633ae161,San Marino,SMR,UEFA,Juvenes/Dogana
AC Libertas,1286546c,San Marino,SMR,UEFA,AC Libertas
AC Milan,dc56fe14,Italy,ITA,UEFA,Milan
AC Omonia,15e031af,Cyprus,CYP,UEFA,AC Omonia
AC Sparta Prague,ecb862be,Czech Republic,CZE,UEFA,Sparta Prague
ACF Fiorentina,421387cf,Italy,ITA,UEFA,Fiorentina
AEK Athens FC,d5348c80,Greece,GRE,UEFA,AEK Athens
AEK Larnaca FC,01689b1a,Cyprus,CYP,UEFA,AEK Larnaca FC|AÉK Lárnaka
AEL Limassol,651288fd,Cyprus,CYP,UEFA,AEL Limassol|AE Lemesós
AFC Ajax,19c3f8c4,Netherlands,NED,UEFA,Ajax
AIK Stockholm,b0333581,Sweden,SWE,UEFA,AIK Stockholm
Airbus UK Broughton FC,1a1d4c22,Wales,WAL,UEFA,AUK Broughton
Akademija Pandev,99875d32,North Macedonia,MKD,UEFA,Akad Pandev
Alashkert FC,e6232d10,Armenia,ARM,UEFA,Alashkert FC|Alashkert
Anorthosis Famagusta FC,d27fe90c,Cyprus,CYP,UEFA,Anorthosis
APOEL FC,eab315a6,Cyprus,CYP,UEFA,APOEL FC|APOEL
Apollon Limassol,8dff1828,Cyprus,CYP,UEFA,Apollon Limassol|Apollon
Aris Thessaloniki FC,edddfa63,Greece,GRE,UEFA,Aris
Arsenal FC,18bb7c10,England,ENG,UEFA,Arsenal
AS Monaco FC,fd6114db,France,FRA,UEFA,Monaco
AS Roma,cf74a709,Italy,ITA,UEFA,Roma
AS Saint-Étienne,d298ef2c,France,FRA,UEFA,Saint-Étienne
ASA Târgu Mureș,c7d6f62e,Romania,ROU,UEFA,Târgu Mureș
Asteras Tripoli FC,d884c383,Greece,GRE,UEFA,Asteras Tripoli
Atalanta BC,922493f3,Italy,ITA,UEFA,Atalanta
Athletic Bilbao,2b390eca,Spain,ESP,UEFA,Athletic Bilbao
Atlético Madrid,db3b9613,Spain,ESP,UEFA,Atlético Madrid
Atromitos FC,c9607f44,Greece,GRE,UEFA,Atromitos
AZ Alkmaar,3986b791,Netherlands,NED,UEFA,AZ Alkmaar
B36 Tórshavn,056a9b27,Faroe Islands,FRO,UEFA,B36 Tórshavn|B36
Bala Town FC,56b45f69,Wales,WAL,UEFA,Bala Town FC
Ballymena United FC,b0e70933,Northern Ireland,NIR,UEFA,Ballymena Utd
Balzan FC,49e1cbfd,Malta,MLT,UEFA,Balzan FC|Balzan
Bangor City FC,dd3fa21f,Wales,WAL,UEFA,Bangor City FC
Barry Town United FC,d8760be1,Wales,WAL,UEFA,Barry Town
Bayer 04 Leverkusen,c7a9f859,Germany,GER,UEFA,Bayer
Beitar Jerusalem FC,79000faa,Israel,ISR,UEFA,Beitar Jerusalem
Beşiktaş JK,0f9294bd,Turkey,TUR,UEFA,Beşiktaş
Birkirkara FC,7bb567b2,Malta,MLT,UEFA,Birkirkara FC
BK Häcken,8774e267,Sweden,SWE,UEFA,Häcken
Bnei Yehuda Tel Aviv FC,1040e0f7,Israel,ISR,UEFA,Bnei Yehuda|Bnei Yehuda TA
Borussia Dortmund,add600ae,Germany,GER,UEFA,Dortmund
Borussia Mönchengladbach,32f3ee20,Germany,GER,UEFA,M'gladbach
Breiðablik UBK,4a29fb1c,Iceland,ISL,UEFA,Breiðablik UBK|Breiðablik
Brøndby IF,ab75e049,Denmark,DEN,UEFA,Brøndby
BSC Young Boys,4b682260,Switzerland,SUI,UEFA,Young Boys
Budapest Honvéd FC,8cac5dfa,Hungary,HUN,UEFA,Honvéd
Burnley FC,943e8050,England,ENG,UEFA,Burnley
Bursaspor,6a3b81bf,Turkey,TUR,UEFA,Bursaspor
Cardiff Metropolitan University FC,4872ca3d,Wales,WAL,UEFA,Cardiff Met
CD Nacional,5c9eb756,Portugal,POR,UEFA,Nacional
Cefn Druids AFC,0876564a,Wales,WAL,UEFA,Cefn Druids AFC
Celta de Vigo,f25da7fb,Spain,ESP,UEFA,Celta Vigo
Celtic FC,b81aa4fa,Scotland,SCO,UEFA,Celtic
CF Os Belenenses,19dc476f,Portugal,POR,UEFA,Belenenses
CFR Cluj,ff04e205,Romania,ROU,UEFA,CFR Cluj
Chelsea FC,cff3d9bb,England,ENG,UEFA,Chelsea
Cliftonville FC,5a130b7c,Northern Ireland,NIR,UEFA,Cliftonville FC|Cliftonville
Club Brugge KV,f1e6c5f1,Belgium,BEL,UEFA,Club Brugge
Coleraine FC,3fdad06c,Northern Ireland,NIR,UEFA,Coleraine FC
Cork City FC,4936d1b7,Ireland,IRL,UEFA,Cork City FC
Crusaders FC,0b6cd7c6,Northern Ireland,NIR,UEFA,Crusaders FC|Crusaders
CS Fola Esch,aa065002,Luxembourg,LUX,UEFA,CS Fola Esch|Fola Esch
CS Marítimo,c1b0f61b,Portugal,POR,UEFA,Marítimo
CS Pandurii Târgu Jiu,46554cb7,Romania,ROU,UEFA,Pandurii
CS Universitatea Craiova,1eebf7c3,Romania,ROU,UEFA,U Craiova
Debreceni VSC,e24ac92e,Hungary,HUN,UEFA,Debrecen
Derry City FC,15f9a98b,Ireland,IRL,UEFA,Derry City FC
Diósgyőri VTK,e4babb95,Hungary,HUN,UEFA,Diósgyőr
Djurgårdens IF,9423c05a,Sweden,SWE,UEFA,Djurgården
Dundalk FC,e4a9d483,Ireland,IRL,UEFA,Dundalk FC|Dundalk
Eintracht Frankfurt,f0ac8ee6,Germany,GER,UEFA,Eint Frankfurt
En Avant de Guingamp,d41b5f53,France,FRA,UEFA,Guingamp
Ermis Aradippou,5ac58233,Cyprus,CYP,UEFA,Ermis Aradippou
Esbjerg fB,31aa0dd4,Denmark,DEN,UEFA,Esbjerg
Europa FC,75cd4ee3,Gibraltar,GIB,UEFA,Europa FC|Europa
Everton FC,d3fd31cc,England,ENG,UEFA,Everton
F91 Dudelange,baae133b,Luxembourg,LUX,UEFA,F91 Dudelange
FC Admira Wacker Mödling,d7d06475,Austria,AUT,UEFA,Admira
FC Aktobe,c8282e20,Kazakhstan,KAZ,UEFA,FC Aktobe
FC Ararat-Armenia,85dbecd4,Armenia,ARM,UEFA,Ararat-Armenia
FC Arouca,0d36ddd4,Portugal,POR,UEFA,Arouca
FC Arsenal Tula,0bca3a9e,Russia,RUS,UEFA,Arsenal Tula
FC Astana,c72c8787,Kazakhstan,KAZ,UEFA,FC Astana|Astana FK
FC Astra Giurgiu,12d53956,Romania,ROU,UEFA,Astra Giurgiu
FC Augsburg,0cdc4311,Germany,GER,UEFA,Augsburg
FC Banants,f0e1ca42,Armenia,ARM,UEFA,FC Banants|Banants
