team,matchclub,matchcountry,fbrefid
Aberdeen (Sco),Aberdeen FC,Scotland,8bbab7cf
AC Milan,AC Milan,Italy,dc56fe14
AC Milan (Ita),AC Milan,Italy,dc56fe14
Admira (Aut),FC Admira Wacker Mödling,Austria,d7d06475
AEK Athens FC,AEK Athens FC,Greece,d5348c80
AEK Athens FC (Gre),AEK Athens FC,Greece,d5348c80
AEK Larnaca (Cyp),AEK Larnaca FC,Cyprus,01689b1a
AEL Limassol (Cyp),AEL Limassol,Cyprus,651288fd
AIK (Swe),AIK Stockholm,Sweden,b0333581
Airbus (Wal),Airbus UK Broughton FC,Wales,1a1d4c22
Ajax,AFC Ajax,Netherlands,19c3f8c4
Ajax (Ned),AFC Ajax,Netherlands,19c3f8c4
Akademija Pandev (Mkd),Akademija Pandev,North Macedonia,99875d32
Aktobe (Kaz),FC Aktobe,Kazakhstan,c8282e20
Alashkert (Arm),Alashkert FC,Armenia,e6232d10
Altach (Aut),SC Rheindorf Altach,Austria,80beba99
Anderlecht,RSC Anderlecht,Belgium,08ad393c
Anderlecht (Bel),RSC Anderlecht,Belgium,08ad393c
Anorthosis (Cyp),Anorthosis Famagusta FC,Cyprus,d27fe90c
Antwerp (Bel),Royal Antwerp FC,Belgium,c2e6b53b
APOEL,APOEL FC,Cyprus,eab315a6
APOEL (Cyp),APOEL FC,Cyprus,eab315a6
Apollon (Cyp),Apollon Limassol,Cyprus,8dff1828
Ararat-Armenia (Arm),FC Ararat-Armenia,Armenia,85dbecd4
Aris (Gre),Aris Thessaloniki FC,Greece,edddfa63
Arka Gdynia (Pol),MKS Arka Gdynia,Poland,d51bc6dd
Arouca (Por),FC Arouca,Portugal,0d36ddd4
Arsenal,Arsenal FC,England,18bb7c10
Arsenal Tula (Rus),FC Arsenal Tula,Russia,0bca3a9e
AS Roma,AS Roma,Italy,cf74a709
AS Roma (Ita),AS Roma,Italy,cf74a709
Asteras Tripolis (Gre),Asteras Tripoli FC,Greece,d884c383
Astra,FC Astra Giurgiu,Romania,12d53956
Astra (Rou),FC Astra Giurgiu,Romania,12d53956
Atalanta,Atalanta BC,Italy,922493f3
Atalanta (Ita),Atalanta BC,Italy,922493f3
Ath Bilbao,Athletic Bilbao,Spain,2b390eca
Ath Bilbao (Esp),Athletic Bilbao,Spain,2b390eca
Atl. Madrid,Atlético Madrid,Spain,db3b9613
Atlantas (Ltu),FK Atlantas,Lithuania,d7478aa0
Atromitos (Gre),Atromitos FC,Greece,c9607f44
Augsburg,FC Augsburg,Germany,0cdc4311
Austria Vienna (Aut),FK Austria Wien,Austria,ee0bccc5
AZ Alkmaar,AZ Alkmaar,Netherlands,3986b791
AZ Alkmaar (Ned),AZ Alkmaar,Netherlands,3986b791
B. Monchengladbach,Borussia Mönchengladbach,Germany,32f3ee20
B. Monchengladbach (Ger),Borussia Mönchengladbach,Germany,32f3ee20
B36 Torshavn,B36 Tórshavn,Faroe Islands,056a9b27
B36 Torshavn (Fai),B36 Tórshavn,Faroe Islands,056a9b27
Bala,Bala Town FC,Wales,56b45f69
Bala (Wal),Bala Town FC,Wales,56b45f69
Ballymena (Nir),Ballymena United FC,Northern Ireland,b0e70933
Balzan (Mlt),Balzan FC,Malta,49e1cbfd
Bangor City (Wal),Bangor City FC,Wales,dd3fa21f
Barcelona,FC Barcelona,Spain,206d90db
Barry (Wal),Barry Town United FC,Wales,d8760be1
Basaksehir (Tur),İstanbul Başakşehir FK,Turkey,bff39cf5
Basel,FC Basel,Switzerland,d3d9424a
Basel (Sui),FC Basel,Switzerland,d3d9424a
BATE,FC BATE Borisov,Belarus,b983b638
BATE (Blr),FC BATE Borisov,Belarus,b983b638
Bayer Leverkusen,Bayer 04 Leverkusen,Germany,c7a9f859
Bayer Leverkusen (Ger),Bayer 04 Leverkusen,Germany,c7a9f859
Bayern Munich,FC Bayern Munich,Germany,054efa67
Beitar Jerusalem (Isr),Beitar Jerusalem FC,Israel,79000faa
Belenenses (Por),CF Os Belenenses,Portugal,19dc476f
Benfica,SL Benfica,Portugal,a77c513e
Benfica (Por),SL Benfica,Portugal,a77c513e
Beroe (Bul),PFC Beroe Stara Zagora,Bulgaria,ab7b2fe7
Besiktas,Beşiktaş JK,Turkey,0f9294bd
Besiktas (Tur),Beşiktaş JK,Turkey,0f9294bd
Betis,Real Betis,Spain,fc536746
Birkirkara,Birkirkara FC,Malta,7bb567b2
Birkirkara (Mlt),Birkirkara FC,Malta,7bb567b2
Bnei Yehuda (Isr),Bnei Yehuda Tel Aviv FC,Israel,1040e0f7
Bokelj (Mne),Bnei Yehuda Tel Aviv FC,Israel,1040e0f7
Bordeaux (Fra),FC Girondins de Bordeaux,France,123f3efe
Botev Plovdiv (Bul),PFC Botev Plovdiv,Bulgaria,e56e174a
Braga,SC Braga,Portugal,69d84c29
Braga (Por),SC Braga,Portugal,69d84c29
Brann (Nor),SK Brann,Norway,aeae4fe1
Breidablik (Ice),Breiðablik UBK,Iceland,4a29fb1c
Brest (Blr),FC Dinamo Brest,Belarus,31742d51
