comp,season,tieid,round,tieorder,date,teamh,teama,scoreh,scorea,oddsh,oddsd,oddsa,pens,awarded,extratime,cancelled,oddshprob,oddsdprob,oddsaprob,oddsprobtotal,probh,probd,proba,teamidh,teamida
champions-league,2015,53a2f082|e0652b02,Play Offs,2,2015-05-13,Real Madrid,Juventus,1,1,-152,316,437,FALSE,FALSE,FALSE,FALSE,0.6031746031746031,0.2403846153846154,0.186219739292365,1.0297789578515835,0.5857321113193065,0.23343321744127224,0.18083467123942132,53a2f082,e0652b02
champions-league,2015,054efa67|206d90db,Play Offs,2,2015-05-12,Bayern Munich,Barcelona,3,2,154,277,168,FALSE,FALSE,FALSE,FALSE,0.3937007874015748,0.26525198938992045,0.373134328358209,1.0320871051497043,0.3814608141475312,0.25700542916040564,0.36153375669206317,054efa67,206d90db
champions-league,2015,054efa67|206d90db,Play Offs,1,2015-05-06,Barcelona,Bayern Munich,3,0,-135,296,390,FALSE,FALSE,FALSE,FALSE,0.574468085106383,0.25252525252525254,0.20408163265306123,1.0310749702846969,0.5571545248041109,0.24491454045822308,0.197930934737666,206d90db,054efa67
champions-league,2015,53a2f082|e0652b02,Play Offs,1,2015-05-05,Juventus,Real Madrid,2,1,172,217,188,FALSE,FALSE,FALSE,FALSE,0.36764705882352944,0.31545741324921134,0.3472222222222222,1.030326694294963,0.35682571446438627,0.3061722218748046,0.3370020636608092,e0652b02,53a2f082
champions-league,2015,e0652b02|fd6114db,Play Offs,2,2015-04-22,Monaco,Juventus,0,0,315,206,112,FALSE,FALSE,FALSE,FALSE,0.24096385542168675,0.32679738562091504,0.4716981132075472,1.0394593542501491,0.2318165250391292,0.3143916924550281,0.4537917825058425,fd6114db,e0652b02
champions-league,2015,53a2f082|db3b9613,Play Offs,2,2015-04-22,Real Madrid,Atl. Madrid,1,0,100,241,315,FALSE,FALSE,FALSE,FALSE,0.5,0.2932551319648094,0.24096385542168675,1.0342189873864962,0.483456604547085,0.2835522607314282,0.23299113472148675,53a2f082,db3b9613
champions-league,2015,206d90db|e2d8892c,Play Offs,2,2015-04-21,Barcelona,Paris SG,2,0,-227,411,585,FALSE,FALSE,FALSE,FALSE,0.6941896024464832,0.19569471624266144,0.145985401459854,1.0358697201489986,0.6701514572186081,0.18891827074017847,0.14093027204121344,206d90db,e2d8892c
champions-league,2015,054efa67|5e876ee6,Play Offs,2,2015-04-21,Bayern Munich,FC Porto,6,1,-286,434,797,FALSE,FALSE,FALSE,FALSE,0.7409326424870466,0.18726591760299627,0.11148272017837235,1.0396812802684152,0.7126536339057288,0.18011858168173395,0.10722778441253726,054efa67,5e876ee6
champions-league,2015,054efa67|5e876ee6,Play Offs,1,2015-04-15,FC Porto,Bayern Munich,3,1,311,225,106,FALSE,FALSE,FALSE,FALSE,0.24330900243309003,0.3076923076923077,0.4854368932038835,1.0364382033292814,0.2347549536976973,0.2968747260607803,0.46837032024152225,5e876ee6,054efa67
champions-league,2015,206d90db|e2d8892c,Play Offs,1,2015-04-15,Paris SG,Barcelona,1,3,348,261,-114,FALSE,FALSE,FALSE,FALSE,0.22321428571428573,0.2770083102493075,0.5327102803738317,1.032932876337425,0.21609757112752503,0.2681764871610283,0.5157259417114466,e2d8892c,206d90db
champions-league,2015,53a2f082|db3b9613,Play Offs,1,2015-04-14,Atl. Madrid,Real Madrid,0,0,194,225,158,FALSE,FALSE,FALSE,FALSE,0.3401360544217687,0.3076923076923077,0.3875968992248062,1.0354252613388826,0.3284988952094401,0.2971651544356166,0.3743359503549434,db3b9613,53a2f082
champions-league,2015,e0652b02|fd6114db,Play Offs,1,2015-04-14,Juventus,Monaco,1,0,-192,293,722,FALSE,FALSE,FALSE,FALSE,0.6575342465753424,0.2544529262086514,0.12165450121654502,1.033641674000539,0.6361336458411792,0.24617131120868363,0.11769504295013707,e0652b02,fd6114db
champions-league,2015,206d90db|b8fd03ef,Play Offs,2,2015-03-18,Barcelona,Manchester City,1,0,-270,474,682,FALSE,FALSE,FALSE,FALSE,0.7297297297297297,0.17421602787456447,0.1278772378516624,1.0318229954559566,0.7072237514994192,0.16884293976950904,0.12393330873107185,206d90db,b8fd03ef
champions-league,2015,add600ae|e0652b02,Play Offs,2,2015-03-18,Dortmund,Juventus,0,3,125,235,239,FALSE,FALSE,FALSE,FALSE,0.4444444444444444,0.29850746268656714,0.2949852507374631,1.0379371578684746,0.42819976245687463,0.28759685538148294,0.2842033821616425,add600ae,e0652b02
champions-league,2015,c7a9f859|db3b9613,Play Offs,2,2015-03-17,Atl. Madrid,Bayer Leverkusen,2,0,-133,261,430,TRUE,FALSE,FALSE,FALSE,0.5708154506437768,0.2770083102493075,0.18867924528301888,1.0365030061761031,0.5507127786822786,0.2672527803573427,0.18203444096037869,db3b9613,c7a9f859
champions-league,2015,18bb7c10|fd6114db,Play Offs,2,2015-03-17,Monaco,Arsenal,0,2,245,259,114,FALSE,FALSE,FALSE,FALSE,0.2898550724637681,0.2785515320334262,0.4672897196261682,1.0356963241233625,0.2798649234456907,0.2689509709993407,0.45118410555496863,fd6114db,18bb7c10
champions-league,2015,054efa67|e89d5a28,Play Offs,2,2015-03-11,Bayern Munich,Shakhtar Donetsk,7,0,-625,730,1778,FALSE,FALSE,FALSE,FALSE,0.8620689655172413,0.12048192771084337,0.05324813631522897,1.0357990295433137,0.8322743514225242,0.11631786116266603,0.0514077874148098,054efa67,e89d5a28
champions-league,2015,cff3d9bb|e2d8892c,Play Offs,2,2015-03-11,Chelsea,Paris SG,2,2,123,223,264,FALSE,FALSE,TRUE,FALSE,0.4484304932735426,0.30959752321981426,0.27472527472527475,1.0327532912186315,0.4342087283444066,0.2997787814885532,0.2660124901670403,cff3d9bb,e2d8892c
champions-league,2015,5e876ee6|d3d9424a,Play Offs,2,2015-03-10,FC Porto,Basel,4,0,-227,355,736,FALSE,FALSE,FALSE,FALSE,0.6941896024464832,0.21978021978021978,0.11961722488038277,1.0335870471070858,0.6716314841497438,0.21263832629807447,0.11573018955218167,5e876ee6,d3d9424a
champions-league,2015,53a2f082|c539e393,Play Offs,2,2015-03-10,Real Madrid,Schalke,3,4,-476,643,1319,FALSE,FALSE,FALSE,FALSE,0.8263888888888888,0.13458950201884254,0.07047216349541931,1.0314505544031507,0.8011909881294107,0.1304856558022045,0.06832335606838473,53a2f082,c539e393
champions-league,2015,18bb7c10|fd6114db,Play Offs,1,2015-02-25,Arsenal,Monaco,1,3,-164,281,570,FALSE,FALSE,FALSE,FALSE,0.6212121212121212,0.26246719160104987,0.14925373134328357,1.0329330441564546,0.601405991149634,0.2540989399902429,0.14449506886012317,18bb7c10,fd6114db
champions-league,2015,c7a9f859|db3b9613,Play Offs,1,2015-02-25,Bayer Leverkusen,Atl. Madrid,1,0,197,214,166,FALSE,FALSE,FALSE,FALSE,0.3367003367003367,0.3184713375796178,0.37593984962406013,1.0311115239040145,0.3265411440903263,0.308862164951678,0.36459669095799585,c7a9f859,db3b9613
champions-league,2015,add600ae|e0652b02,Play Offs,1,2015-02-24,Juventus,Dortmund,2,1,-106,237,345,FALSE,FALSE,FALSE,FALSE,0.5145631067961165,0.29673590504451036,0.2247191011235955,1.0360181129642223,0.49667385189228475,0.28641961113546455,0.2169065369722507,e0652b02,add600ae
champions-league,2015,206d90db|b8fd03ef,Play Offs,1,2015-02-24,Manchester City,Barcelona,1,2,289,267,-101,FALSE,FALSE,FALSE,FALSE,0.2570694087403599,0.2724795640326976,0.5024875621890548,1.0320365349621121,0.24908944599504643,0.2640212383980193,0.4868893156069344,b8fd03ef,206d90db
champions-league,2015,5e876ee6|d3d9424a,Play Offs,1,2015-02-18,Basel,FC Porto,1,1,268,218,124,FALSE,FALSE,FALSE,FALSE,0.2717391304347826,0.31446540880503143,0.44642857142857145,1.0326331106683855,0.26315167277455964,0.3045277219529495,0.4323206052724909,d3d9424a,5e876ee6
champions-league,2015,53a2f082|c539e393,Play Offs,1,2015-02-18,Schalke,Real Madrid,0,2,590,343,-200,FALSE,FALSE,FALSE,FALSE,0.14492753623188406,0.22573363431151242,0.6666666666666666,1.0373278372100632,0.13971237542576007,0.21761069761574364,0.6426769269584962,c539e393,53a2f082
champions-league,2015,cff3d9bb|e2d8892c,Play Offs,1,2015-02-17,Paris SG,Chelsea,1,1,167,206,202,FALSE,FALSE,FALSE,FALSE,0.37453183520599254,0.32679738562091504,0.33112582781456956,1.0324550486414772,0.36275849074379385,0.3165245654529181,0.32071694380328797,e2d8892c,cff3d9bb
champions-league,2015,054efa67|e89d5a28,Play Offs,1,2015-02-17,Shakhtar Donetsk,Bayern Munich,0,0,816,409,-278,FALSE,FALSE,FALSE,FALSE,0.1091703056768559,0.19646365422396855,0.7354497354497355,1.0410836953505598,0.10486217982704593,0.18871072047460521,0.7064270996983489,e89d5a28,054efa67
champions-league,2015,0f9294bd|18bb7c10,Qualification,2,2014-08-27,Arsenal (Eng),Besiktas (Tur),1,0,-238,347,710,FALSE,FALSE,FALSE,FALSE,0.7041420118343196,0.22371364653243847,0.12345679012345678,1.051312448490215,0.6697742548806824,0.21279463289311623,0.11743111222620117,18bb7c10,0f9294bd
champions-league,2015,2b390eca|d48ad4ff,Qualification,2,2014-08-27,Ath Bilbao (Esp),Napoli (Ita),3,1,127,233,221,FALSE,FALSE,FALSE,FALSE,0.44052863436123346,0.3003003003003003,0.3115264797507788,1.0523554144123126,0.41861202814948834,0.2853601513211227,0.2960278205293889,2b390eca,d48ad4ff
champions-league,2015,18050b20|c7a9f859,Qualification,2,2014-08-27,Bayer Leverkusen (Ger),FC Copenhagen (Den),4,0,-370,499,981,FALSE,FALSE,FALSE,FALSE,0.7872340425531915,0.1669449081803005,0.09250693802035152,1.0466858887538435,0.7521206228264447,0.15949857543131749,0.0883808017422379,c7a9f859,18050b20
champions-league,2015,488c6ba1|aed59852,Qualification,2,2014-08-27,Ludogorets (Bul),FCSB (Rou),2,0,125,217,243,TRUE,FALSE,FALSE,FALSE,0.4444444444444444,0.31545741324921134,0.2915451895043732,1.051447047198029,0.4226978863356282,0.3000221590710295,0.27727995459334215,488c6ba1,aed59852
champions-league,2015,50f2a074|f3d8c8b9,Qualification,2,2014-08-27,Malmo FF (Swe),Salzburg (Aut),3,0,522,363,-204,FALSE,FALSE,FALSE,FALSE,0.1607717041800643,0.2159827213822894,0.6710526315789473,1.0478070571413012,0.15343636319714496,0.2061283324160349,0.6404353043868201,f3d8c8b9,50f2a074
champions-league,2015,7e746554|eab315a6,Qualification,2,2014-08-26,APOEL (Cyp),Aalborg (Den),4,0,104,231,276,FALSE,FALSE,FALSE,FALSE,0.49019607843137253,0.3021148036253776,0.26595744680851063,1.0582683288652608,0.4632058477616829,0.28548034121868066,0.25131381101963646,eab315a6,7e746554
champions-league,2015,ae7f2f70|b983b638,Qualification,2,2014-08-26,BATE (Blr),Slovan Bratislava (Svk),3,0,-130,243,408,FALSE,FALSE,FALSE,FALSE,0.5652173913043478,0.2915451895043732,0.1968503937007874,1.0536129745095084,0.5364563696337121,0.27670994621160305,0.18683368415468476,b983b638,ae7f2f70
