clubid,club,country,countrycode,governingbody,clubshortnames
a224b06a,1. FSV Mainz 05,Germany,GER,UEFA,Mainz 05
7e746554,Aalborg BK,Denmark,DEN,UEFA,Aalborg
8bbab7cf,Aberdeen FC,Scotland,SCO,UEFA,Aberdeen
6dbe9dca,Aberystwyth Town FC,Wales,WAL,UEFA,Aberystwyth
633ae161,AC Juvenes/Dogana,San Marino,SMR,UEFA,Juvenes/Dogana
1286546c,AC Libertas,San Marino,SMR,UEFA,AC Libertas
dc56fe14,AC Milan,Italy,ITA,UEFA,Milan
15e031af,AC Omonia,Cyprus,CYP,UEFA,AC Omonia
ecb862be,AC Sparta Prague,Czech Republic,CZE,UEFA,Sparta Prague
421387cf,ACF Fiorentina,Italy,ITA,UEFA,Fiorentina
d5348c80,AEK Athens FC,Greece,GRE,UEFA,AEK Athens
01689b1a,AEK Larnaca FC,Cyprus,CYP,UEFA,AEK Larnaca FC|AÉK Lárnaka
651288fd,AEL Limassol,Cyprus,CYP,UEFA,AEL Limassol|AE Lemesós
19c3f8c4,AFC Ajax,Netherlands,NED,UEFA,Ajax
b0333581,AIK Stockholm,Sweden,SWE,UEFA,AIK Stockholm
1a1d4c22,Airbus UK Broughton FC,Wales,WAL,UEFA,AUK Broughton
99875d32,Akademija Pandev,North Macedonia,MKD,UEFA,Akad Pandev
e6232d10,Alashkert FC,Armenia,ARM,UEFA,Alashkert FC|Alashkert
d27fe90c,Anorthosis Famagusta FC,Cyprus,CYP,UEFA,Anorthosis
eab315a6,APOEL FC,Cyprus,CYP,UEFA,APOEL FC|APOEL
8dff1828,Apollon Limassol,Cyprus,CYP,UEFA,Apollon Limassol|Apollon
edddfa63,Aris Thessaloniki FC,Greece,GRE,UEFA,Aris
18bb7c10,Arsenal FC,England,ENG,UEFA,Arsenal
fd6114db,AS Monaco FC,France,FRA,UEFA,Monaco
cf74a709,AS Roma,Italy,ITA,UEFA,Roma
d298ef2c,AS Saint-Étienne,France,FRA,UEFA,Saint-Étienne
c7d6f62e,ASA Târgu Mureș,Romania,ROU,UEFA,Târgu Mureș
d884c383,Asteras Tripoli FC,Greece,GRE,UEFA,Asteras Tripoli
922493f3,Atalanta BC,Italy,ITA,UEFA,Atalanta
2b390eca,Athletic Club,Spain,ESP,UEFA,Athletic Bilbao
db3b9613,Atlético Madrid,Spain,ESP,UEFA,Atlético Madrid
c9607f44,Atromitos FC,Greece,GRE,UEFA,Atromitos
3986b791,AZ Alkmaar,Netherlands,NED,UEFA,AZ Alkmaar
056a9b27,B36 Tórshavn,Faroe Islands,FRO,UEFA,B36 Tórshavn|B36
56b45f69,Bala Town FC,Wales,WAL,UEFA,Bala Town FC
b0e70933,Ballymena United FC,Northern Ireland,NIR,UEFA,Ballymena Utd
49e1cbfd,Balzan FC,Malta,MLT,UEFA,Balzan FC|Balzan
dd3fa21f,Bangor City FC,Wales,WAL,UEFA,Bangor City FC
d8760be1,Barry Town United FC,Wales,WAL,UEFA,Barry Town
c7a9f859,Bayer 04 Leverkusen,Germany,GER,UEFA,Bayer|Leverkusen
79000faa,Beitar Jerusalem FC,Israel,ISR,UEFA,Beitar Jerusalem
0f9294bd,Beşiktaş JK,Turkey,TUR,UEFA,Beşiktaş
7bb567b2,Birkirkara FC,Malta,MLT,UEFA,Birkirkara FC
8774e267,BK Häcken,Sweden,SWE,UEFA,Häcken
1040e0f7,Bnei Yehuda Tel Aviv FC,Israel,ISR,UEFA,Bnei Yehuda|Bnei Yehuda TA
add600ae,Borussia Dortmund,Germany,GER,UEFA,Dortmund
32f3ee20,Borussia Mönchengladbach,Germany,GER,UEFA,M'gladbach
4a29fb1c,Breiðablik UBK,Iceland,ISL,UEFA,Breiðablik UBK|Breiðablik
ab75e049,Brøndby IF,Denmark,DEN,UEFA,Brøndby
4b682260,BSC Young Boys,Switzerland,SUI,UEFA,Young Boys
8cac5dfa,Budapest Honvéd FC,Hungary,HUN,UEFA,Honvéd
943e8050,Burnley FC,England,ENG,UEFA,Burnley
6a3b81bf,Bursaspor,Turkey,TUR,UEFA,Bursaspor
4872ca3d,Cardiff Metropolitan University FC,Wales,WAL,UEFA,Cardiff Met
5c9eb756,CD Nacional,Portugal,POR,UEFA,Nacional
0876564a,Cefn Druids AFC,Wales,WAL,UEFA,Cefn Druids AFC
f25da7fb,Celta de Vigo,Spain,ESP,UEFA,Celta Vigo
b81aa4fa,Celtic FC,Scotland,SCO,UEFA,Celtic
19dc476f,CF Os Belenenses,Portugal,POR,UEFA,Belenenses
ff04e205,CFR Cluj,Romania,ROU,UEFA,CFR Cluj
cff3d9bb,Chelsea FC,England,ENG,UEFA,Chelsea
5a130b7c,Cliftonville FC,Northern Ireland,NIR,UEFA,Cliftonville FC|Cliftonville
f1e6c5f1,Club Brugge KV,Belgium,BEL,UEFA,Club Brugge
3fdad06c,Coleraine FC,Northern Ireland,NIR,UEFA,Coleraine FC
4936d1b7,Cork City FC,Ireland,IRL,UEFA,Cork City FC
0b6cd7c6,Crusaders FC,Northern Ireland,NIR,UEFA,Crusaders FC|Crusaders
aa065002,CS Fola Esch,Luxembourg,LUX,UEFA,CS Fola Esch|Fola Esch
c1b0f61b,CS Marítimo,Portugal,POR,UEFA,Marítimo
46554cb7,CS Pandurii Târgu Jiu,Romania,ROU,UEFA,Pandurii
1eebf7c3,CS Universitatea Craiova,Romania,ROU,UEFA,U Craiova
e24ac92e,Debreceni VSC,Hungary,HUN,UEFA,Debrecen
15f9a98b,Derry City FC,Ireland,IRL,UEFA,Derry City FC
e4babb95,Diósgyőri VTK,Hungary,HUN,UEFA,Diósgyőr
9423c05a,Djurgårdens IF,Sweden,SWE,UEFA,Djurgården
e4a9d483,Dundalk FC,Ireland,IRL,UEFA,Dundalk FC|Dundalk
f0ac8ee6,Eintracht Frankfurt,Germany,GER,UEFA,Eint Frankfurt
d41b5f53,En Avant de Guingamp,France,FRA,UEFA,Guingamp
5ac58233,Ermis Aradippou,Cyprus,CYP,UEFA,Ermis Aradippou
31aa0dd4,Esbjerg fB,Denmark,DEN,UEFA,Esbjerg
