team,fbrefid,matchclub,matchcountry
Aalborg,7e746554,Aalborg BK,Denmark
Aalborg (Den),7e746554,Aalborg BK,Denmark
Aberdeen (Sco),8bbab7cf,Aberdeen FC,Scotland
Aberystwyth (Wal),6dbe9dca,Aberystwyth Town FC,Wales
AC Milan,dc56fe14,AC Milan,Italy
AC Milan (Ita),dc56fe14,AC Milan,Italy
Admira (Aut),d7d06475,FC Admira Wacker Mödling,Austria
AEK Athens FC,d5348c80,AEK Athens FC,Greece
AEK Athens FC (Gre),d5348c80,AEK Athens FC,Greece
AEK Larnaca (Cyp),01689b1a,AEK Larnaca FC,Cyprus
AEL Limassol (Cyp),651288fd,AEL Limassol,Cyprus
AIK (Blu),b0333581,AIK Stockholm,Sweden
AIK (Swe),b0333581,AIK Stockholm,Sweden
Airbus (Wal),1a1d4c22,Airbus UK Broughton FC,Wales
Ajax,19c3f8c4,AFC Ajax,Netherlands
Ajax (Ned),19c3f8c4,AFC Ajax,Netherlands
Akademija Pandev (Mkd),99875d32,Akademija Pandev,North Macedonia
Aktobe (Kaz),c8282e20,FC Aktobe,Kazakhstan
Alashkert (Arm),e6232d10,Alashkert FC,Armenia
Altach (Aut),80beba99,SC Rheindorf Altach,Austria
Anderlecht,08ad393c,RSC Anderlecht,Belgium
Anderlecht (Bel),08ad393c,RSC Anderlecht,Belgium
Anorthosis (Cyp),d27fe90c,Anorthosis Famagusta FC,Cyprus
Antwerp,c2e6b53b,Royal Antwerp FC,Belgium
Antwerp (Bel),c2e6b53b,Royal Antwerp FC,Belgium
APOEL,eab315a6,APOEL FC,Cyprus
APOEL (Cyp),eab315a6,APOEL FC,Cyprus
Apollon (Cyp),8dff1828,Apollon Limassol,Cyprus
Ararat-Armenia (Arm),85dbecd4,FC Ararat-Armenia,Armenia
Aris (Gre),edddfa63,Aris Thessaloniki FC,Greece
Arka Gdynia (Pol),d51bc6dd,MKS Arka Gdynia,Poland
Arouca (Por),0d36ddd4,FC Arouca,Portugal
Arsenal,18bb7c10,Arsenal FC,England
Arsenal (Eng),18bb7c10,Arsenal FC,England
Arsenal Tula (Rus),0bca3a9e,FC Arsenal Tula,Russia
AS Roma,cf74a709,AS Roma,Italy
AS Roma (Ita),cf74a709,AS Roma,Italy
Asteras Tripolis (Gre),d884c383,Asteras Tripoli FC,Greece
Astra,12d53956,FC Astra Giurgiu,Romania
Astra (Rou),12d53956,FC Astra Giurgiu,Romania
Atalanta,922493f3,Atalanta BC,Italy
Atalanta (Ita),922493f3,Atalanta BC,Italy
Ath Bilbao,2b390eca,Athletic Bilbao,Spain
Ath Bilbao (Esp),2b390eca,Athletic Bilbao,Spain
Atl. Madrid,db3b9613,Atlético Madrid,Spain
Atlantas (Ltu),d7478aa0,FK Atlantas,Lithuania
Atromitos (Gre),c9607f44,Atromitos FC,Greece
Augsburg,0cdc4311,FC Augsburg,Germany
Austria Vienna (Aut),ee0bccc5,FK Austria Wien,Austria
AZ Alkmaar,3986b791,AZ Alkmaar,Netherlands
AZ Alkmaar (Ned),3986b791,AZ Alkmaar,Netherlands
B. Monchengladbach,32f3ee20,Borussia Mönchengladbach,Germany
B. Monchengladbach (Ger),32f3ee20,Borussia Mönchengladbach,Germany
B36 Torshavn,056a9b27,B36 Tórshavn,Faroe Islands
B36 Torshavn (Fai),056a9b27,B36 Tórshavn,Faroe Islands
Bala,56b45f69,Bala Town FC,Wales
Bala (Wal),56b45f69,Bala Town FC,Wales
Ballymena (Nir),b0e70933,Ballymena United FC,Northern Ireland
Balzan (Mlt),49e1cbfd,Balzan FC,Malta
Banga (Ltu),34cc3f19,FK Banga Gargždai,Lithuania
Bangor City (Wal),dd3fa21f,Bangor City FC,Wales
Barcelona,206d90db,FC Barcelona,Spain
Barry (Wal),d8760be1,Barry Town United FC,Wales
Basaksehir,bff39cf5,İstanbul Başakşehir FK,Turkey
Basaksehir (Tur),bff39cf5,İstanbul Başakşehir FK,Turkey
Basel,d3d9424a,FC Basel,Switzerland
Basel (Sui),d3d9424a,FC Basel,Switzerland
BATE,b983b638,FC BATE Borisov,Belarus
BATE (Blr),b983b638,FC BATE Borisov,Belarus
Bayer Leverkusen,c7a9f859,Bayer 04 Leverkusen,Germany
Bayer Leverkusen (Ger),c7a9f859,Bayer 04 Leverkusen,Germany
Bayern Munich,054efa67,FC Bayern Munich,Germany
Beitar Jerusalem (Isr),79000faa,Beitar Jerusalem FC,Israel
Belenenses (Por),19dc476f,CF Os Belenenses,Portugal
Benfica,a77c513e,SL Benfica,Portugal
Benfica (Por),a77c513e,SL Benfica,Portugal
Beroe (Bul),ab7b2fe7,PFC Beroe Stara Zagora,Bulgaria
Besiktas,0f9294bd,Beşiktaş JK,Turkey
Besiktas (Tur),0f9294bd,Beşiktaş JK,Turkey
Betis,fc536746,Real Betis,Spain
Birkirkara,7bb567b2,Birkirkara FC,Malta
Birkirkara (Mlt),7bb567b2,Birkirkara FC,Malta
Bnei Yehuda (Isr),1040e0f7,Bnei Yehuda Tel Aviv FC,Israel
Bokelj (Mne),9bc3bc52,FK Bokelj,Montenegro
Bolnisi (Geo),88ee782c,FC Sioni Bolnisi,Georgia
Bordeaux (Fra),123f3efe,FC Girondins de Bordeaux,France
Botev Plovdiv (Bul),e56e174a,PFC Botev Plovdiv,Bulgaria
Braga,69d84c29,SC Braga,Portugal
Braga (Por),69d84c29,SC Braga,Portugal
Brann (Nor),aeae4fe1,SK Brann,Norway
Breidablik (Ice),4a29fb1c,Breiðablik UBK,Iceland
Brest (Blr),31742d51,FC Dinamo Brest,Belarus
Brommapojkarna (Swe),bb9e11b2,IF Brommapojkarna,Sweden
Brondby (Den),ab75e049,Brøndby IF,Denmark
Buducnost (Mne),f4f98e1c,FK Budućnost Podgorica,Montenegro
Burnley (Eng),943e8050,Burnley FC,England
Bursaspor (Tur),6a3b81bf,Bursaspor,Turkey
Cardiff Metropolitan (Wal),4872ca3d,Cardiff Metropolitan University FC,Wales
Celik Niksic (Mne),738cdee0,FK Čelik Nikšić,Montenegro
Celje (Slo),c56c28b0,NK Celje,Slovenia
Celta Vigo,f25da7fb,Celta de Vigo,Spain
Celtic,b81aa4fa,Celtic FC,Scotland
Celtic (Sco),b81aa4fa,Celtic FC,Scotland
CFR Cluj,ff04e205,CFR Cluj,Romania
CFR Cluj (Rou),ff04e205,CFR Cluj,Romania
Ch. Odessa (Ukr),cdd0bbb6,FC Chornomorets Odesa,Ukraine
Charleroi (Bel),140e320a,R. Charleroi SC,Belgium
Chelsea,cff3d9bb,Chelsea FC,England
Cherno More (Bul),f61e60c9,PFC Cherno More Varna,Bulgaria
Chikhura (Geo),e839c85b,FC Chikhura Sachkhere,Georgia
Cliftonville (Nir),5a130b7c,Cliftonville FC,Northern Ireland
Club Brugge KV,f1e6c5f1,Club Brugge KV,Belgium
Club Brugge KV (Bel),f1e6c5f1,Club Brugge KV,Belgium
Coleraine (Nir),3fdad06c,Coleraine FC,Northern Ireland
Connahs Q. (Wal),7d326cbe,Gap Connah's Quay FC,Wales
Cork City (Irl),4936d1b7,Cork City FC,Ireland
Cracovia (Pol),6e7c9b0b,KS Cracovia,Poland
Crusaders (Nir),0b6cd7c6,Crusaders FC,Northern Ireland
CSKA Moscow,f0c0c2c2,PFC CSKA Moscow,Russia
CSKA Moscow (Rus),f0c0c2c2,PFC CSKA Moscow,Russia
CSKA Sofia (Bul),cbde2682,PFC CSKA Sofia,Bulgaria
Cukaricki (Srb),42e847bc,FK Čukarički,Serbia
D. Zagreb,edd0d381,GNK Dinamo Zagreb,Croatia
D. Zagreb (Cro),edd0d381,GNK Dinamo Zagreb,Croatia
Dacia Chisinau (Mda),3cb9ad76,FC Dacia Chișinău,Moldova
Daugava Riga (Lat),56b555e4,FK Daugava,Latvia
Debrecen (Hun),e24ac92e,Debreceni VSC,Hungary
Derry City (Nir),15f9a98b,Derry City FC,Ireland
Differdange (Lux),58ff3cd4,FC Differdange 03,Luxembourg
Dila Gori (Geo),ae098b55,FC Dila Gori,Georgia
Din. Bucuresti (Rou),4472d406,FC Dinamo București,Romania
Din. Minsk (Blr),e2a78c9d,FC Dinamo Minsk,Belarus
Dinamo Batumi (Geo),840ff2b7,FC Dinamo Batumi,Georgia
Dinamo Tbilisi (Geo),e2fa043d,FC Dinamo Tbilisi,Georgia
Djurgarden (Swe),9423c05a,Djurgårdens IF,Sweden
Dnipro,c4770a69,FC Dnipro,Ukraine
Dnipro (Ukr),c4770a69,FC Dnipro,Ukraine
Domzale (Slo),8ac05d3e,NK Domžale,Slovenia
Dortmund,add600ae,Borussia Dortmund,Germany
Dortmund (Ger),add600ae,Borussia Dortmund,Germany
Drita (Kos),77b23ba3,KF Drita,Kosovo
Druids,0876564a,Cefn Druids AFC,Wales
Dudelange (Lux),baae133b,F91 Dudelange,Luxembourg
Dun. Streda (Svk),b11bfada,FC DAC 1904 Dunajská Streda,Slovakia
Dunav Ruse (Bul),97171221,FC Dunav Ruse,Bulgaria
Dundalk (Irl),e4a9d483,Dundalk FC,Ireland
DVTK (Hun),e4babb95,Diósgyőri VTK,Hungary
Dyn. Kyiv,c734e22f,FC Dynamo Kyiv,Ukraine
Dyn. Kyiv (Ukr),c734e22f,FC Dynamo Kyiv,Ukraine
Dynamo Moscow,541a280b,FC Dynamo Moscow,Russia
Dynamo Moscow (Rus),541a280b,FC Dynamo Moscow,Russia
Eintracht Frankfurt,f0ac8ee6,Eintracht Frankfurt,Germany
Eintracht Frankfurt (Ger),f0ac8ee6,Eintracht Frankfurt,Germany
Ekranas (Ltu),3ca079d2,FK Ekranas,Lithuania
Elfsborg (Swe),50e85bfc,IF Elfsborg,Sweden
Ermis (Cyp),5ac58233,Ermis Aradippou,Cyprus
Ertis Pavlodar (Kaz),db5a37c5,FC Irtysh Pavlodar,Kazakhstan
Esbjerg (Den),31aa0dd4,Esbjerg fB,Denmark
Espanyol,a8661628,RCD Espanyol,Spain
Espanyol (Esp),a8661628,RCD Espanyol,Spain
Europa FC,75cd4ee3,Europa FC,Gibraltar
Europa FC (Gib),75cd4ee3,Europa FC,Gibraltar
Everton,d3fd31cc,Everton FC,England
Everton (Eng),d3fd31cc,Everton FC,England
FC Astana,c72c8787,FC Astana,Kazakhstan
FC Astana (Kaz),c72c8787,FC Astana,Kazakhstan
FC Botosani (Rou),d921c99f,FC Botoșani,Romania
FC Copenhagen,18050b20,FC Copenhagen,Denmark
FC Copenhagen (Den),18050b20,FC Copenhagen,Denmark
FC Daugava (Lat),2fc6183e,FC Daugava,Latvia
FC Porto,5e876ee6,FC Porto,Portugal
FC Porto (Por),5e876ee6,FC Porto,Portugal
FC Santa Coloma (And),9549dc95,FC Santa Coloma,Andorra
FC Tiraspol (Mda),6e8ad38a,FC Tiraspol,Moldova
FCSB,aed59852,FCSB,Romania
FCSB (Rou),aed59852,FCSB,Romania
Fenerbahce,ae1e2d7d,Fenerbahçe SK,Turkey
Fenerbahce (Tur),ae1e2d7d,Fenerbahçe SK,Turkey
Ferencvaros (Hun),6611f992,Ferencvárosi TC,Hungary
Feronikeli (Kos),abffa138,KF Feronikeli,Albania
Feyenoord,fb4ca611,Feyenoord Rotterdam,Netherlands
Feyenoord (Ned),fb4ca611,Feyenoord Rotterdam,Netherlands
Fiorentina,421387cf,ACF Fiorentina,Italy
FK Crvena zvezda,099c6eb5,Red Star Belgrade,Serbia
FK Crvena zvezda (Srb),099c6eb5,Red Star Belgrade,Serbia
FK Liepaja (Lat),54f29d7b,FK Liepāja,Latvia
FK Rostov,d60423ef,FC Rostov,Russia
FK Rostov (Rus),d60423ef,FC Rostov,Russia
FK Sarajevo (Bih),fac9957a,FK Sarajevo,Bosnia and Herzegovina
FK Zorya Luhansk (Ukr),946a30cb,FC Zorya Luhansk,Ukraine
Flamurtari (Alb),3d81ccdb,Flamurtari Vlorë,Albania
Flora (Est),719d83f1,FC Flora,Estonia
Floriana (Mlt),9c088d4e,Floriana FC,Malta
Fola (Lux),aa065002,CS Fola Esch,Luxembourg
Folgore,c582b1da,SS Folgore Falciano Calcio,San Marino
Folgore (San),c582b1da,SS Folgore Falciano Calcio,San Marino
Fram (Ice),5a8bd0bd,Knattspyrnufélagið Fram,Iceland
Freiburg (Ger),a486e511,SC Freiburg,Germany
G.A. Eagles (Ned),e33d6108,Go Ahead Eagles,Netherlands
Gabala (Aze),a1962466,Gabala FK,Azerbaijan
Galatasaray,ecd11ca2,Galatasaray SK,Turkey
Galatasaray (Tur),ecd11ca2,Galatasaray SK,Turkey
Gandzasar (Arm),5f2630fb,Gandzasar Kapan FC,Armenia
Genk,1e972a99,KRC Genk,Belgium
Genk (Bel),1e972a99,KRC Genk,Belgium
Gent,51e5a603,KAA Gent,Belgium
Gent (Bel),51e5a603,KAA Gent,Belgium
Getafe,7848bd64,Getafe CF,Spain
Giannina (Gre),6507d2b8,PAS Giannina,Greece
Glenavon (Nir),b3b6ca5d,Glenavon FC,Northern Ireland
Glentoran (Nir),eaa4ec68,Glentoran FC,Northern Ireland
Gornik Z. (Pol),d2f21b23,KS Górnik Zabrze,Poland
Goteborg (Swe),ef1ab26a,IFK Göteborg,Sweden
Granada CF,a0435291,Granada CF,Spain
Grasshoppers (Sui),7b66a29c,Grasshopper Club Zürich,Switzerland
Grodig (Aut),d40080b0,SV Grödig,Austria
Groningen (Ned),bec05adb,FC Groningen,Netherlands
Guimaraes (Por),3f319bc9,Vitória de Guimarães,Portugal
Guingamp,d41b5f53,En Avant de Guingamp,France
Gyor (Hun),4149e9fd,Győri ETO FC,Hungary
Gzira,8ab497d5,Gżira United FC,Malta
Gzira (Mlt),8ab497d5,Gżira United FC,Malta
H. Beer Sheva,133013ee,Hapoel Be'er Sheva FC,Israel
H. Beer Sheva (Isr),133013ee,Hapoel Be'er Sheva FC,Israel
Hacken (Swe),8774e267,BK Häcken,Sweden
Hafnarfjordur (Ice),9ac2ced1,Fimleikafélag Hafnarfjarðar,Iceland
Hajduk Split (Cro),6777e16d,HNK Hajduk Split,Croatia
Hapoel Haifa (Isr),8ff9960d,Hapoel Haifa FC,Israel
Hapoel Tel Aviv (Isr),8bb196a5,Hapoel Tel Aviv FC,Israel
Haugesund (Nor),f4bbcd04,FK Haugesund,Norway
Haugesund (Red),f4bbcd04,FK Haugesund,Norway
HB Torshavn (Fai),15c5743b,Havnar Bóltfelag,Faroe Islands
Hearts (Sco),7c77b0bc,Heart of Midlothian FC,Scotland
Heracles (Ned),c882b88e,Heracles Almelo,Netherlands
Hertha Berlin (Ger),2818f8bc,Hertha BSC,Germany
Hibernian (Sco),f3aacc58,Hibernian FC,Scotland
Hibernians (Mlt),0faf8f33,Hibernians FC,Malta
HJK (Fin),d7319d80,HJK Helsinki,Finland
Hoffenheim,033ea6b8,TSG 1899 Hoffenheim,Germany
Hoffenheim (Ger),033ea6b8,TSG 1899 Hoffenheim,Germany
Honka (Fin),c3071553,FC Honka,Finland
Honved (Hun),8cac5dfa,Budapest Honvéd FC,Hungary
Hull (Eng),bd8769d1,Hull City AFC,England
IF Fuglafjordur (Fai),b393ffaf,ÍF Fuglafjørður,Faroe Islands
Ilves (Fin),acffac85,FC Ilves,Finland
Infonet Tallinn (Est),82d952b5,FC Infonet,Estonia
Inter,d609edc0,Internazionale,Italy
Inter (Ita),d609edc0,Internazionale,Italy
Inter Turku (Fin),e9fa2e8b,FC Inter Turku,Finland
Inverness (Sco),4463fecb,Inverness Caledonian Thistle FC,Scotland
Jablonec (Cze),8424bb18,FK Jablonec,Czech Republic
Jagiellonia (Pol),4f7b798d,Jagiellonia Białystok,Poland
Jagodina (Srb),e5cd7bb3,FK Jagodina,Serbia
Jelgava (Lat),8a898dad,FK Jelgava,Latvia
Jeunesse Esch (Lux),f1849f98,Jeunesse Esch,Luxembourg
Juvenes/Dogana (San),633ae161,AC Juvenes/Dogana,San Marino
Juventus,e0652b02,Juventus,Italy
K. Almaty (Kaz),768fb565,FC Kairat,Kazakhstan
Kalju (Est),33afefe1,Nõmme Kalju FC,Estonia
Kapaz (Aze),820a1312,Kapaz PFK,Azerbaijan
Kardemir Karabuk (Tur),30f3de93,Kardemir Karabükspor,Turkey
Kauno Zalgiris (Ltu),3b8af0c2,FK Kauno Žalgiris,Lithuania
Keshla (Aze),63866313,Keşla FK,Azerbaijan
KF Tirana (Alb),83310fa5,KF Tirana,Albania
Kilmarnock (Sco),25f1fd26,Kilmarnock FC,Scotland
Klaksvik,869753d6,KÍ Klaksvík,Faroe Islands
Klaksvik (Fai),869753d6,KÍ Klaksvík,Faroe Islands
Koper (Slo),253fffc4,FC Koper,Slovenia
KR Reykjavik (Ice),ae156985,Knattspyrnufélag Reykjavíkur,Iceland
Krasnodar,fa11a9cc,FC Krasnodar,Russia
Krasnodar (Rus),fa11a9cc,FC Krasnodar,Russia
Kruoja (Ltu),2471f5fa,FK Kruoja Pakruojis,Lithuania
Kukesi (Alb),f1e85b1e,FK Kukësi,Albania
KuPS (Fin),e6f63673,Kuopion PS,Finland
La Fiorita (Gr2),6de42722,S.P. La Fiorita,San Marino
La Fiorita (San),6de42722,S.P. La Fiorita,San Marino
Laci (Alb),7a40cd8b,KF Laçi,Albania
Lahti (Fin),5b8cfb05,FC Lahti,Finland
LASK,d20821dd,LASK Linz,Austria
LASK (Aut),d20821dd,LASK Linz,Austria
LASK Linz (Aut),d20821dd,LASK Linz,Austria
Lazio,7213da33,SS Lazio,Italy
Lazio (Ita),7213da33,SS Lazio,Italy
Lech Poznan (Pol),fdba14df,KKS Lech Poznań,Poland
Lechia Gdansk (Pol),5d36c8f0,KS Lechia Gdańsk,Poland
Legia,a73408a7,Legia Warsaw,Poland
Legia (Pol),a73408a7,Legia Warsaw,Poland
Leicester,a2d435b3,Leicester City FC,England
Levadia (Est),112c9642,FC Levadia Tallinn,Estonia
Levski Sofia (Bul),3a7a27c6,PFC Levski Sofia,Bulgaria
Liberec (Cze),2c9bebcd,FC Slovan Liberec,Czech Republic
Libertas (San),1286546c,AC Libertas,San Marino
Lille,cb188c0c,Lille OSC,France
Lille (Fra),cb188c0c,Lille OSC,France
Lillestrom (Nor),924759ab,Lillestrøm SK,Norway
Lincoln Red Imps (Gib),2d3c1b6d,Lincoln Red Imps FC,Gibraltar
Linfield (Nir),4c96013a,Linfield FC,Northern Ireland
Litex Lovech (Bul),835be610,PFC Litex Lovech,Bulgaria
Liverpool,822bd0ba,Liverpool FC,England
Liverpool (Eng),822bd0ba,Liverpool FC,England
