szn,stagecode,team1,team2,winner,teamid1,teamid2,winnerid,aggscore,result,score1,score2
2014-2015,cl-0q-1fqr,Santa Coloma,FC Banants,Santa Coloma,9549dc95,f0e1ca42,9549dc95,3–3,"Santa Coloma won on away goals, after aggregate score was tied and advance to Second Qualifying Round.",1–0,3–2
2014-2015,cl-0q-1fqr,Red Imps,Havnar Bóltfelag,Havnar Bóltfelag,2d3c1b6d,15c5743b,15c5743b,3–6,Havnar Bóltfelag won on aggregate score over two legs and advance to Second Qualifying Round.,1–1,5–2
2014-2015,cl-0q-1fqr,S.P. La Fiorita,Levadia Tallinn,Levadia Tallinn,6de42722,112c9642,112c9642,0–8,Levadia Tallinn won on aggregate score over two legs and advance to Second Qualifying Round.,0–1,7–0
2014-2015,cl-0q-2sqr,BATE Borisov,Skënderbeu Korçë,BATE Borisov,b983b638,df526548,b983b638,1–1,"BATE Borisov won on away goals, after aggregate score was tied and advance to Third Qualifying Round.",0–0,1–1
2014-2015,cl-0q-2sqr,Santa Coloma,Maccabi Tel Aviv,Maccabi Tel Aviv,9549dc95,04c011d8,04c011d8,0–3,Maccabi Tel Aviv won on aggregate score over two legs and advance to Third Qualifying Round.,0–1,2–0
2014-2015,cl-0q-2sqr,Dinamo Tbilisi,FC Aktobe,FC Aktobe,e2fa043d,c8282e20,c8282e20,0–4,FC Aktobe won on aggregate score over two legs and advance to Third Qualifying Round.,0–1,3–0
2014-2015,cl-0q-2sqr,Zrinjski Mostar,NK Maribor,NK Maribor,2a6cfcb2,2aae7689,2aae7689,0–2,NK Maribor won on aggregate score over two legs and advance to Third Qualifying Round.,0–0,2–0
2014-2015,cl-0q-2sqr,Sheriff Tiraspol,Sutjeska Nikšić,Sheriff Tiraspol,50995c1e,55ff3845,50995c1e,5–0,Sheriff Tiraspol won on aggregate score over two legs and advance to Third Qualifying Round.,2–0,0–3
2014-2015,cl-0q-2sqr,Sparta Prague,Levadia Tallinn,Sparta Prague,ecb862be,112c9642,ecb862be,8–1,Sparta Prague won on aggregate score over two legs and advance to Third Qualifying Round.,7–0,1–1
2014-2015,cl-0q-2sqr,Malmö,FK Ventspils,Malmö,f3d8c8b9,869a3b6a,f3d8c8b9,1–0,Malmö won on aggregate score over two legs and advance to Third Qualifying Round.,0–0,0–1
2014-2015,cl-0q-2sqr,ŠK Slovan Bratislava,The New Saints,ŠK Slovan Bratislava,ae7f2f70,fd12ff13,ae7f2f70,3–0,ŠK Slovan Bratislava won on aggregate score over two legs and advance to Third Qualifying Round.,1–0,0–2
2014-2015,cl-0q-2sqr,KR Reykjavík,Celtic,Celtic,ae156985,b81aa4fa,b81aa4fa,0–5,Celtic won on aggregate score over two legs and advance to Third Qualifying Round.,0–1,4–0
2014-2015,cl-0q-2sqr,Cliftonville FC,Debrecen,Debrecen,5a130b7c,e24ac92e,e24ac92e,0–2,Debrecen won on aggregate score over two legs and advance to Third Qualifying Round.,0–0,2–0
2014-2015,cl-0q-2sqr,Partizan,Havnar Bóltfelag,Partizan,dde3e804,15c5743b,dde3e804,6–1,Partizan won on aggregate score over two legs and advance to Third Qualifying Round.,3–0,1–3
2014-2015,cl-0q-2sqr,Legia Warsaw,St Patrick's,Legia Warsaw,a73408a7,8a814429,a73408a7,6–1,Legia Warsaw won on aggregate score over two legs and advance to Third Qualifying Round.,1–1,0–5
2014-2015,cl-0q-2sqr,FK Rabotnički,HJK Helsinki,HJK Helsinki,4ebc9920,d7319d80,d7319d80,1–2,HJK Helsinki won on aggregate score over two legs and advance to Third Qualifying Round.,0–0,2–1
2014-2015,cl-0q-2sqr,Dinamo Zagreb,Žalgiris,Dinamo Zagreb,edd0d381,4c6489de,edd0d381,4–0,Dinamo Zagreb won on aggregate score over two legs and advance to Third Qualifying Round.,2–0,0–2
2014-2015,cl-0q-2sqr,Ludogorets,F91 Dudelange,Ludogorets,488c6ba1,baae133b,488c6ba1,5–1,Ludogorets won on aggregate score over two legs and advance to Third Qualifying Round.,4–0,1–1
2014-2015,cl-0q-2sqr,Valletta FC,Qarabağ FK,Qarabağ FK,3f53cc7a,44b65410,44b65410,0–5,Qarabağ FK won on aggregate score over two legs and advance to Third Qualifying Round.,0–1,4–0
2014-2015,cl-0q-2sqr,Strømsgodset,Steaua,Steaua,90eb0dcc,aed59852,aed59852,0–3,Steaua won on aggregate score over two legs and advance to Third Qualifying Round.,0–1,2–0
2014-2015,cl-0q-3tqr,Qarabağ FK,RB Salzburg,RB Salzburg,44b65410,50f2a074,50f2a074,2–3,RB Salzburg won on aggregate score over two legs and advance to Play-off Round.,2–1,2–0
2014-2015,cl-0q-3tqr,Debrecen,BATE Borisov,BATE Borisov,e24ac92e,b983b638,b983b638,2–3,BATE Borisov won on aggregate score over two legs and advance to Play-off Round.,1–0,3–1
2014-2015,cl-0q-3tqr,ŠK Slovan Bratislava,Sheriff Tiraspol,ŠK Slovan Bratislava,ae7f2f70,50995c1e,ae7f2f70,2–1,ŠK Slovan Bratislava won on aggregate score over two legs and advance to Play-off Round.,2–1,0–0
2014-2015,cl-0q-3tqr,Aalborg,Dinamo Zagreb,Aalborg,7e746554,edd0d381,7e746554,2–1,Aalborg won on aggregate score over two legs and advance to Play-off Round.,0–1,0–2
2014-2015,cl-0q-3tqr,Legia Warsaw,Celtic,Celtic,a73408a7,b81aa4fa,b81aa4fa,4–4,"Celtic won on away goals, after aggregate score was tied and advance to Play-off Round.",4–1,3–0
2014-2015,cl-0q-3tqr,FC Aktobe,Steaua,Steaua,c8282e20,aed59852,aed59852,3–4,Steaua won on aggregate score over two legs and advance to Play-off Round.,2–2,2–1
2014-2015,cl-0q-3tqr,NK Maribor,Maccabi Tel Aviv,NK Maribor,2aae7689,04c011d8,2aae7689,3–2,NK Maribor won on aggregate score over two legs and advance to Play-off Round.,1–0,2–2
2014-2015,cl-0q-3tqr,HJK Helsinki,APOEL FC,APOEL FC,d7319d80,eab315a6,eab315a6,2–4,APOEL FC won on aggregate score over two legs and advance to Play-off Round.,2–2,2–0
2014-2015,cl-0q-3tqr,Sparta Prague,Malmö,Malmö,ecb862be,f3d8c8b9,f3d8c8b9,4–4,"Malmö won on away goals, after aggregate score was tied and advance to Play-off Round.",4–2,2–0
2014-2015,cl-0q-3tqr,Ludogorets,Partizan,Ludogorets,488c6ba1,dde3e804,488c6ba1,2–2,"Ludogorets won on away goals, after aggregate score was tied and advance to Play-off Round.",0–0,2–2
2014-2015,cl-0q-3tqr,AEL Limassol,Zenit,Zenit,651288fd,98ce363d,98ce363d,1–3,Zenit won on aggregate score over two legs and advance to Play-off Round.,1–0,3–0
2014-2015,cl-0q-3tqr,Dnipro,FC Copenhagen,FC Copenhagen,c4770a69,18050b20,18050b20,0–2,FC Copenhagen won on aggregate score over two legs and advance to Play-off Round.,0–0,2–0
2014-2015,cl-0q-3tqr,Feyenoord,Beşiktaş,Beşiktaş,fb4ca611,0f9294bd,0f9294bd,2–5,Beşiktaş won on aggregate score over two legs and advance to Play-off Round.,1–2,3–1
2014-2015,cl-0q-3tqr,Grasshopper,Lille,Lille,7b66a29c,cb188c0c,cb188c0c,1–3,Lille won on aggregate score over two legs and advance to Play-off Round.,0–2,1–1
2014-2015,cl-0q-3tqr,Standard Liège,Panathinaikos,Standard Liège,33c6b26e,f3a5726c,33c6b26e,2–1,Standard Liège won on aggregate score over two legs and advance to Play-off Round.,0–0,1–2
2014-2015,cl-0q-4po,NK Maribor,Celtic,NK Maribor,2aae7689,b81aa4fa,2aae7689,2–1,NK Maribor won on aggregate score over two legs and advance to Group Stage.,1–1,0–1
2014-2015,cl-0q-4po,RB Salzburg,Malmö,Malmö,50f2a074,f3d8c8b9,f3d8c8b9,2–4,Malmö won on aggregate score over two legs and advance to Group Stage.,2–1,3–0
2014-2015,cl-0q-4po,Aalborg,APOEL FC,APOEL FC,7e746554,eab315a6,eab315a6,1–5,APOEL FC won on aggregate score over two legs and advance to Group Stage.,1–1,4–0
2014-2015,cl-0q-4po,Steaua,Ludogorets,Ludogorets,aed59852,488c6ba1,488c6ba1,1–1,Ludogorets won on penalty kicks following extra time and advance to Group Stage.,1–0,1–0
