competition,code_string,szn,compurl
Champions League,cl,2019-2020,https://fbref.com/en/comps/8/Champions-League-Stats
Europa League,el,2019-2020,https://fbref.com/en/comps/19/Europa-League-Stats
Champions League,cl,2018-2019,https://fbref.com/en/comps/8/2102/2018-2019-UEFA-Champions-League-Stats
Europa League,el,2018-2019,https://fbref.com/en/comps/19/2103/2018-2019-UEFA-Europa-League-Stats
Champions League,cl,2017-2018,https://fbref.com/en/comps/8/1656/2017-2018-UEFA-Champions-League-Stats
Europa League,el,2017-2018,https://fbref.com/en/comps/19/1657/2017-2018-UEFA-Europa-League-Stats
Champions League,cl,2016-2017,https://fbref.com/en/comps/8/1551/2016-2017-UEFA-Champions-League-Stats
Europa League,el,2016-2017,https://fbref.com/en/comps/19/1552/2016-2017-UEFA-Europa-League-Stats
Champions League,cl,2015-2016,https://fbref.com/en/comps/8/1555/2015-2016-UEFA-Champions-League-Stats
Europa League,el,2015-2016,https://fbref.com/en/comps/19/801/2015-2016-UEFA-Europa-League-Stats
Champions League,cl,2014-2015,https://fbref.com/en/comps/8/768/2014-2015-UEFA-Champions-League-Stats
Europa League,el,2014-2015,https://fbref.com/en/comps/19/769/2014-2015-UEFA-Europa-League-Stats
Champions League,cl,2013-2014,https://fbref.com/en/comps/8/694/2013-2014-UEFA-Champions-League-Stats
Europa League,el,2013-2014,https://fbref.com/en/comps/19/695/2013-2014-UEFA-Europa-League-Stats
Champions League,cl,2012-2013,https://fbref.com/en/comps/8/628/2012-2013-UEFA-Champions-League-Stats
Europa League,el,2012-2013,https://fbref.com/en/comps/19/629/2012-2013-UEFA-Europa-League-Stats
Champions League,cl,2011-2012,https://fbref.com/en/comps/8/562/2011-2012-UEFA-Champions-League-Stats
Europa League,el,2011-2012,https://fbref.com/en/comps/19/563/2011-2012-UEFA-Europa-League-Stats
Champions League,cl,2010-2011,https://fbref.com/en/comps/8/492/2010-2011-UEFA-Champions-League-Stats
Europa League,el,2010-2011,https://fbref.com/en/comps/19/493/2010-2011-UEFA-Europa-League-Stats
Champions League,cl,2009-2010,https://fbref.com/en/comps/8/426/2009-2010-UEFA-Champions-League-Stats
Europa League,el,2009-2010,https://fbref.com/en/comps/19/427/2009-2010-UEFA-Europa-League-Stats
Champions League,cl,2008-2009,https://fbref.com/en/comps/8/359/2008-2009-UEFA-Champions-League-Stats
Champions League,cl,2007-2008,https://fbref.com/en/comps/8/303/2007-2008-UEFA-Champions-League-Stats
Champions League,cl,2006-2007,https://fbref.com/en/comps/8/249/2006-2007-UEFA-Champions-League-Stats
Champions League,cl,2005-2006,https://fbref.com/en/comps/8/200/2005-2006-UEFA-Champions-League-Stats
Champions League,cl,2004-2005,https://fbref.com/en/comps/8/162/2004-2005-UEFA-Champions-League-Stats
Champions League,cl,2003-2004,https://fbref.com/en/comps/8/128/2003-2004-UEFA-Champions-League-Stats
Champions League,cl,2002-2003,https://fbref.com/en/comps/8/96/2002-2003-UEFA-Champions-League-Stats
Champions League,cl,2001-2002,https://fbref.com/en/comps/8/73/2001-2002-UEFA-Champions-League-Stats
Champions League,cl,2000-2001,https://fbref.com/en/comps/8/54/2000-2001-UEFA-Champions-League-Stats
Champions League,cl,1999-2000,https://fbref.com/en/comps/8/43/1999-2000-UEFA-Champions-League-Stats
