country,countrycode2,countrycode3,governingbody,Squad,Gender,Comp,From,To,Comps,Champs,Other Names,clubid
Albania,al,ALB,UEFA,Besa Kavajë,M,,2010-2011,2010-2011,0,,"",2fdee617
Albania,al,ALB,UEFA,FK Kukësi,M,,2013-2014,2019-2020,0,,"",f1e85b1e
Albania,al,ALB,UEFA,FK Partizani Tirana,M,,2015-2016,2019-2020,0,,FK Partizani,3ba2fddf
Albania,al,ALB,UEFA,Flamurtari Vlorë,M,,2009-2010,2014-2015,0,,"",3d81ccdb
Albania,al,ALB,UEFA,KF Elbasani,M,,2006-2007,2006-2007,0,,"",ddab4421
Albania,al,ALB,UEFA,KF Feronikeli,M,,2019-2020,2019-2020,0,,"",abffa138
Albania,al,ALB,UEFA,KF Laçi,M,,2010-2011,2019-2020,0,,"",7a40cd8b
Albania,al,ALB,UEFA,KF Skënderbeu Korçë,M,,2011-2012,2017-2018,0,0,"",df526548
Albania,al,ALB,UEFA,KF Teuta Durrës,M,,2012-2013,2019-2020,0,,"",2b924bc5
Albania,al,ALB,UEFA,KF Tirana,M,,1999-2000,2017-2018,0,,"",83310fa5
Albania,al,ALB,UEFA,KF Vllaznia Shkodër,F,,2014-2015,2019-2020,0,0,"",d8deaf72
Albania,al,ALB,UEFA,KF Vllaznia Shkodër,M,,2001-2002,2011-2012,0,,"",e3a68c8b
Albania,al,ALB,UEFA,KS Dinamo Tirana,M,,2002-2003,2010-2011,0,,"",d1c1d627
Albania,al,ALB,UEFA,Luftëtari Gjirokastër,M,,2018-2019,2018-2019,0,,"",0e3f0159
Andorra,ad,AND,UEFA,FC Lusitanos,M,,2010-2011,2016-2017,0,,,857b60c3
Andorra,ad,AND,UEFA,FC Rànger's,M,,2007-2008,2007-2008,0,,,f654070c
Andorra,ad,AND,UEFA,FC Santa Coloma,M,,2008-2009,2019-2020,0,,,9549dc95
Andorra,ad,AND,UEFA,UE Engordany,M,,2018-2019,2019-2020,0,,,b784c866
Andorra,ad,AND,UEFA,UE Sant Julià,M,,2009-2010,2019-2020,0,,,78816dd0
Andorra,ad,AND,UEFA,UE Santa Coloma,M,,2010-2011,2017-2018,0,,,84a33cca
Antigua and Barbuda,ag,ATG,CONCACAF,Antigua Barracuda FC,M,,2011,2013,3,0,,19d27917
Argentina,ar,ARG,CONMEBOL,Aldosivi,M,Superliga Argentina de Fútbol,2015,2019-2020,5,,CA,e5927bd8
Argentina,ar,ARG,CONMEBOL,Argentinos Juniors,M,Superliga Argentina de Fútbol,2015,2019-2020,5,0,AA,d01a653b
Argentina,ar,ARG,CONMEBOL,Arsenal de Sarandí,M,Superliga Argentina de Fútbol,2014,2019-2020,6,0,Arsenal FC,4bee7ba3
