stagecode,code_string,szn,competition,stage,round,dates,team1,team2,teamid1,teamid2,winner,aggscore,result,hometeam1,date1,score1,url1,hometeam2,date2,score2,url2
cl-1k-6final,cl,1990-1991,European Cup,knockout,Final,"May 29, 1991",Red Star,Marseille,099c6eb5,5725cc7b,Red Star,0–0,Red Star won on penalty kicks following extra time.,,,,,,,,
cl-1k-5sf,cl,1990-1991,European Cup,knockout,Semi-finals,"April 10, 1991 to April 24, 1991",Red Star,Bayern Munich,099c6eb5,054efa67,Red Star,4–3,Red Star won on aggregate score over two legs.,Bayern Munich,Apr 10,1–2,https://fbref.com/en/matches/2af776ec/Bayern-Munich-Red-Star-April-10-1991-European-Cup,Red Star,Apr 24,2–2,https://fbref.com/en/matches/8c0b50bb/Red-Star-Bayern-Munich-April-24-1991-European-Cup
cl-1k-5sf,cl,1990-1991,European Cup,knockout,Semi-finals,"April 10, 1991 to April 24, 1991",Marseille,Spartak Moscow,5725cc7b,8c635914,Marseille,5–2,Marseille won on aggregate score over two legs.,Spartak Moscow,Apr 10,1–3,https://fbref.com/en/matches/d752a7a2/Spartak-Moscow-Marseille-April-10-1991-European-Cup,Marseille,Apr 24,2–1,https://fbref.com/en/matches/6f6bc525/Marseille-Spartak-Moscow-April-24-1991-European-Cup
cl-1k-4qf,cl,1990-1991,European Cup,knockout,Quarter-finals,"March 6, 1991 to March 20, 1991",Marseille,Milan,5725cc7b,dc56fe14,Marseille,4–1,Marseille won on aggregate score over two legs.,Milan,Mar 6,1–1,https://fbref.com/en/matches/e5f7aa60/Milan-Marseille-March-6-1991-European-Cup,Marseille,Mar 20,3–0,https://fbref.com/en/matches/22356135/Marseille-Milan-March-20-1991-European-Cup
cl-1k-4qf,cl,1990-1991,European Cup,knockout,Quarter-finals,"March 6, 1991 to March 20, 1991",Bayern Munich,Porto,054efa67,5e876ee6,Bayern Munich,3–1,Bayern Munich won on aggregate score over two legs.,Bayern Munich,Mar 6,1–1,https://fbref.com/en/matches/7e515b31/Bayern-Munich-Porto-March-6-1991-European-Cup,Porto,Mar 20,0–2,https://fbref.com/en/matches/a3d1ef62/Porto-Bayern-Munich-March-20-1991-European-Cup
cl-1k-4qf,cl,1990-1991,European Cup,knockout,Quarter-finals,"March 6, 1991 to March 20, 1991",Spartak Moscow,Real Madrid,8c635914,53a2f082,Spartak Moscow,3–1,Spartak Moscow won on aggregate score over two legs.,Spartak Moscow,Mar 6,0–0,https://fbref.com/en/matches/6981b5ee/Spartak-Moscow-Real-Madrid-March-6-1991-European-Cup,Real Madrid,Mar 20,1–3,https://fbref.com/en/matches/862d8db2/Real-Madrid-Spartak-Moscow-March-20-1991-European-Cup
cl-1k-4qf,cl,1990-1991,European Cup,knockout,Quarter-finals,"March 6, 1991 to March 20, 1991",Red Star,Dresden,099c6eb5,ac36c181,Red Star,6–0,Red Star won on aggregate score over two legs.,Red Star,Mar 6,3–0,https://fbref.com/en/matches/1259fc68/Red-Star-Dresden-March-6-1991-European-Cup,Dresden,Mar 20,0–3,https://fbref.com/en/matches/21d52d88/Dresden-Red-Star-March-20-1991-European-Cup
cl-1k-2second,cl,1990-1991,European Cup,knockout,Second round,"October 23, 1990 to November 7, 1990",Bayern Munich,CSKA Sofia,054efa67,cbde2682,Bayern Munich,7–0,Bayern Munich won on aggregate score over two legs.,Bayern Munich,Oct 23,4–0,https://fbref.com/en/matches/8ba481cd/Bayern-Munich-CSKA-Sofia-October-23-1990-European-Cup,CSKA Sofia,Nov 6,0–3,https://fbref.com/en/matches/cb6a9808/CSKA-Sofia-Bayern-Munich-November-6-1990-European-Cup
cl-1k-2second,cl,1990-1991,European Cup,knockout,Second round,"October 23, 1990 to November 7, 1990",Real Madrid,FC Tirol Innsbruck,53a2f082,92819bd7,Real Madrid,11–3,Real Madrid won on aggregate score over two legs.,Real Madrid,Oct 24,9–1,https://fbref.com/en/matches/0670aa29/Real-Madrid-FC-Tirol-Innsbruck-October-24-1990-European-Cup,FC Tirol Innsbruck,Nov 7,2–2,https://fbref.com/en/matches/d149308a/FC-Tirol-Innsbruck-Real-Madrid-November-7-1990-European-Cup
cl-1k-2second,cl,1990-1991,European Cup,knockout,Second round,"October 23, 1990 to November 7, 1990",Spartak Moscow,Napoli,8c635914,d48ad4ff,Spartak Moscow,0–0,Spartak Moscow won on penalty kicks following extra time.,Napoli,Oct 24,0–0,https://fbref.com/en/matches/b3d0d07c/Napoli-Spartak-Moscow-October-24-1990-European-Cup,Spartak Moscow,Nov 7,0–0,https://fbref.com/en/matches/632f87ce/Spartak-Moscow-Napoli-November-7-1990-European-Cup
