comp,season,matchid,minute,extraTime,goaltype,team.id,team.name,scorer.id,scorer.name,assist.id,assist.name
CL,2017,200068,39,,REGULAR,1870,FC Alashkert,14820,Uroš Nenadović,14811,Artak Dashyan
CL,2017,200064,17,,REGULAR,1905,Víkingur Gøta,14871,Gunnar Vatnhamar,14872,Filip Đorđević
CL,2017,200064,39,,REGULAR,1906,KF Trepça '89 Mitrovicë,14858,Fiton Hajdari,,
CL,2017,200064,73,,REGULAR,1905,Víkingur Gøta,14865,Adeshina Lawal,14871,Gunnar Vatnhamar
CL,2017,200066,62,,REGULAR,1892,Hibernians FC,14903,Jorginho,14902,Marco Sahanek
CL,2017,200066,73,,OWN,1882,FCI Tallinn,14908,Aleksandr Volodin,,
CL,2017,200070,8,,REGULAR,1874,Europa FC,14939,Álex Quillo,14943,Kike Gómez
CL,2017,200070,44,,REGULAR,1904,The New Saints FC,14686,Scott Quigley,,
CL,2017,200070,78,,REGULAR,1874,Europa FC,14943,Kike Gómez,5654,Liam Walker
CL,2017,200072,89,,REGULAR,1896,Linfield FC,15007,Jordan Stewart,,
CL,2017,200065,37,,REGULAR,1905,Víkingur Gøta,14874,Sorin Vasili Anghel,14869,Sølvi Vatnhamar
CL,2017,200065,40,,OWN,1906,KF Trepça '89 Mitrovicë,14860,Perparim Islami,,
CL,2017,200065,52,,REGULAR,1905,Víkingur Gøta,14869,Sølvi Vatnhamar,,
CL,2017,200065,59,,REGULAR,1905,Víkingur Gøta,14869,Sølvi Vatnhamar,14865,Adeshina Lawal
CL,2017,200065,65,,REGULAR,1906,KF Trepça '89 Mitrovicë,14857,Florent Hasani,14875,Kushtrim Lushtaku
CL,2017,200067,88,,REGULAR,1892,Hibernians FC,14903,Jorginho,14900,Johann Bezzina
CL,2017,200071,37,,OWN,1874,Europa FC,14940,Iván Moya,,
CL,2017,200071,41,,REGULAR,1904,The New Saints FC,14686,Scott Quigley,14949,Aeron Edwards
CL,2017,200071,53,,PENALTY,1874,Europa FC,5654,Liam Walker,,
CL,2017,200071,104,,REGULAR,1904,The New Saints FC,14686,Scott Quigley,14947,Jamie Mullan
CL,2017,200069,28,,REGULAR,1870,FC Alashkert,14820,Uroš Nenadović,,
CL,2017,200069,63,,REGULAR,1879,FC Santa Coloma,14825,Ildefons Lima,15043,José Galán
CL,2017,200078,10,,PENALTY,611,Qarabağ Ağdam FK,15063,Əfran İsmayılov,,
CL,2017,200078,37,,REGULAR,611,Qarabağ Ağdam FK,15064,Dino Ndlovu,15057,Ansi Agolli
CL,2017,200078,45,1,PENALTY,611,Qarabağ Ağdam FK,15064,Dino Ndlovu,,
CL,2017,200078,83,,REGULAR,611,Qarabağ Ağdam FK,15080,Donald Guerrier,15055,Míchel
CL,2017,200078,90,2,REGULAR,611,Qarabağ Ağdam FK,15055,Míchel,,
CL,2017,200098,32,,PENALTY,1877,FC Red Bull Salzburg,15099,Valon Berisha,,
CL,2017,200098,35,,REGULAR,1877,FC Red Bull Salzburg,3354,Hwang Heechan,6563,Valentino Lazaro
CL,2017,200098,54,,REGULAR,1877,FC Red Bull Salzburg,15100,Takumi Minamino,15101,Munas Dabbur
CL,2017,200080,53,,PENALTY,850,FK Partizan Beograd,15129,Uroš Đurđević,,
CL,2017,200080,63,,REGULAR,850,FK Partizan Beograd,15148,Leonardo,15133,Léandre Tawamba
CL,2017,200102,4,,REGULAR,1893,HNK Rijeka,15158,Josip Mišić,,
CL,2017,200102,68,,REGULAR,1893,HNK Rijeka,15166,Florentin Matei,15155,Stefan Ristovski
CL,2017,200084,73,,REGULAR,1884,Astana FK,15191,Patrick Twumasi,,
CL,2017,200074,72,,REGULAR,752,APOEL FC,15229,Facundo Bertoglio,15249,Vander
CL,2017,200082,79,,PENALTY,1880,FC Sheriff Tiraspol,15284,Ziguy Badibanga,,
CL,2017,200088,35,,REGULAR,1891,Hapoel Be'er Sheva FC,15296,Miguel Vitor,15300,Maor Melikson
CL,2017,200088,52,,REGULAR,1891,Hapoel Be'er Sheva FC,15299,Dan Einbinder,15304,Anthony Nwakaeme
CL,2017,200088,63,,REGULAR,1872,Budapest Honvéd FC,15307,Davide Lanzafame,15305,Zsolt Laczkó
CL,2017,200090,62,,REGULAR,1889,FK Vardar Skopje,15345,Boban Nikolov,15351,Jonathan Balotelli
CL,2017,200090,75,,REGULAR,749,Malmö FF,15340,Franz Brorsson,15352,Magnus Wolff Eikrem
CL,2017,200092,43,,REGULAR,734,NK Maribor,15377,Luka Zahovič,15381,Gregor Bajde
CL,2017,200092,89,,REGULAR,1894,HŠK Zrinjski Mostar,15400,Ognjen Todorović,15384,Saša Kajkut
CL,2017,200092,90,4,PENALTY,734,NK Maribor,15393,Marcos Tavares,,
CL,2017,200100,43,,REGULAR,748,FK BATE Borisov,15417,Alyaksey Ryas,15414,Mikalay Signevich
CL,2017,200100,78,,OWN,748,FK BATE Borisov,15417,Alyaksey Ryas,,
CL,2017,200076,18,,REGULAR,1901,PFK Ludogorets 1945 Razgrad,15448,Anicet Andrianantenaina,,
CL,2017,200076,78,,REGULAR,1890,FK Žalgiris Vilnius,15454,Serge Nyuiadzi,15439,Darvydas Šernas
CL,2017,200076,86,,REGULAR,1890,FK Žalgiris Vilnius,15436,Mantas Kuklys,15454,Serge Nyuiadzi
