comp,season,matchid,date,stage,teamH,idH,teamA,idA,duration,scoreH,scoreA,scoreH90,scoreA90,scoreHet,scoreAet,scoreHpens,scoreApens,tieid,tieno
CL,2017,200068,2017-06-27T16:00:00Z,1ST_QUALIFYING_ROUND,FC Alashkert,1870,FC Santa Coloma,1879,REGULAR,1,0,1,0,0,0,0,0,1870|1879,1
CL,2017,200064,2017-06-27T18:00:00Z,1ST_QUALIFYING_ROUND,Víkingur Gøta,1905,KF Trepça '89 Mitrovicë,1906,REGULAR,2,1,2,1,0,0,0,0,1905|1906,1
CL,2017,200066,2017-06-27T18:00:00Z,1ST_QUALIFYING_ROUND,Hibernians FC,1892,FCI Tallinn,1882,REGULAR,2,0,2,0,0,0,0,0,1882|1892,1
CL,2017,200070,2017-06-27T18:00:00Z,1ST_QUALIFYING_ROUND,The New Saints FC,1904,Europa FC,1874,REGULAR,1,2,1,2,0,0,0,0,1874|1904,1
CL,2017,200072,2017-06-28T18:45:00Z,1ST_QUALIFYING_ROUND,Linfield FC,1896,SP La Fiorita,1902,REGULAR,1,0,1,0,0,0,0,0,1896|1902,1
CL,2017,200065,2017-07-04T16:00:00Z,1ST_QUALIFYING_ROUND,KF Trepça '89 Mitrovicë,1906,Víkingur Gøta,1905,REGULAR,1,4,1,4,0,0,0,0,1905|1906,2
CL,2017,200067,2017-07-04T16:00:00Z,1ST_QUALIFYING_ROUND,FCI Tallinn,1882,Hibernians FC,1892,REGULAR,0,1,0,1,0,0,0,0,1882|1892,2
CL,2017,200071,2017-07-04T17:30:00Z,1ST_QUALIFYING_ROUND,Europa FC,1874,The New Saints FC,1904,EXTRA_TIME,1,3,1,2,0,1,0,0,1874|1904,2
CL,2017,200069,2017-07-04T18:30:00Z,1ST_QUALIFYING_ROUND,FC Santa Coloma,1879,FC Alashkert,1870,REGULAR,1,1,1,1,0,0,0,0,1870|1879,2
CL,2017,200073,2017-07-04T18:30:00Z,1ST_QUALIFYING_ROUND,SP La Fiorita,1902,Linfield FC,1896,REGULAR,0,0,0,0,0,0,0,0,1896|1902,2
CL,2017,200078,2017-07-11T17:00:00Z,2ND_QUALIFYING_ROUND,Qarabağ Ağdam FK,611,FC Samtredia,1878,REGULAR,5,0,5,0,0,0,0,0,611|1878,1
CL,2017,200098,2017-07-11T18:30:00Z,2ND_QUALIFYING_ROUND,Hibernians FC,1892,FC Red Bull Salzburg,1877,REGULAR,0,3,0,3,0,0,0,0,1877|1892,1
CL,2017,200080,2017-07-11T18:45:00Z,2ND_QUALIFYING_ROUND,FK Partizan Beograd,850,FK Budućnost Podgorica,1885,REGULAR,2,0,2,0,0,0,0,0,850|1885,1
CL,2017,200102,2017-07-11T18:45:00Z,2ND_QUALIFYING_ROUND,HNK Rijeka,1893,The New Saints FC,1904,REGULAR,2,0,2,0,0,0,0,0,1893|1904,1
CL,2017,200084,2017-07-12T16:00:00Z,2ND_QUALIFYING_ROUND,FK Spartaks Jūrmala,1888,Astana FK,1884,REGULAR,0,1,0,1,0,0,0,0,1884|1888,1
