comp,season,matchid,minute,team.id,team.name,playerOut.id,playerOut.name,playerIn.id,playerIn.name
CL,2017,200068,54,1870,FC Alashkert,14818,Vahagn Minasyan,14837,Artak Grigoryan
CL,2017,200068,60,1879,FC Santa Coloma,14828,Juanfer Laín,14844,Víctor Rodríguez
CL,2017,200068,65,1870,FC Alashkert,14837,Artak Grigoryan,14836,Mladen Zeljković
CL,2017,200068,67,1879,FC Santa Coloma,14827,Marc Rebés,14843,Jérémy Lempereur
CL,2017,200068,75,1879,FC Santa Coloma,14832,Chus Sosa,14842,Albert Mercadé
CL,2017,200068,76,1870,FC Alashkert,14814,Artur Yedigaryan,14833,Zaven Badoyan
CL,2017,200064,38,1906,KF Trepça '89 Mitrovicë,14854,Lapidar Lladrovci,14878,Ylber Maloku
CL,2017,200064,60,1906,KF Trepça '89 Mitrovicë,14862,John Oto John,14879,Odi Chibuze
CL,2017,200064,74,1906,KF Trepça '89 Mitrovicë,14859,Shpetim Idrizi,14875,Kushtrim Lushtaku
CL,2017,200064,83,1905,Víkingur Gøta,14874,Sorin Vasili Anghel,14881,Heðin Hansen
CL,2017,200064,90,1905,Víkingur Gøta,14871,Gunnar Vatnhamar,14883,Jákup Olsen
CL,2017,200066,38,1882,FCI Tallinn,14914,Roman Nesterovski,14926,Andrei Kalimullin
CL,2017,200066,78,1892,Hibernians FC,14902,Marco Sahanek,14921,Joseph Mbong
CL,2017,200066,79,1882,FCI Tallinn,14913,Kirill Nesterov,14925,Vladimir Voskoboinikov
CL,2017,200066,83,1882,FCI Tallinn,14915,Evgenii Kharin,14928,Sergey Tumasyan
CL,2017,200066,90,1892,Hibernians FC,14903,Jorginho,14916,Jurgen Degabriele
CL,2017,200066,90,1892,Hibernians FC,14896,Jackson Lima,14917,Dunstan Vella
CL,2017,200070,68,1904,The New Saints FC,14952,Adrian Cieslewicz,14962,Alex Darlington
CL,2017,200070,73,1904,The New Saints FC,14686,Scott Quigley,14961,Greg Draper
CL,2017,200070,79,1874,Europa FC,14939,Álex Quillo,14960,Enrique Carreño
CL,2017,200070,84,1874,Europa FC,14937,Guille Roldán,14957,Joselinho
CL,2017,200070,90,1904,The New Saints FC,14947,Jamie Mullan,14964,Wes Fletcher
CL,2017,200072,61,1896,Linfield FC,14993,Niall Quinn,15007,Jordan Stewart
CL,2017,200072,75,1896,Linfield FC,14991,Aaron Burns,15006,Cameron Stewart
CL,2017,200072,80,1902,SP La Fiorita,14976,Adolfo Hirsch,14998,Tommaso Zafferani
CL,2017,200072,90,1902,SP La Fiorita,14981,Crocefisso Miglietta,15000,Lorenzo Lunadei
CL,2017,200072,90,1902,SP La Fiorita,14984,Emiliano Olcese,14995,Alessandro Guidi
CL,2017,200065,56,1905,Víkingur Gøta,14874,Sorin Vasili Anghel,14887,Hans Jákup Lervig
CL,2017,200065,56,1905,Víkingur Gøta,15015,Hans Djurhuus,14881,Heðin Hansen
CL,2017,200065,57,1906,KF Trepça '89 Mitrovicë,14860,Perparim Islami,14879,Odi Chibuze
CL,2017,200065,57,1906,KF Trepça '89 Mitrovicë,14858,Fiton Hajdari,14862,John Oto John
CL,2017,200065,71,1906,KF Trepça '89 Mitrovicë,14875,Kushtrim Lushtaku,14859,Shpetim Idrizi
CL,2017,200065,82,1905,Víkingur Gøta,14865,Adeshina Lawal,15020,Andreas Olsen
CL,2017,200067,15,1892,Hibernians FC,14894,Andrew Hogg,14918,Rudi Briffa
CL,2017,200067,66,1882,FCI Tallinn,14928,Sergey Tumasyan,14925,Vladimir Voskoboinikov
CL,2017,200067,71,1892,Hibernians FC,14902,Marco Sahanek,14921,Joseph Mbong
CL,2017,200067,71,1882,FCI Tallinn,14913,Kirill Nesterov,14923,Artur Rättel
CL,2017,200067,80,1882,FCI Tallinn,14912,Pavel Dõmov,14927,Eduard Golovljov
CL,2017,200067,89,1892,Hibernians FC,14903,Jorginho,14916,Jurgen Degabriele
CL,2017,200071,70,1904,The New Saints FC,14964,Wes Fletcher,14952,Adrian Cieslewicz
CL,2017,200071,73,1874,Europa FC,14937,Guille Roldán,14936,Toni García
CL,2017,200071,79,1904,The New Saints FC,14953,Steven Saunders,14961,Greg Draper
CL,2017,200071,100,1904,The New Saints FC,14951,Ryan Pryce,14962,Alex Darlington
CL,2017,200071,106,1874,Europa FC,14944,Alberto Merino,14960,Enrique Carreño
CL,2017,200069,60,1879,FC Santa Coloma,14829,Jaime Conde,14828,Juanfer Laín
CL,2017,200069,70,1870,FC Alashkert,15042,Mihran Manasyan,14814,Artur Yedigaryan
CL,2017,200069,75,1879,FC Santa Coloma,14843,Jérémy Lempereur,14831,Pedro Santos
CL,2017,200069,77,1870,FC Alashkert,14820,Uroš Nenadović,14834,Lester Peltier
CL,2017,200069,88,1879,FC Santa Coloma,14826,Robert Ramos,14841,Joel Martínez
CL,2017,200069,89,1870,FC Alashkert,14811,Artak Dashyan,14818,Vahagn Minasyan
CL,2017,200073,60,1902,SP La Fiorita,14980,Marco Brighi,15048,Adrian Ricchiuti
CL,2017,200073,67,1896,Linfield FC,4037,Paul Smyth,15008,Andy Mitchell
CL,2017,200073,69,1902,SP La Fiorita,14998,Tommaso Zafferani,14976,Adolfo Hirsch
CL,2017,200073,69,1896,Linfield FC,15006,Cameron Stewart,14991,Aaron Burns
CL,2017,200073,81,1902,SP La Fiorita,14975,Danilo Rinaldi,15049,Tiziano Mottola
CL,2017,200078,31,611,Qarabağ Ağdam FK,15056,Rəşad Fərhad Sadıqov,15077,Jakub Rzeźniczak
CL,2017,200078,64,1878,FC Samtredia,15071,Guram Samushia,15085,Davit Jikia
