comp,season,stage,tieid,team1id,team2id,team1,team2,matchid.g1,matchid.g2,goals1,goals2,awaygoals1,awaygoals2,goals1ft,goals2ft,awaygoals1ft,awaygoals2ft,goals1et,goals2et,pens1,pens2,winner,aet,agr,pk,result
CL,2017,1ST_QUALIFYING_ROUND,1870|1879,1870,1879,FC Alashkert,FC Santa Coloma,200068,200069,2,1,1,0,2,1,1,0,0,0,0,0,FC Alashkert,FALSE,FALSE,FALSE,FC Alashkert (2-1) FC Santa Coloma
CL,2017,1ST_QUALIFYING_ROUND,1905|1906,1905,1906,Víkingur Gøta,KF Trepça '89 Mitrovicë,200064,200065,6,2,4,1,6,2,4,1,0,0,0,0,Víkingur Gøta,FALSE,FALSE,FALSE,Víkingur Gøta (6-2) KF Trepça '89 Mitrovicë
CL,2017,1ST_QUALIFYING_ROUND,1882|1892,1892,1882,Hibernians FC,FCI Tallinn,200066,200067,3,0,1,0,3,0,1,0,0,0,0,0,Hibernians FC,FALSE,FALSE,FALSE,Hibernians FC (3-0) FCI Tallinn
CL,2017,1ST_QUALIFYING_ROUND,1874|1904,1904,1874,The New Saints FC,Europa FC,200070,200071,4,3,3,2,3,3,2,2,1,0,0,0,The New Saints FC,TRUE,FALSE,FALSE,The New Saints FC (4-3 aet) Europa FC
CL,2017,1ST_QUALIFYING_ROUND,1896|1902,1896,1902,Linfield FC,SP La Fiorita,200072,200073,1,0,0,0,1,0,0,0,0,0,0,0,Linfield FC,FALSE,FALSE,FALSE,Linfield FC (1-0) SP La Fiorita
CL,2017,2ND_QUALIFYING_ROUND,611|1878,611,1878,Qarabağ Ağdam FK,FC Samtredia,200078,200079,6,0,1,0,6,0,1,0,0,0,0,0,Qarabağ Ağdam FK,FALSE,FALSE,FALSE,Qarabağ Ağdam FK (6-0) FC Samtredia
CL,2017,2ND_QUALIFYING_ROUND,1877|1892,1892,1877,Hibernians FC,FC Red Bull Salzburg,200098,200099,0,6,0,3,0,6,0,3,0,0,0,0,FC Red Bull Salzburg,FALSE,FALSE,FALSE,Hibernians FC (0-6) FC Red Bull Salzburg
CL,2017,2ND_QUALIFYING_ROUND,850|1885,850,1885,FK Partizan Beograd,FK Budućnost Podgorica,200080,200081,2,0,0,0,2,0,0,0,0,0,0,0,FK Partizan Beograd,FALSE,FALSE,FALSE,FK Partizan Beograd (2-0) FK Budućnost Podgorica
CL,2017,2ND_QUALIFYING_ROUND,1893|1904,1893,1904,HNK Rijeka,The New Saints FC,200102,200103,7,1,5,0,7,1,5,0,0,0,0,0,HNK Rijeka,FALSE,FALSE,FALSE,HNK Rijeka (7-1) The New Saints FC
CL,2017,2ND_QUALIFYING_ROUND,1884|1888,1888,1884,FK Spartaks Jūrmala,Astana FK,200084,200085,1,2,1,1,1,2,1,1,0,0,0,0,Astana FK,FALSE,FALSE,FALSE,FK Spartaks Jūrmala (1-2) Astana FK
CL,2017,2ND_QUALIFYING_ROUND,752|1875,752,1875,APOEL FC,F91 Diddeleng,200074,200075,2,0,1,0,2,0,1,0,0,0,0,0,APOEL FC,FALSE,FALSE,FALSE,APOEL FC (2-0) F91 Diddeleng
CL,2017,2ND_QUALIFYING_ROUND,1880|1886,1880,1886,FC Sheriff Tiraspol,FK Kukësi,200082,200083,2,2,1,0,2,2,1,0,0,0,0,0,FC Sheriff Tiraspol,FALSE,TRUE,FALSE,"FC Sheriff Tiraspol (2-2) FK Kukësi, FC Sheriff Tiraspol won on away goals"
CL,2017,2ND_QUALIFYING_ROUND,1872|1891,1891,1872,Hapoel Be'er Sheva FC,Budapest Honvéd FC,200088,200089,5,3,3,1,5,3,3,1,0,0,0,0,Hapoel Be'er Sheva FC,FALSE,FALSE,FALSE,Hapoel Be'er Sheva FC (5-3) Budapest Honvéd FC
CL,2017,2ND_QUALIFYING_ROUND,749|1889,749,1889,Malmö FF,FK Vardar Skopje,200090,200091,2,4,1,1,2,4,1,1,0,0,0,0,FK Vardar Skopje,FALSE,FALSE,FALSE,Malmö FF (2-4) FK Vardar Skopje
CL,2017,2ND_QUALIFYING_ROUND,734|1894,1894,734,HŠK Zrinjski Mostar,NK Maribor,200092,200093,2,3,1,2,2,3,1,2,0,0,0,0,NK Maribor,FALSE,FALSE,FALSE,HŠK Zrinjski Mostar (2-3) NK Maribor
CL,2017,2ND_QUALIFYING_ROUND,748|1870,748,1870,FK BATE Borisov,FC Alashkert,200100,200101,4,2,3,1,4,2,3,1,0,0,0,0,FK BATE Borisov,FALSE,FALSE,FALSE,FK BATE Borisov (4-2) FC Alashkert
CL,2017,2ND_QUALIFYING_ROUND,1890|1901,1890,1901,FK Žalgiris Vilnius,PFK Ludogorets 1945 Razgrad,200076,200077,3,5,1,1,3,5,1,1,0,0,0,0,PFK Ludogorets 1945 Razgrad,FALSE,FALSE,FALSE,FK Žalgiris Vilnius (3-5) PFK Ludogorets 1945 Razgrad
CL,2017,2ND_QUALIFYING_ROUND,1105|1895,1895,1105,IFK Mariehamn,Legia Warszawa,200096,200097,0,9,0,3,0,9,0,3,0,0,0,0,Legia Warszawa,FALSE,FALSE,FALSE,IFK Mariehamn (0-9) Legia Warszawa
CL,2017,2ND_QUALIFYING_ROUND,1876|1898,1898,1876,MSK Žilina,FC København,200086,200087,3,4,2,3,3,4,2,3,0,0,0,0,FC København,FALSE,FALSE,FALSE,MSK Žilina (3-4) FC København
CL,2017,2ND_QUALIFYING_ROUND,889|1873,1873,889,Dundalk FC,Rosenborg BK,200094,200095,2,3,1,1,2,2,1,1,0,1,0,0,Rosenborg BK,TRUE,FALSE,FALSE,Dundalk FC (2-3 aet) Rosenborg BK
