comp,season,page,round,date,teamh,teama,scoreh,scorea,oddsh,oddsd,oddsa,pens,awarded,extratime,cancelled,oddshprob,oddsdprob,oddsaprob,oddsprobtotal,probh,probd,proba
champions-league,2004,1,Play Offs,2004-05-26,Monaco,FC Porto,0,3,192,+202,131,FALSE,FALSE,FALSE,FALSE,0.3424657534246575,0.33112582781456956,0.4329004329004329,1.10649201413966,0.3095058518709128,0.2992573137294919,0.3912368343995954
champions-league,2004,1,Play Offs,2004-05-05,Chelsea,Monaco,2,2,-154,+231,392,FALSE,FALSE,FALSE,FALSE,0.6062992125984252,0.3021148036253776,0.2032520325203252,1.1116660487441279,0.5453968962022129,0.2717675906057246,0.18283551319206268
champions-league,2004,1,Play Offs,2004-05-04,Dep. La Coruna,FC Porto,0,1,-133,+223,342,FALSE,FALSE,FALSE,FALSE,0.5708154506437768,0.30959752321981426,0.22624434389140272,1.1066573177549939,0.5158014513487826,0.2797591614429255,0.20443938720829172
champions-league,2004,1,Play Offs,2004-04-21,FC Porto,Dep. La Coruna,0,0,127,+210,195,FALSE,FALSE,FALSE,FALSE,0.44052863436123346,0.3225806451612903,0.3389830508474576,1.1020923303699814,0.3997202613807723,0.2926983849465655,0.3075813536726621
champions-league,2004,1,Play Offs,2004-04-20,Monaco,Chelsea,3,1,136,+206,177,FALSE,FALSE,FALSE,FALSE,0.423728813559322,0.32679738562091504,0.36101083032490977,1.1115370295051468,0.3812098043624916,0.29400494715538567,0.3247852484821228
champions-league,2004,1,Play Offs,2004-04-07,Dep. La Coruna,AC Milan,4,0,114,+217,204,FALSE,FALSE,FALSE,FALSE,0.4672897196261682,0.31545741324921134,0.32894736842105265,1.1116945012964323,0.4203400476310945,0.2837626819970165,0.2958972703718889
champions-league,2004,1,Play Offs,2004-04-07,Lyon,FC Porto,2,2,-106,+217,254,FALSE,FALSE,FALSE,FALSE,0.5145631067961165,0.31545741324921134,0.2824858757062147,1.1125063957515426,0.4625259762650699,0.28355559523422535,0.2539184285007046
champions-league,2004,1,Play Offs,2004-04-06,Arsenal,Chelsea,1,2,-118,+214,300,FALSE,FALSE,FALSE,FALSE,0.5412844036697247,0.3184713375796178,0.25,1.1097557412493426,0.4877509379319423,0.28697426446389784,0.2252747976041598
champions-league,2004,1,Play Offs,2004-04-06,Monaco,Real Madrid,3,1,158,+221,144,FALSE,FALSE,FALSE,FALSE,0.3875968992248062,0.3115264797507788,0.4098360655737705,1.1089594445493556,0.3495140432140084,0.28091782912527774,0.3695681276607138
champions-league,2004,1,Play Offs,2004-03-24,Chelsea,Arsenal,1,1,152,+208,158,FALSE,FALSE,FALSE,FALSE,0.3968253968253968,0.3246753246753247,0.3875968992248062,1.1090976207255276,0.3577912254160363,0.2927382753403934,0.3494704992435704
champions-league,2004,1,Play Offs,2004-03-24,Real Madrid,Monaco,4,2,-213,+254,613,FALSE,FALSE,FALSE,FALSE,0.6805111821086262,0.2824858757062147,0.1402524544179523,1.103249512232793,0.616824367074847,0.2560489468375204,0.12712668608763283
champions-league,2004,1,Play Offs,2004-03-23,AC Milan,Dep. La Coruna,4,1,-143,+225,369,FALSE,FALSE,FALSE,FALSE,0.588477366255144,0.3076923076923077,0.21321961620469082,1.1093892901521425,0.5304516381030141,0.2773528737149703,0.19219548818201565
champions-league,2004,1,Play Offs,2004-03-23,FC Porto,Lyon,2,0,100,+204,257,FALSE,FALSE,FALSE,FALSE,0.5,0.32894736842105265,0.2801120448179272,1.1090594132389797,0.4508324748263601,0.29660031238576323,0.2525672127878768
champions-league,2004,1,Play Offs,2004-03-10,AC Milan,Sparta Prague,4,1,-385,+363,836,FALSE,FALSE,FALSE,FALSE,0.7938144329896907,0.2159827213822894,0.10683760683760683,1.116634761209587,0.7108989085471391,0.19342288892057022,0.0956782025322906
champions-league,2004,1,Play Offs,2004-03-10,Arsenal,Celta Vigo,2,0,-263,+284,690,FALSE,FALSE,FALSE,FALSE,0.7245179063360881,0.2604166666666667,0.12658227848101267,1.1115168514837674,0.6518280900275393,0.23428944538180924,0.11388246459065157
champions-league,2004,1,Play Offs,2004-03-10,Monaco,Lokomotiv Moscow,1,0,-208,+254,533,FALSE,FALSE,FALSE,FALSE,0.6753246753246753,0.2824858757062147,0.1579778830963665,1.1157884341272566,0.6052443766840964,0.2531715395734215,0.14158408374248213
champions-league,2004,1,Play Offs,2004-03-10,Real Madrid,Bayern Munich,1,0,-164,+241,421,FALSE,FALSE,FALSE,FALSE,0.6212121212121212,0.2932551319648094,0.19193857965451055,1.1064058328314412,0.5614685884494625,0.2650520480485267,0.17347936350201076
champions-league,2004,1,Play Offs,2004-03-09,Chelsea,Stuttgart,0,0,-182,+244,479,FALSE,FALSE,FALSE,FALSE,0.6453900709219859,0.29069767441860467,0.17271157167530224,1.1087993170158927,0.5820621108055167,0.2621733887796379,0.15576450041484532
champions-league,2004,1,Play Offs,2004-03-09,Juventus,Dep. La Coruna,0,1,-137,+229,355,FALSE,FALSE,FALSE,FALSE,0.5780590717299579,0.303951367781155,0.21978021978021978,1.1017906592913325,0.524654177139025,0.2758703436246731,0.1994754792363021
champions-league,2004,1,Play Offs,2004-03-09,Lyon,Real Sociedad,1,0,-118,+215,307,FALSE,FALSE,FALSE,FALSE,0.5412844036697247,0.31746031746031744,0.2457002457002457,1.1044449668302878,0.49009631074981397,0.2874387832753819,0.2224649059748042
champions-league,2004,1,Play Offs,2004-03-09,Manchester Utd,FC Porto,1,1,-213,+263,553,FALSE,FALSE,FALSE,FALSE,0.6805111821086262,0.27548209366391185,0.15313935681470137,1.1091326325872393,0.6135525744303626,0.24837615048914694,0.13807127508049055
champions-league,2004,1,Play Offs,2004-02-25,Dep. La Coruna,Juventus,1,0,143,+206,175,FALSE,FALSE,FALSE,FALSE,0.411522633744856,0.32679738562091504,0.36363636363636365,1.1019563830021348,0.3734472979989615,0.29656108958741056,0.3299916124136278
champions-league,2004,1,Play Offs,2004-02-25,FC Porto,Manchester Utd,2,1,188,+213,127,FALSE,FALSE,FALSE,FALSE,0.3472222222222222,0.3194888178913738,0.44052863436123346,1.1072396744748296,0.31359264866200875,0.28854531250689625,0.39786203883109483
champions-league,2004,1,Play Offs,2004-02-25,Real Sociedad,Lyon,0,1,108,+204,233,FALSE,FALSE,FALSE,FALSE,0.4807692307692308,0.32894736842105265,0.3003003003003003,1.1100168994905837,0.433118838992333,0.2963444687842278,0.27053669222343923
champions-league,2004,1,Play Offs,2004-02-25,Stuttgart,Chelsea,0,1,158,+211,152,FALSE,FALSE,FALSE,FALSE,0.3875968992248062,0.3215434083601286,0.3968253968253968,1.1059657044103317,0.35046014327493225,0.29073542432454186,0.35880443240052584
champions-league,2004,1,Play Offs,2004-02-24,Bayern Munich,Real Madrid,1,1,159,+216,146,FALSE,FALSE,FALSE,FALSE,0.3861003861003861,0.31645569620253167,0.4065040650406504,1.1090601473435682,0.3481329547591964,0.2853368205146578,0.36653022472614577
champions-league,2004,1,Play Offs,2004-02-24,Celta Vigo,Arsenal,2,3,213,+210,116,FALSE,FALSE,FALSE,FALSE,0.3194888178913738,0.3225806451612903,0.46296296296296297,1.105032426015627,0.2891216677173378,0.29191961934040883,0.4189587129422534
champions-league,2004,1,Play Offs,2004-02-24,Sparta Prague,AC Milan,0,0,275,+210,-106,FALSE,FALSE,FALSE,FALSE,0.26666666666666666,0.3225806451612903,0.5145631067961165,1.1038104186240734,0.2415873796508219,0.2922427979647039,0.4661698223844743
champions-league,2004,1,Play Offs,2004-02-24,Lokomotiv Moscow,Monaco,2,1,158,+210,154,FALSE,FALSE,FALSE,FALSE,0.3875968992248062,0.3225806451612903,0.3937007874015748,1.1038783317876713,0.35112284394342086,0.29222481850775023,0.356652337548829
champions-league,2005,1,Play Offs,2005-05-25,AC Milan,Liverpool,3,4,110,+210,264,TRUE,FALSE,FALSE,FALSE,0.47619047619047616,0.3225806451612903,0.27472527472527475,1.0734963960770414,0.4435883324160704,0.3004953219592735,0.25591634562465604
champions-league,2005,1,Play Offs,2005-05-04,PSV,AC Milan,3,1,170,+202,170,FALSE,FALSE,FALSE,FALSE,0.37037037037037035,0.33112582781456956,0.37037037037037035,1.0718665685553104,0.3455377574370709,0.30892448512585813,0.3455377574370709
champions-league,2005,1,Play Offs,2005-05-03,Liverpool,Chelsea,1,0,223,+210,122,FALSE,FALSE,FALSE,FALSE,0.30959752321981426,0.3225806451612903,0.45045045045045046,1.082628618831555,0.28596835316800745,0.2979605744298916,0.41607107240210095
champions-league,2005,1,Play Offs,2005-04-27,Chelsea,Liverpool,0,0,-185,+246,526,FALSE,FALSE,FALSE,FALSE,0.6491228070175439,0.28901734104046245,0.1597444089456869,1.0978845570036933,0.5912486908360441,0.2632492999348111,0.14550200922914477
champions-league,2005,1,Play Offs,2005-04-26,AC Milan,PSV,2,0,-244,+270,717,FALSE,FALSE,FALSE,FALSE,0.7093023255813954,0.2702702702702703,0.12239902080783353,1.1019716166594993,0.64366660162406375,0.2452606457229485,0.11107275265298769
