team,cl,el
Aalborg,10,26
Aalborg (Den),4,2
Aalesund,,2
Aalesund (Nor),,12
Aarhus (Den),,2
Aberdeen,,10
Aberdeen (Sco),,30
Aberystwyth (Wal),,2
AC Allianssi,,5
AC Milan,94,24
AC Milan (Ita),2,4
Academica,,6
Achnas,,4
Admira (Aut),,12
AEK Athens FC,16,50
AEK Athens FC (Gre),6,10
AEK Larnaca,,13
AEK Larnaca (Cyp),,36
AEL Larissa,,8
AEL Limassol,,6
AEL Limassol (Cyp),8,10
AIK,4,14
AIK (Swe),4,36
Airbus (Wal),,6
Ajax,67,67
Ajax (Ned),18,4
Akademija Pandev (Mkd),,2
Akhisarspor,,6
Akranes,,8
Aktobe,12,6
Aktobe (Kaz),4,24
Alania Vladikavkaz (Rus),,4
Alashkert (Arm),10,12
Alemannia Aachen,,8
Alma Ata,,2
Altach (Aut),,12
Ameri Tbilisi,,6
Amica Wronki,,8
Amkar,,2
Anderlecht,60,66
Anderlecht (Bel),6,4
Anorthosis,18,20
Anorthosis (Cyp),,12
Antwerp (Bel),,5
APOEL,38,45
APOEL (Cyp),38,14
Apollon,2,26
Apollon (Cyp),,34
Ararat Yerevan,,2
Ararat-Armenia (Arm),2,6
Aris,,22
Aris (Gre),,4
Arka Gdynia (Pol),,2
Arouca (Por),,4
Arsenal,129,30
Arsenal (Eng),6,
Arsenal Kiev (Ukr),,2
Arsenal Tula (Rus),,2
AS Roma,76,41
AS Roma (Ita),2,2
Ashdod,,2
Asteras Tripolis,,12
Asteras Tripolis (Gre),,14
Aston Villa,,14
Astra,,14
Astra (Rou),2,24
Atalanta,1,8
Atalanta (Ita),,6
Ath Bilbao,6,73
Ath Bilbao (Esp),2,14
Atl. Madrid,81,57
Atl. Madrid (Esp),,4
Atlantas,,2
Atlantas (Ltu),,10
Atromitos,,2
Atromitos (Gre),,16
Atvidabergs,,6
Atyrau,,2
Augsburg,,8
Austria Vienna,8,70
Austria Vienna (Aut),4,18
Auxerre,8,25
AZ Alkmaar,6,89
AZ Alkmaar (Ned),,24
B. Monchengladbach,12,21
B. Monchengladbach (Ger),4,2
B36 Torshavn,4,14
B36 Torshavn (Fai),6,10
Bala,,2
Bala (Wal),,8
Ballymena (Nir),,6
Balzan (Mlt),,12
Banga (Ltu),,4
Bangor City,,8
Bangor City (Wal),2,6
Banska Bystrica,,8
Barcelona,171,4
Barry (Wal),,2
Basaksehir,,7
Basaksehir (Tur),6,8
Basel,60,83
Basel (Sui),20,4
Bashkimi,,3
BATE,50,45
BATE (Blr),44,8
Bayer Leverkusen,49,57
Bayer Leverkusen (Ger),4,
Bayern Munich,153,14
Bayern Munich (Ger),2,
Beerschot AC,,2
Beitar Jerusalem,4,2
Beitar Jerusalem (Isr),,18
Belenenses,,8
Belenenses (Por),,4
Bellinzona,,6
Benfica,93,74
Benfica (Por),8,
Beroe,,2
Beroe (Bul),,10
Besa Kavaje,,6
Besiktas,30,77
Besiktas (Tur),4,10
Betis,8,22
Betis (Esp),,2
Beveren,,6
Bezanija,,2
Birkirkara,6,10
Birkirkara (Mlt),2,16
Birmingham,,6
Birmingham (Eng),,2
Blackburn,,12
Bnei Yehuda,,14
Bnei Yehuda (Isr),,16
Bochum,,2
Bodo/Glimt,,4
Bohemians,4,2
Bohemians (Irl),,4
Bokelj (Mne),,2
Bolnisi,4,
Bolnisi (Geo),,2
Bolton,,18
Borac,,6
Borac Banja Luka,,2
Borac Banja Luka (Bih),2,2
Bordeaux,22,46
Bordeaux (Fra),,14
Botev Plovdiv (Bul),,16
Braga,16,80
Braga (Por),2,14
Brann,4,22
Brann (Nor),,4
Breda,,6
Breidablik,,2
Breidablik (Ice),2,10
Brest,,2
Brest (Blr),,6
Brommapojkarna (Swe),,6
Brondby,4,34
Brondby (Den),,34
Buducnost,2,8
Buducnost (Mne),4,18
Burnley (Eng),,6
Bursaspor,6,
Bursaspor (Tur),,12
Cardiff Metropolitan (Wal),,2
Carmarthen Town,,6
Celik Niksic (Mne),,8
Celje,,2
