hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Arsenal,AC Milan,1,2008,arsenal-milan,0.45247433130000003,0.3146344688,0.23289119989999998
AC Milan,Arsenal,2,2008,arsenal-milan,0.4285663838,0.3170812096,0.2543524066
Celtic,Barcelona,1,2008,celtic-barcelona,0.23400353210000002,0.30240456460000004,0.4635919033
Barcelona,Celtic,2,2008,celtic-barcelona,0.8212564037000001,0.1463692432,0.03237435315
Fenerbahce,Sevilla,1,2008,fenerbahce-sevilla,0.34209977909999995,0.3094652607,0.34843496020000003
Sevilla,Fenerbahce,2,2008,fenerbahce-sevilla,0.6913784064,0.2004425746,0.108179019
Liverpool,Inter,1,2008,liverpool-inter,0.3793969849,0.3103015075,0.3103015075
Inter,Liverpool,2,2008,liverpool-inter,0.4724202697,0.296581423,0.2309983073
Lyon,Manchester Utd,1,2008,lyon-united,0.2795396194,0.3149479712,0.4055124093
Manchester Utd,Lyon,2,2008,lyon-united,0.6826058771,0.20616013960000001,0.1112339832
Olympiakos Piraeus,Chelsea,1,2008,olympiacos-chelsea,0.21542490600000003,0.2914572258,0.4931178682
Chelsea,Olympiakos Piraeus,2,2008,olympiacos-chelsea,0.7452265514,0.1830003683,0.07177308024000001
AS Roma,Real Madrid,1,2008,roma-madrid,0.3748332889,0.3042477994,0.32091891170000003
Real Madrid,AS Roma,2,2008,roma-madrid,0.5405104470000001,0.2801506744,0.1793388787
Schalke,FC Porto,1,2008,schalke-porto,0.42333304159999996,0.30025538420000003,0.2764115742
FC Porto,Schalke,2,2008,schalke-porto,0.5425012694,0.2870377087,0.1704610219
Arsenal,Liverpool,1,2008,arsenal-liverpool,0.35472233229999994,0.4656642963,0.1796133714
Liverpool,Arsenal,2,2008,arsenal-liverpool,0.40435850240000004,0.3134456847,0.2821958129
Fenerbahce,Chelsea,1,2008,fenerbahce-chelsea,0.13794025140000002,0.2766122814,0.5854474672
Chelsea,Fenerbahce,2,2008,fenerbahce-chelsea,0.7378640415000001,0.17427096809999998,0.08786499042000001
AS Roma,Manchester Utd,1,2008,roma-united,0.3017524398,0.3127434227,0.3855041374
Manchester Utd,AS Roma,2,2008,roma-united,0.5479121194,0.2655036339,0.1865842467
Schalke,Barcelona,1,2008,schalke-barcelona,0.08015193409,0.2934886609,0.626359405
Barcelona,Schalke,2,2008,schalke-barcelona,0.6582699707999999,0.2218842622,0.11984576710000001
Barcelona,Manchester Utd,1,2008,barcelona-united,0.33650317679999997,0.3784163839,0.2850804393
Manchester Utd,Barcelona,2,2008,barcelona-united,0.4718772827,0.292184076,0.2359386413
Liverpool,Chelsea,1,2008,liverpool-chelsea,0.504974271,0.3293310463,0.16569468269999998
Chelsea,Liverpool,2,2008,liverpool-chelsea,0.437620964,0.3069030137,0.2554760222
Arsenal,AS Roma,1,2009,arsenal-roma,0.4812078381,0.2940522375,0.2247399244
AS Roma,Arsenal,2,2009,arsenal-roma,0.37728397490000004,0.29292234079999996,0.3297936843
Atl. Madrid,FC Porto,1,2009,atletico-porto,0.4620631563,0.2900793154,0.2478575283
FC Porto,Atl. Madrid,2,2009,atletico-porto,0.4524221321,0.2817479146,0.2658299533
Chelsea,Juventus,1,2009,chelsea-juventus,0.5404144254,0.2877632404,0.1718223341
Juventus,Chelsea,2,2009,chelsea-juventus,0.3579373482,0.3046521766,0.33741047520000006
Inter,Manchester Utd,1,2009,inter-united,0.3864082434,0.3142787046,0.29931305199999997
Manchester Utd,Inter,2,2009,inter-united,0.5752601254,0.26818653859999997,0.156553336
Lyon,Barcelona,1,2009,lyon-barcelona,0.2554846342,0.2752542785,0.4692610873
Barcelona,Lyon,2,2009,lyon-barcelona,0.6821419139,0.21269138989999997,0.1051666961
Real Madrid,Liverpool,1,2009,madrid-liverpool,0.4844626777,0.29193077289999997,0.22360654940000002
Liverpool,Real Madrid,2,2009,madrid-liverpool,0.4141087646,0.29842123670000004,0.2874699987
Sporting,Bayern Munich,1,2009,sporting-bayern,0.3435945261,0.297133631,0.35927184289999997
Bayern Munich,Sporting,2,2009,sporting-bayern,0.5471627379999999,0.2672741465,0.18556311550000001
Villarreal,Panathinaikos,1,2009,villareal-panathinaikos,0.5610728979999999,0.26782816519999997,0.1710989368
Panathinaikos,Villarreal,2,2009,villareal-panathinaikos,0.35803500880000005,0.297044818,0.34492017329999997
Barcelona,Bayern Munich,1,2009,barcelona-bayern,0.6864390076000001,0.2028784652,0.1106825272
Bayern Munich,Barcelona,2,2009,barcelona-bayern,0.3356336186,0.2664210362,0.3979453452
Liverpool,Chelsea,1,2009,liverpool-chelsea,0.4295408349,0.3171106835,0.2533484817
Chelsea,Liverpool,2,2009,liverpool-chelsea,0.40236054109999997,0.2879277266,0.3097117323
