season	round	tie	game	minute	away	extra	shootout	note
2017	first	city-monaco	1	26				
				32	a			
				40	a			
				58				
				61	a			
				71				
				77				
				82				
			2	8				
				29				
				71	a			
				77				
		madrid-napoli	1	8	a			
				18				
				49				
				54				
			2	24				
				52	a			
				57	a			
				90+1	a			
		benfica-dortmund	1	48				
			2	4				
				61				
				85				
				59				
		bayern-arsenal	1	11				
				30	a			
				53				
				56				
				63				
				88				
			2	20				
				55	a			
				68	a			
				78	a			
				80	a			
				85	a			
		porto-juventus	1	72	a			
				74	a			
			2	42				
		leverkusen-atletico	1	17	a			
				25	a			
				48				
				59	a			
				68				
				86				
			2					
		psg-barcelona	1	18				
				40				
				55				
				72				
			2	3				
				40				
				50				
				88				
				90+1				
				90+5				
				62	a			
		sevilla-leicester	1	25				
				62				
				73	a			
			2	27				
				54				
	qtr	atletico-leicester	1	28				
			2	26	a			
				61				
		dortmund-monaco	1	57				
				84				
				19	a			
				79	a			
				35	a			
			2	3				
				17				
				81				
				48	a			
		bayern-madrid	1	25				
				47	a			
				77	a			
			2	53	a			
				58	a			
				76				
				105		et		
				110		et		
				112		et		
		juventus-barcelona	1	7				
				22				
				55				
			2					
	semi	madrid-atletico	1	10				
				73				
				86				
			2	12				
				16				
				42	a			
		monaco-juventus	1	29	a			
				59	a			
			2	33				
				44				
				69	a			
2016	first	gent-wolfsburg	1	80				
				89				
				44	a			
				54	a			
				60	a			
			2	74				
		roma-madrid	1	57	a			
				86	a			
			2	64				
				68				
		psg-chelsea	1	39				
				78				
				45+1				
			2	27				
				16	a			
				67	a			
		arsenal-barcelona	1	71	a			
				83	a			
			2	18				
				65				
				88				
				51	a			
		juventus-bayern	1	63				
				76				
				43	a			
				55	a			
			2	5	a			
				28	a			
				73				
				90+1				
				108		et		
				110		et		
		psv-atletico	1					
			2	pk	a		atletico 8-7	
		benfica-zenit	1	90+1				
			2	69				
				85	a			
				90+6	a			
	qtr	wolfsburg-madrid	1	18				
				25				
			2	15				
				17				
				77				
		bayern-benfica	1	2				
			2	27				
				76				
				38	a			
				52	a			
		barcelona-atletico	1	63				
				74				
				25	a			
			2	36				
				88				
		psg-city	1	41				
				59				
				38	a			
				72	a			
			2	76				
	semi	city-madrid	1					
			2	20				
		atletico-bayern	1	11				
			2	31				
				74				
				54	a			
2015	first	psg-chelsea	1	54				
				36	a			
			2	81				
				86	a			
				96		et		
				114	a	et		
		city-barcelona	1	69				
				16				
				30	a			
			2	31				
		leverkusen-atletico	1	57				
			2	27				
				pk			atletico 3-2	
		juventus-dortmund	1	13				
				43				
				18	a			
			2	3	a			
				79	a			
				70				
		schalke-madrid	1	26	a			
				79	a			
			2	25				
				45				
				53				
				20	a			
				40	a			
				84	a			
				57	a			
		shakhtar-bayern	1					
			2	4				
				52				
				34				
				49				
				63				
				75				
				87				
		arsenal-monaco	1	90+1				
				38	a			
				53	a			
				90+4	a			
			2	36	a			
				79	a			
		basel-porto	1	11				
				79	a			
