season,round,tie,made_minute,away,t1goal,t2goal,t1awaygoal,t2awaygoal,t1goals,t2goals,t1goaldiff,t1awaygoals,t2awaygoals,t1awaygoaldiff,t1home,t1awaymindiff,t1,t2,winner,t1win
2008,first,arsenal-milan,1.0,,False,False,False,False,0,0,0,0,0,0,1,0,arsenal,milan,arsenal,1
2008,first,arsenal-milan,2.0,,False,False,False,False,0,0,0,0,0,0,1,1,arsenal,milan,arsenal,1
2008,first,arsenal-milan,3.0,,False,False,False,False,0,0,0,0,0,0,1,2,arsenal,milan,arsenal,1
2008,first,arsenal-milan,4.0,,False,False,False,False,0,0,0,0,0,0,1,3,arsenal,milan,arsenal,1
2008,first,arsenal-milan,5.0,,False,False,False,False,0,0,0,0,0,0,1,4,arsenal,milan,arsenal,1
2008,first,arsenal-milan,6.0,,False,False,False,False,0,0,0,0,0,0,1,5,arsenal,milan,arsenal,1
2008,first,arsenal-milan,7.0,,False,False,False,False,0,0,0,0,0,0,1,6,arsenal,milan,arsenal,1
2008,first,arsenal-milan,8.0,,False,False,False,False,0,0,0,0,0,0,1,7,arsenal,milan,arsenal,1
2008,first,arsenal-milan,9.0,,False,False,False,False,0,0,0,0,0,0,1,8,arsenal,milan,arsenal,1
2008,first,arsenal-milan,10.0,,False,False,False,False,0,0,0,0,0,0,1,9,arsenal,milan,arsenal,1
2008,first,arsenal-milan,11.0,,False,False,False,False,0,0,0,0,0,0,1,10,arsenal,milan,arsenal,1
2008,first,arsenal-milan,12.0,,False,False,False,False,0,0,0,0,0,0,1,11,arsenal,milan,arsenal,1
2008,first,arsenal-milan,13.0,,False,False,False,False,0,0,0,0,0,0,1,12,arsenal,milan,arsenal,1
2008,first,arsenal-milan,14.0,,False,False,False,False,0,0,0,0,0,0,1,13,arsenal,milan,arsenal,1
2008,first,arsenal-milan,15.0,,False,False,False,False,0,0,0,0,0,0,1,14,arsenal,milan,arsenal,1
2008,first,arsenal-milan,16.0,,False,False,False,False,0,0,0,0,0,0,1,15,arsenal,milan,arsenal,1
2008,first,arsenal-milan,17.0,,False,False,False,False,0,0,0,0,0,0,1,16,arsenal,milan,arsenal,1
2008,first,arsenal-milan,18.0,,False,False,False,False,0,0,0,0,0,0,1,17,arsenal,milan,arsenal,1
2008,first,arsenal-milan,19.0,,False,False,False,False,0,0,0,0,0,0,1,18,arsenal,milan,arsenal,1
2008,first,arsenal-milan,20.0,,False,False,False,False,0,0,0,0,0,0,1,19,arsenal,milan,arsenal,1
2008,first,arsenal-milan,21.0,,False,False,False,False,0,0,0,0,0,0,1,20,arsenal,milan,arsenal,1
2008,first,arsenal-milan,22.0,,False,False,False,False,0,0,0,0,0,0,1,21,arsenal,milan,arsenal,1
2008,first,arsenal-milan,23.0,,False,False,False,False,0,0,0,0,0,0,1,22,arsenal,milan,arsenal,1
2008,first,arsenal-milan,24.0,,False,False,False,False,0,0,0,0,0,0,1,23,arsenal,milan,arsenal,1
2008,first,arsenal-milan,25.0,,False,False,False,False,0,0,0,0,0,0,1,24,arsenal,milan,arsenal,1
2008,first,arsenal-milan,26.0,,False,False,False,False,0,0,0,0,0,0,1,25,arsenal,milan,arsenal,1
2008,first,arsenal-milan,27.0,,False,False,False,False,0,0,0,0,0,0,1,26,arsenal,milan,arsenal,1
2008,first,arsenal-milan,28.0,,False,False,False,False,0,0,0,0,0,0,1,27,arsenal,milan,arsenal,1
2008,first,arsenal-milan,29.0,,False,False,False,False,0,0,0,0,0,0,1,28,arsenal,milan,arsenal,1
2008,first,arsenal-milan,30.0,,False,False,False,False,0,0,0,0,0,0,1,29,arsenal,milan,arsenal,1
2008,first,arsenal-milan,31.0,,False,False,False,False,0,0,0,0,0,0,1,30,arsenal,milan,arsenal,1
2008,first,arsenal-milan,32.0,,False,False,False,False,0,0,0,0,0,0,1,31,arsenal,milan,arsenal,1
2008,first,arsenal-milan,33.0,,False,False,False,False,0,0,0,0,0,0,1,32,arsenal,milan,arsenal,1
2008,first,arsenal-milan,34.0,,False,False,False,False,0,0,0,0,0,0,1,33,arsenal,milan,arsenal,1
2008,first,arsenal-milan,35.0,,False,False,False,False,0,0,0,0,0,0,1,34,arsenal,milan,arsenal,1
2008,first,arsenal-milan,36.0,,False,False,False,False,0,0,0,0,0,0,1,35,arsenal,milan,arsenal,1
2008,first,arsenal-milan,37.0,,False,False,False,False,0,0,0,0,0,0,1,36,arsenal,milan,arsenal,1
2008,first,arsenal-milan,38.0,,False,False,False,False,0,0,0,0,0,0,1,37,arsenal,milan,arsenal,1
2008,first,arsenal-milan,39.0,,False,False,False,False,0,0,0,0,0,0,1,38,arsenal,milan,arsenal,1
2008,first,arsenal-milan,40.0,,False,False,False,False,0,0,0,0,0,0,1,39,arsenal,milan,arsenal,1
2008,first,arsenal-milan,41.0,,False,False,False,False,0,0,0,0,0,0,1,40,arsenal,milan,arsenal,1
2008,first,arsenal-milan,42.0,,False,False,False,False,0,0,0,0,0,0,1,41,arsenal,milan,arsenal,1
2008,first,arsenal-milan,43.0,,False,False,False,False,0,0,0,0,0,0,1,42,arsenal,milan,arsenal,1
2008,first,arsenal-milan,44.0,,False,False,False,False,0,0,0,0,0,0,1,43,arsenal,milan,arsenal,1
2008,first,arsenal-milan,45.0,,False,False,False,False,0,0,0,0,0,0,1,44,arsenal,milan,arsenal,1
