lo,hi,preds,success,actual.prob
0,0.01,4598,10,0.002174858634188778
0.01,0.05,3890,31,0.007969151670951156
0.05,0.1,2938,162,0.05513955071477195
0.1,0.2,4471,667,0.14918362782375308
0.2,0.3,3613,1084,0.3000276778300581
0.3,0.4,2326,712,0.3061049011177988
0.4,0.5,3098,1554,0.5016139444803098
0.5,0.6,2873,1394,0.48520710059171596
0.6,0.7,2637,1852,0.7023132347364429
0.7,0.8,2853,2003,0.7020679985979671
0.8,0.9,2986,2481,0.8308774279973208
0.9,0.95,2009,1900,0.9457441513190642
0.95,0.99,2408,2366,0.9825581395348837
0.99,1,3892,3889,0.9992291880781089
