minuteclean,v1,v2.1,v2.2,v3
1,-113.47167974534038,-113.29990794402151,-171.74709749071837,-119.03079688927411
2,-113.18905284078504,-112.927109504471,-171.17272041981784,-118.63051228011047
3,-113.82819962898985,-113.19358322858254,-171.94673591370562,-118.87438524580735
4,-112.72355490826993,-111.98106079427356,-169.59588961130288,-117.93376918311412
5,-112.78207981689945,-112.45198691150316,-168.4488189411138,-117.85889437505732
6,-111.4168609596456,-110.75482013966835,-166.60251822122515,-116.92036290177019
7,-112.66324130972046,-112.70825551815825,-167.06270713538862,-118.22958144244994
8,-112.4482824282989,-112.30591887807073,-166.1506759334358,-118.0559416277136
9,-112.27322679744154,-112.10357909081031,-164.74448539776486,-117.90290730649672
10,-111.44877284452274,-111.31539159305649,-162.98289425395063,-117.20522278834878
11,-112.17026912670686,-112.06823879902889,-163.9030657243273,-117.68739456284926
12,-111.36456502285137,-111.3569650672765,-162.17451319944172,-116.95693896923656
13,-112.03491994622753,-112.395493797009,-162.88702188278785,-117.64883844773824
14,-113.17516456833073,-113.85557192203004,-163.66592095158097,-118.69387480096283
15,-113.04380558661445,-113.91360045295627,-162.35244188110806,-118.63166915122184
16,-112.6886969159596,-113.44653394239589,-161.34450305900205,-117.82868602836854
17,-112.69001045441271,-113.23521955446932,-161.4499439220397,-117.85874988720708
18,-111.6637461195135,-112.40898852826012,-160.05427212411703,-116.90829322941345
19,-111.388942653303,-112.13893067421007,-159.18328496484082,-116.6245060253411
20,-110.65327443868492,-111.04320878847221,-157.4675962544623,-115.75748252038875
21,-110.93945797467408,-111.19270360274076,-157.49524486756897,-115.95516303557916
22,-110.55487659605791,-110.88488280100569,-156.9182311284836,-115.55913257910322
23,-110.17124503727385,-110.44866735094017,-155.95997528641763,-115.19565443756511
24,-110.04864329262217,-110.48968598659026,-155.3913999908538,-115.0967868724773
25,-109.64645833811863,-110.1105270436306,-154.8266018762504,-114.66489544878219
26,-109.64577631066152,-110.39582820824647,-155.2277704778408,-114.62755223384599
27,-109.31525506051504,-109.74063589798229,-153.86567302565075,-113.74019525510312
28,-108.78314003450616,-109.22183614693482,-151.96591932282502,-112.98682174696114
29,-107.934459809358,-108.29049052499404,-150.19820322699405,-112.08572769619678
30,-106.31114815981574,-106.62035729975548,-148.31812901952247,-110.80330079536168
31,-105.2082379142392,-105.59660844503334,-146.84495503964993,-109.27769318160188
32,-104.84504068919483,-105.33210426707835,-145.9014254708225,-109.04556317485253
33,-104.72511340409432,-105.23845644831547,-144.8433301960475,-108.99267263617462
34,-103.72126808534072,-104.25743157271663,-144.67646440899196,-108.17751465880687
35,-103.63129112362445,-104.06099908871631,-143.54146662743085,-108.22154429527603
36,-103.20971524372024,-103.45362915006451,-141.28417980999822,-107.82775024064306
37,-102.81713897621,-102.93966667518009,-140.21101209843656,-107.36830690731033
38,-102.71728597901675,-102.72747326648566,-141.01728481100713,-107.16702935914742
39,-102.6206276946874,-102.77820871599911,-140.8284048529478,-107.00217706676567
40,-103.62381983909634,-103.85090014446072,-141.7648770202931,-107.83028589734629
41,-103.93782031827111,-104.10942319664944,-142.48750821353352,-108.02137169645117
42,-103.10788010021928,-103.34483124425692,-139.982843772772,-107.22486602550647
43,-102.75482717226582,-103.30632467019979,-139.37107070844607,-106.70673284994427
44,-104.43889234066175,-103.37862360118068,-138.1199812399932,-107.01465098440252
45,-101.88585117863278,-100.49077707264792,-135.21320082861016,-104.81765032201857
46,-101.84961093672122,-100.48693048561478,-134.90582080928291,-104.64504794037047
47,-101.90541921868218,-100.64696387200789,-134.71033598143003,-104.61679056143812
48,-102.21688918000225,-101.18304202109252,-134.6028462573862,-105.19720843733221
49,-101.25396140292213,-99.89779834435011,-132.10202969814227,-104.20104248326875
50,-100.48782194301249,-99.15516864256863,-130.89435336970635,-103.44652145983116
51,-100.88757662812486,-99.53293342950258,-130.7714723704938,-103.65105290262832
52,-100.74198025246778,-99.4120021538571,-130.76535633644565,-103.461908448082
53,-100.83125671373516,-99.10676654085132,-129.8846526207505,-103.13239364035222
54,-101.13887522897171,-99.54478432362059,-129.9274999615664,-103.71076892421914
55,-99.74169020825721,-98.0662678786564,-128.07739787642507,-102.31263070108548
56,-98.47819650248137,-96.72012536866043,-126.30128415440909,-101.08811938989291
57,-97.58332705013514,-95.72939687195354,-124.1238882817892,-99.84183728053598
58,-96.90137339105408,-95.29969861190676,-123.2384286848371,-99.26908819678214
59,-97.01560653933143,-95.76603516032593,-124.02136617619695,-99.56816264706303
60,-97.39769913143742,-96.35324822739214,-124.25466802519827,-100.19774613935333
61,-97.22578861608629,-96.05152332760764,-122.78828360178507,-99.91527232205505
62,-96.36335421873989,-95.26917756370248,-120.50271146502557,-99.14228772622732
63,-96.44754556332944,-95.28852385671111,-120.17493958193928,-99.2335597668359
64,-93.52831285786706,-92.47660790158525,-117.45247623816775,-96.4640132423361
65,-92.57963044934482,-91.51615067536834,-116.39878925239854,-95.46831047032423
66,-92.6674623316876,-91.74100349651566,-115.68988821105047,-95.59967956250209
67,-90.9161360220083,-89.94758199610601,-113.33144249036015,-93.45720679588493
68,-90.49302677017023,-89.6862258046426,-112.31192670526586,-93.03086812865907
69,-91.234629761521,-90.89131698007063,-112.83429332321634,-93.92090740927429
70,-90.288163493874393,-89.90596697441579,-111.98346250014961,-92.90880199911518
71,-89.39987438686626,-88.79518538279996,-110.1697904315417,-91.84357653194802
72,-89.31035699533987,-88.55873445771402,-110.01718097585844,-91.67092413059781
73,-89.42547955726812,-88.51063172038485,-109.60091443049683,-90.77564188086193
74,-89.45194565339511,-88.46191028758437,-109.17863063445722,-90.75948625737206
75,-86.73109032413079,-86.02085837649302,-106.9164465625768,-88.48791482284366
76,-87.2086046415562,-86.82709966957104,-107.6185433374627,-88.94230691403753
77,-86.09861894837543,-85.6898419509514,-106.20944922127951,-87.82943548348574
78,-85.53491591797052,-85.27540230775757,-104.70343210980101,-86.89980170898941
79,-84.99958385689389,-84.89151452611307,-104.08674620082361,-86.47312879223476
80,-84.1431311928218,-84.05579603870932,-102.41462044810577,-85.59698429866985
81,-85.67887812049513,-84.96243664395158,-102.37432490695402,-86.66178484101613
82,-87.22970335201131,-85.41744586246686,-101.00023824242547,-87.38617461150211
83,-87.36011806979883,-85.47715508500973,-101.01979545493347,-87.34079411990639
84,-86.66371488697173,-85.00206520410792,-100.2277125191823,-86.7753150861831
85,-86.76556259686882,-84.98526165716663,-99.62497062665977,-86.8003970896126
86,-85.35465243187703,-83.72213472548243,-98.20811462342223,-85.40493450368706
87,-85.25021431220573,-83.58584082844577,-97.74480188033257,-85.2667917139721
88,-86.71538559397912,-84.90179661411855,-98.87546918075363,-86.78770702212609
89,-87.46950951953377,-85.69604949458743,-99.71127285458974,-87.45817326197036
90,-91.23249433735808,-87.37662572966899,-100.23497160350723,-89.25113869015553
91,-90.39518163050433,-86.59135724929635,-98.388576204266,-88.36684941165174
92,-91.4543567100441,-87.79930044733825,-99.90424625986087,-89.3005120978018
93,-90.47161880693766,-86.79188239015556,-98.46495511024754,-88.59161787771602
94,-91.2951197758944,-87.76082241913284,-98.44774174890678,-86.11768377218911
95,-92.28191507147126,-88.79279619061454,-99.31241218799201,-86.9544575922082
96,-90.95152310602758,-87.84632735818279,-98.58334239483379,-85.99306422887102
97,-91.98168504875157,-88.36823851122931,-98.98718064526456,-79.84457046662905
98,-91.31172273549554,-87.63295329018092,-97.72942343114971,-78.8186327970045
99,-91.817151343378,-88.12079796772571,-97.9793561689998,-79.1430657854974
100,-88.12024871558171,-83.89716469564577,-93.6905237983636,-76.1574052633741
101,-89.82205010321584,-85.47069672886356,-95.0839938488379,-76.39103851823386
102,-88.91633085565584,-84.51899114649157,-94.15016257847657,-74.81418673492993
103,-88.24581712781134,-83.8048963319884,-93.46818518166084,-73.80578635195027
104,-87.84665479281993,-83.38160137761015,-92.69054684704975,-73.24048948727439
105,-88.09873607179493,-83.50735684191093,-92.61913337105223,-73.42863408059219
106,-87.73646469930428,-83.36831606108059,-91.96605420385337,-73.13713604338956
107,-86.62453414096315,-82.1827105300807,-90.50250090906648,-71.72607565967614
108,-86.73969904679551,-82.16795495168584,-90.54828498086242,-71.4611392739362
109,-86.06103786832763,-81.59138011534172,-89.37928240075371,-70.65396934703074
110,-87.20816524244634,-82.84465278334194,-89.71834071944274,-71.52937023940709
111,-87.42842875834299,-83.22368442737076,-89.73927907855015,-71.49242146269184
112,-88.02997514471429,-83.58069763861077,-89.8380404256533,-69.40285503795033
113,-89.2531697896144,-84.80373236492127,-90.9864736064709,-70.35441633844343
114,-90.157517133846,-86.31752257583398,-91.46878728990399,-71.5935062504498
115,-89.5847533626754,-85.59780531468317,-90.72667965698513,-70.81111245844286
116,-87.41942093438779,-83.34053883093183,-88.51063402487664,-69.1993806243891
117,-86.04341657705531,-82.31675665007185,-87.23719148037416,-68.06885225311447
118,-86.02602746649252,-82.08800712684528,-87.27443262050902,-68.02648764521975
119,-85.54084778701888,-81.36321205793328,-86.26186437639493,-67.35060864499422
120,-85.77551674203023,-81.61131161698283,-86.27571765567488,-67.40437522681738
121,-84.70222157655581,-80.68504555360909,-85.01717389860258,-66.3978633540685
122,-84.68728229604686,-80.60205161320691,-84.694929769249,-66.19904151252236
123,-83.96952789998873,-80.01966980453363,-83.94472237160117,-65.51250029086846
124,-82.46692347815808,-78.26212488539241,-81.49534585043565,-64.20000675991541
125,-81.87377564611225,-77.41769812853431,-80.35553521109303,-63.18494577796744
126,-81.48169942157377,-77.13701945078608,-79.7276166347774,-63.60930379947751
127,-81.69615196703191,-77.3695648837516,-79.84272793929979,-63.74426371057886
128,-79.98622643195336,-75.01187600882434,-77.36577349124575,-61.48774749180813
129,-80.06366314731434,-75.03890188690747,-77.33086621582707,-61.46395806454403
130,-80.4415507765976,-75.27126870519484,-77.79311229634895,-61.78042505351842
131,-80.19327150434412,-74.95447789512112,-77.30094889657519,-61.573102906035835
132,-79.58724845801814,-74.06562188802545,-76.21218288615542,-60.90028687513156
133,-79.94607042458551,-74.13742150134318,-75.6885557460528,-60.8626920036619
134,-79.93773590619223,-74.64474671253207,-75.76339788593644,-60.994240142942786
135,-78.7147317142191,-73.76847468909233,-74.72862593627802,-61.08654518866586
136,-78.84781094119558,-73.72449366421186,-74.87866038555312,-61.145375749361314
137,-78.49680446392223,-73.33733847604003,-73.8919815604518,-59.17641436398556
138,-76.91537389158584,-71.76694048374046,-72.08817502869242,-57.413108158689916
139,-77.8315535615549,-71.72515608015816,-71.8014365085505,-58.30267415148373
140,-75.52142081943101,-70.45365116237478,-70.52154473410036,-56.18490439732233
141,-74.13783670934177,-69.52473829744046,-69.10122099208613,-54.544791064447054
142,-74.06066849713785,-69.4140857833481,-68.77462349663908,-54.29153866456567
143,-71.80332447275265,-67.16391486368822,-66.50047799532625,-51.58522676714533
144,-72.19319949131562,-67.77694726036033,-67.0448060083417,-51.869054175511636
145,-71.62040652436254,-66.62681713417456,-65.97620155568266,-51.055250438276
146,-71.83030595867304,-66.40821808441407,-66.13043183847154,-51.126763899649774
147,-69.37382538630948,-65.01674779746365,-64.46486771533067,-51.53107717037808
148,-69.28952853905083,-64.86202124096303,-64.29622042542633,-51.49275341244723
149,-66.57902197084415,-62.659144770841785,-62.33236931142127,-50.55429965119805
150,-65.91259515231265,-62.3643473091138,-61.37842047533446,-49.9218249121816
151,-65.44598468378618,-61.63892098254403,-61.157557143805384,-48.12720799302407
152,-65.11021895103809,-61.05493658548326,-59.97991487903939,-45.40476969066963
153,-64.81922076728233,-60.66290752092935,-59.48655138132825,-44.85692840345161
154,-65.49081611689003,-61.64172241098512,-60.310333501405964,-44.7034436604691
155,-63.90019423314546,-60.2627746748871,-58.93689652846978,-43.1726795257952
156,-62.924296317628404,-59.324770869691505,-57.72860264793656,-43.11853030458375
157,-61.76607124543522,-58.44370635822267,-56.83865521623603,-41.13100154093681
158,-60.41226912748877,-57.10064349002578,-55.476169661869406,-38.92057869518412
159,-58.92063516887393,-56.836580183371694,-55.149003157818875,-38.80957491394001
160,-58.53194046857175,-56.590065190900724,-54.93494020366541,-38.448012962410004
161,-57.7572862946659,-56.178990039482855,-54.378665470608134,-36.71759229395351
162,-58.79770286810334,-57.4056828724739,-55.74574459886662,-37.820696345113085
163,-56.007432416502226,-55.45828793473253,-52.90643510067757,-37.36793444362087
164,-52.62076596282313,-52.10466843275714,-49.44852135371979,-36.9786741590822
165,-52.520219760544215,-52.32061264960647,-49.50453155168271,-36.93601237347427
166,-52.557577117379026,-52.497949274495966,-49.75408986787762,-35.45184786162572
167,-51.36010751926004,-51.736183890254445,-48.62940888714204,-34.476144971188816
168,-51.822045819008174,-51.95326675148475,-49.16399252049774,-34.73008909409843
169,-50.921734858864845,-51.41527691737015,-48.4515610818386,-34.191374949267605
170,-44.57357050920736,-44.64011832594011,-42.69428870140039,-30.747714064551822
171,-45.313604147060545,-45.22589763697048,-43.62974324015801,-31.557143904561165
172,-43.49736129962895,-42.9793300290866,-41.1490451274251,-29.94067971766081
173,-43.04792953581852,-42.46387563933374,-40.13069891706002,-28.127687533544595
174,-43.62958325801379,-43.538126026793854,-41.09693665189575,-28.730654152136115
175,-42.41710866772536,-42.490880282886245,-40.34440184734102,-27.919674558402924
176,-42.429326689026674,-42.548540793923046,-40.65668686595003,-28.03799821239437
177,-40.40997833966351,-40.0789381118195,-38.22235077966195,-25.537585385741128
178,-40.24039526757066,-40.286623871095145,-38.14147819785948,-25.667757534405993
179,-39.980376992320835,-40.99645116839936,-38.97545357048452,-26.272492332103702
180,-26.164681069524498,-15.872798622465194,-18.797280376102776,0
181,-13.660623090035525,-14.275901326345402,-14.154384401441217,-14.106444415433094
182,-13.397053661328403,-14.517238664861576,-14.003048953047614,-14.04394699506559
183,-14.87873925185844,-29.950204993618282,-16.12325611158339,-13.564148066962927
184,-15.376777230674566,-44.68353481563473,-16.944848177294,-11.320412492500536
185,-15.389091063185449,-46.86252865814495,-16.94201066758092,-11.308199151633563
186,-15.200049528491423,-14.242603777710999,-16.233807678627645,-10.719820136593901
187,-14.573293708556951,-13.594523399248144,-15.685543444432946,-10.05051126623692
188,-14.584135755388461,-15.11051173057357,-15.514116990718916,-10.054833830305983
189,-14.5954351698747,-15.798347818924627,-15.254298200460076,-10.073265150118141
190,-14.012934236318394,-15.24889189409474,-14.318450382585606,-9.223056567487856
191,-14.25219019340704,-12.935988136627804,-13.369449954229614,-9.212922280776938
192,-13.793626122476855,-12.423972240698948,-12.792586910083365,-8.581974167133868
193,-13.795444671360396,-12.45478857070083,-12.777953340978653,-8.52282190616292
194,-13.797658413816002,-12.072914722063212,-12.790660874241034,-8.452006497176557
195,-14.2909388807627,-11.74605865087434,-12.691992133236383,-6.918324136128041
196,-14.310086537594694,-11.74605865087434,-12.71283920402383,-6.834347545651015
197,-14.393942580721959,-12.142398049053108,-12.733117072927527,-6.802622665179969
198,-14.576836649707726,-12.086955420366785,-12.69968310984542,-6.610877739539866
199,-14.58909394246485,-12.705871968166983,-12.748903371906335,-6.608717134583754
200,-14.602063725953665,-12.584078712223706,-12.76200789750272,-6.6242905086710255
