season,stagecode,tieid,team1,team2,winner,aggscore,v1,v2.1,v2.2.1,v2.2
2020,el-0q-1fqr,6777e16d|8ab497d5,Gzira United,Hajduk Split,Gzira United,3–3,-Inf,-Inf,-Inf,-Inf
2020,el-0q-1fqr,25f1fd26|7d326cbe,Connah's Quay,Kilmarnock,Connah's Quay,3–2,-632.3990860417259,-521.2496669802255,-514.3400591430122,-520.9820416752843
2017,el-1k-1r32,e89d5a28|f25da7fb,Celta Vigo,Shakhtar,Celta Vigo,2–1,-373.687483938272,-406.7132768725315,-466.7714976939142,-406.58036956977685
2016,cl-0q-3tqr,02cd81bf|04c011d8,Maccabi Tel Aviv,Viktoria Plzeň,Maccabi Tel Aviv,3–2,-378.82979320739406,-449.67520158261357,-455.5694595416022,-450.72809102166656
2017,el-0q-2sqr,ab75e049|f3aacc58,Hibernian,Brøndby,Hibernian,1–1,-435.6454897501112,-431.15729160371933,-449.19202218187166,-431.97210823251385
2018,cl-1k-2qf,206d90db|cf74a709,Barcelona,Roma,Roma,4–4,-429.3014883888397,-414.2797182529026,-417.0295965190642,-414.5743931082603
2020,cl-0q-1fqr,33afefe1|c480c810,Nõmme Kalju,Shkëndija 79,Nõmme Kalju,2–2,-448.17432532311915,-402.3412428334664,-396.44234425637063,-402.9745549705089
2016,el-0q-1fqr,835be610|8a898dad,FK Jelgava,Litex Lovech,FK Jelgava,3–3,-464.602916624478,-409.9571467021435,-393.5458116821101,-410.85061805658427
2018,el-0q-1fqr,86b7acd2|ec560e72,Rangers,Progrès,Progrès,1–2,-507.81911936052353,-363.19035364730934,-377.8231786446543,-363.38921853503626
2019,cl-1k-3sf,19c3f8c4|361ca564,Tottenham,Ajax,Tottenham,3–3,-340.95968646676863,-375.91135879220286,-377.36157385571573,-376.4304541328976
2017,el-0q-2sqr,1e972a99|f4f98e1c,Genk,Budućnost,Budućnost,2–2,-400.38581186109343,-378.3193602901297,-373.75688508482267,-378.1948126055654
2019,cl-1k-1r16,19538871|e2d8892c,Manchester Utd,Paris S-G,Manchester Utd,3–3,-302.7839305303669,-344.88747222620094,-357.6457013904199,-345.8114072016716
2017,cl-1k-1r16,206d90db|e2d8892c,Paris S-G,Barcelona,Barcelona,5–6,-396.63839235631394,-368.4279697127685,-353.74972599416674,-366.28566853297184
2015,el-0q-3tqr,a224b06a|d884c383,Mainz 05,Asteras Tripoli,Asteras Tripoli,2–3,-372.70344222891305,-347.19847727920336,-350.6186669519206,-347.42344764671435
2016,el-1k-3qf,822bd0ba|add600ae,Dortmund,Liverpool,Liverpool,4–5,-377.46285032735904,-345.7671570964949,-345.71818799618234,-346.14174142837106
2019,el-0q-3tqr,69d84c29|946a30cb,Zorya Luhansk,Braga,Zorya Luhansk,3–3,-408.83376801001515,-353.30339323011043,-345.6781598035099,-353.48652327161744
2020,cl-0q-1fqr,55ff3845|ae7f2f70,Slovan Bratislava,Sutjeska Nikšić,Sutjeska Nikšić,2–2,-372.56648730758525,-337.57889629264815,-345.5232285518858,-337.1184081280466
2020,el-0q-2sqr,a338349f|b1b46fc3,Vidi,Vaduz,Vaduz,1–2,-317.07453467931947,-324.41453492484135,-342.02830451023596,-324.1421735951683
2018,cl-0q-3tqr,4b682260|c734e22f,Dynamo Kyiv,Young Boys,Young Boys,3–3,-307.2688949662709,-315.22590659460116,-335.7853370720073,-315.0007037547008
2017,el-0q-3tqr,01689b1a|8c635914,AEK Larnaca FC,Spartak Moscow,AEK Larnaca FC,2–1,-326.1703113812319,-311.15510058010756,-331.8716153851717,-311.4502175719418
2017,cl-0q-4po,50f2a074|edd0d381,Dinamo Zagreb,RB Salzburg,Dinamo Zagreb,3–2,-294.54215223502905,-319.45103044201744,-328.83023056803256,-319.3254976501859
2015,cl-1k-1r16,cff3d9bb|e2d8892c,Paris S-G,Chelsea,Paris S-G,3–3,-293.2468480966791,-317.32494281652953,-326.6802712443852,-317.8266248846703
2017,el-0q-1fqr,24cd860c|e839c85b,Zimbru Chișinău,Chikhura,Zimbru Chișinău,3–3,-296.0215843344278,-325.3251884435531,-325.91254684523375,-325.81277981759837
2020,el-0q-1fqr,8c6383a1|f1849f98,Jeunesse Esch,Tobol Qostanaı,Jeunesse Esch,1–1,-375.5871053221747,-344.1174588199839,-324.63164731282683,-344.62806516824855
2015,el-0q-3tqr,c9607f44|fac9957a,FK Sarajevo,Atromitos,FK Sarajevo,4–3,-315.0565431856541,-322.317566908264,-323.83720589355744,-322.78633727872773
2018,el-0q-2sqr,356c100c|aeae4fe1,Ružomberok,Brann,Ružomberok,2–1,-301.1290182053119,-309.30602850134323,-320.9840971850545,-309.7168405318983
2015,el-0q-2sqr,a3ee587a|ea73b616,Víkingur Gøta,Tromsø,Víkingur Gøta,2–1,-356.35390029548984,-331.45895933413937,-319.3185646365642,-332.1256179287824
2015,cl-0q-1fqr,9549dc95|f0e1ca42,Santa Coloma,FC Banants,Santa Coloma,3–3,-260.16859815948646,-314.7573601537064,-300.65403271807673,-315.76172808368835
2017,el-0q-4po,12d53956|7c21e445,Astra Giurgiu,West Ham,Astra Giurgiu,2–1,-337.7997630317078,-303.95544099913116,-298.67484269230175,-303.92333593385507
2020,el-0q-3tqr,91cc0413|d7319d80,Rīga FC,HJK,Rīga FC,3–3,-276.3982342588258,-298.1294421570091,-296.88611546652976,-298.12006472069965
2017,cl-0q-3tqr,90e37d3a|eab315a6,Rosenborg,APOEL FC,APOEL FC,2–4,-247.8173709374159,-268.34806744205235,-294.78104317586025,-268.2931794490429
2019,el-0q-1fqr,7a40cd8b|d27fe90c,Anorthosis,KF Laçi,KF Laçi,2–2,-217.26205793234604,-258.29876716902334,-293.3290341214565,-258.18655030833366
2019,el-0q-3tqr,98ce363d|e2a78c9d,Dinamo Minsk,Zenit,Zenit,5–8,-330.061525309529,-295.7480173228606,-291.45652446634585,-296.2769611575339
2015,cl-0q-3tqr,7e746554|edd0d381,Aalborg,Dinamo Zagreb,Aalborg,2–1,-279.339845242207,-282.2225054974322,-286.9842617956501,-282.4293991579178
2020,el-1k-1r32,13dc44fd|bff39cf5,Sporting CP,Başakşehir,Başakşehir,4–5,-290.8964232566572,-285.34770616667066,-285.307274485368,-284.85504621496966
2019,cl-1k-3sf,206d90db|822bd0ba,Barcelona,Liverpool,Liverpool,3–4,-300.5454500272767,-284.0128586163193,-284.85940831707404,-283.8528225266195
2018,el-0q-3tqr,8ac05d3e|a486e511,Freiburg,NK Domžale,NK Domžale,1–2,-296.7878709681923,-276.5555520847777,-283.95904622398893,-276.5564361907313
2015,el-0q-2sqr,253fffc4|d0ab5e26,Neftchi PFK,FC Koper,Neftchi PFK,3–2,-252.70327625375506,-276.8571467511989,-282.22339595331664,-277.49077824845807
2018,el-0q-4po,577e2606|5a5e7874,PAOK,Östersund,Östersund,3–3,-261.57750333100086,-273.7725448667473,-282.20222110331406,-273.83513873064425
2020,el-1k-1r32,18bb7c10|2fdb4aef,Olympiacos,Arsenal,Olympiacos,2–2,-252.51095900114046,-284.67781898450295,-281.1829587979422,-284.91472980771454
2017,el-0q-1fqr,7d326cbe|c2153ae4,Connah's Quay,Stabæk,Connah's Quay,1–0,-274.76719769148286,-290.1922854554326,-281.0380554749172,-290.3305437778096
2020,el-1k-1r32,18050b20|b81aa4fa,FC Copenhagen,Celtic,FC Copenhagen,4–2,-315.0433525735501,-283.5088228850008,-280.48598852205043,-283.82462136618415
2015,el-1k-1r32,0f9294bd|822bd0ba,Liverpool,Beşiktaş,Beşiktaş,1–1,-256.53695022188913,-270.62147238894653,-278.3606152496332,-270.927788547575
2015,el-0q-2sqr,ee945014|fd36fea1,Metalurg Skopje,Željezničar,Metalurg Skopje,2–2,-255.26858737619634,-266.3291294964873,-264.90916463093777,-266.80335988437076
2015,el-0q-4po,5a8dc328|8dff1828,Apollon Limassol,Loko Moscow,Apollon Limassol,5–2,-306.6620939871895,-265.3360927943207,-264.4272308365291,-265.04816509988405
2018,el-0q-1fqr,278db974|356c100c,Vojvodina,Ružomberok,Ružomberok,2–3,-249.06486344843464,-255.91218532577923,-263.7614764377148,-256.0225505955222
2015,cl-0q-4po,50f2a074|f3d8c8b9,RB Salzburg,Malmö,Malmö,2–4,-271.5509795374231,-260.0001316611522,-260.7101356777107,-260.2415176009071
2019,cl-0q-4po,099c6eb5|50f2a074,Red Star,RB Salzburg,Red Star,2–2,-295.9786836962313,-263.15527434246013,-254.0740209361951,-263.88677201099904
2019,el-0q-3tqr,25dbe099|47b3e736,Sarpsborg 08,Rijeka,Sarpsborg 08,2–1,-250.66950960131268,-247.0108444483665,-250.29021147240456,-247.1554946331147
2019,el-0q-2sqr,03022534|8c6383a1,FC Tobol,FC Pyunik,FC Pyunik,2–2,-205.41481510550759,-233.5013182836196,-246.00994479571884,-233.71262126406532
2017,el-0q-4po,04c011d8|6777e16d,Maccabi Tel Aviv,Hajduk Split,Hajduk Split,3–3,-225.88546175148184,-248.571135191126,-245.4922273671696,-248.49490028973582
2019,el-1k-1r32,c7a9f859|fa11a9cc,Krasnodar,Bayer,Krasnodar,1–1,-230.9140282677792,-254.32970452391248,-243.31504081034444,-254.83244916241608
2015,el-0q-2sqr,9d04848a|f13065a8,Motherwell,Stjarnan,Stjarnan,4–5,-241.0072983104021,-241.35295252566397,-242.29503935791737,-240.88364028055616
2018,el-0q-3tqr,123f3efe|a338349f,Bordeaux,Videoton,Videoton,2–2,-201.56025089906726,-239.15965073925395,-241.84743049030433,-239.24249960616825
2015,el-0q-1fqr,7bc6abf1|c3071553,Sillamäe Kalev,FC Honka,Sillamäe Kalev,4–4,-248.39032049477842,-241.4950911839953,-241.58155811856477,-241.97336605304483
2017,cl-0q-3tqr,b983b638|e4a9d483,BATE Borisov,Dundalk FC,Dundalk FC,1–3,-217.26356188837565,-238.89821563822613,-239.70027832135003,-238.78801229618097
2020,cl-0q-1fqr,ad2649a5|b983b638,BATE Borisov,Piast Gliwice,BATE Borisov,3–2,-222.25369798941963,-231.7764296013602,-239.28621457524233,-231.2087988185984
2015,el-0q-1fqr,7a40cd8b|933ac71c,Rudar Velenje,KF Laçi,KF Laçi,2–2,-224.90357578017458,-232.4158534882585,-237.56744659346575,-232.49509178456927
2018,el-0q-1fqr,7517d495|9e3153f3,Shakhtyor,Sūduva,Sūduva,1–2,-232.03703030135694,-239.11689814080458,-237.5427649754209,-239.51885109989922
2018,el-0q-2sqr,1d0836d6|49a61d12,Norrköping,Trakai,Trakai,3–3,-228.50807909451117,-235.2464161879733,-236.38572992745466,-234.99018043356068
2018,el-0q-2sqr,768fb565|df526548,FC Kairat,Skënderbeu Korçë,Skënderbeu Korçë,1–3,-217.14685363010454,-234.6219070702061,-235.09275412067186,-234.9141681582616
2017,el-1k-2r16,32f3ee20|c539e393,Schalke 04,M'gladbach,Schalke 04,3–3,-229.99704262469356,-240.54633671907146,-234.91840060289243,-241.80447910282456
2020,el-0q-1fqr,7c90642e|8ae75624,Olimpija,FK Rīgas FS,Olimpija,4–3,-277.90204389193946,-232.516816402504,-234.73740693113803,-232.3034551160971
2015,cl-0q-4po,2aae7689|b81aa4fa,NK Maribor,Celtic,NK Maribor,2–1,-236.82092999008566,-240.42414676844822,-234.29457176219003,-240.8313012473463
2015,cl-0q-4po,488c6ba1|aed59852,Steaua,Ludogorets,Ludogorets,1–1,-217.8310856616309,-216.21985694965153,-232.5171459819332,-215.45718720820258
2020,el-0q-1fqr,7e4fae05|c16f1fe7,Bijeljina,Spartak Trnava,Spartak Trnava,2–2,-212.893954309368,-221.4162599463889,-232.04271088811996,-220.26591820061347
2015,el-0q-2sqr,6a3b81bf|e839c85b,Bursaspor,Chikhura,Chikhura,0–0,-269.92095115533925,-266.7228754030467,-231.56785657407318,-266.83700407559536
2020,el-0q-1fqr,6e7c9b0b|b11bfada,Dunajská Streda,Cracovia,Dunajská Streda,3–3,-213.52629676312756,-232.02438863074883,-229.67142306076084,-232.27783650067917
2020,cl-0q-2sqr,2aae7689|b0333581,Maribor,AIK Stockholm,Maribor,4–4,-197.7689418175915,-236.82439719243328,-229.56261137089177,-198.7727115235494
2017,cl-1k-1r16,a2d435b3|ad2be733,Sevilla,Leicester City,Leicester City,2–3,-216.20776210198648,-228.95688658184977,-229.14324191911464,-228.94044705750048
2020,el-0q-2sqr,2a428619|2a6cfcb2,Utrecht,Zrinjski Mostar,Zrinjski Mostar,2–3,-220.2322161409892,-230.00548041674764,-228.45123643895826,-230.16914682260673
2017,el-1k-1r32,32f3ee20|421387cf,M'gladbach,Fiorentina,M'gladbach,4–3,-205.2326441912862,-224.721044518074,-228.19068515768444,-224.70863968259025
