version,predset,minuteclean,loglik
v3,predictions,0,-119.0629225230778
v2.1,predictions,1,-113.29990794402151
v2.1,predictions,2,-112.927109504471
v2.1,predictions,3,-113.19358322858254
v2.1,predictions,4,-111.98106079427356
v2.1,predictions,5,-112.45198691150316
v2.1,predictions,6,-110.75482013966835
v1,predictions,7,-112.66324130972046
v2.1,predictions,8,-112.30591887807073
v2.1,predictions,9,-112.10357909081031
v2.1,predictions,10,-111.31539159305649
v2.1,predictions,11,-112.06823879902889
v2.1,predictions,12,-111.3569650672765
v1,predictions,13,-112.03491994622753
v1,predictions,14,-113.17516456833073
v1,predictions,15,-113.04380558661445
v1,predictions,16,-112.6886969159596
v1,predictions,17,-112.69001045441271
v1,predictions,18,-111.6637461195135
v1,predictions,19,-111.388942653303
v1,predictions,20,-110.65327443868492
v1,predictions,21,-110.93945797467408
v1,predictions,22,-110.55487659605791
v1,predictions,23,-110.17124503727385
v1,predictions,24,-110.04864329262217
v1,predictions,25,-109.64645833811863
v1,predictions,26,-109.64577631066152
v1,predictions,27,-109.31525506051504
v1,predictions,28,-108.78314003450616
v1,predictions,29,-107.934459809358
v1,predictions,30,-106.31114815981574
v1,predictions,31,-105.2082379142392
v1,predictions,32,-104.84504068919483
v1,predictions,33,-104.72511340409432
v1,predictions,34,-103.72126808534072
v1,predictions,35,-103.63129112362445
v1,predictions,36,-103.20971524372024
v1,predictions,37,-102.81713897621
v1,predictions,38,-102.71728597901675
v1,predictions,39,-102.6206276946874
v1,predictions,40,-103.62381983909634
v1,predictions,41,-103.93782031827111
v1,predictions,42,-103.10788010021928
v1,predictions,43,-102.75482717226582
v2.1,predictions,44,-103.37862360118068
v2.1,predictions,45,-100.49077707264792
v2.1,predictions,46,-100.48693048561478
v2.1,predictions,47,-100.64696387200789
v2.1,predictions,48,-101.18304202109252
v2.1,predictions,49,-99.89779834435011
v2.1,predictions,50,-99.15516864256863
v2.1,predictions,51,-99.53293342950258
v2.1,predictions,52,-99.4120021538571
v2.1,predictions,53,-99.10676654085132
v2.1,predictions,54,-99.54478432362059
v2.1,predictions,55,-98.0662678786564
v2.1,predictions,56,-96.72012536866043
v2.1,predictions,57,-95.72939687195354
v2.1,predictions,58,-95.29969861190676
v2.1,predictions,59,-95.76603516032593
v2.1,predictions,60,-96.35324822739214
v2.1,predictions,61,-96.05152332760764
v2.1,predictions,62,-95.26917756370248
v2.1,predictions,63,-95.28852385671111
v2.1,predictions,64,-92.47660790158525
v2.1,predictions,65,-91.51615067536834
v2.1,predictions,66,-91.74100349651566
v2.1,predictions,67,-89.94758199610601
v2.1,predictions,68,-89.6862258046426
v2.1,predictions,69,-90.89131698007063
v2.1,predictions,70,-89.90596697441579
v2.1,predictions,71,-88.79518538279996
v2.1,predictions,72,-88.55873445771402
v2.1,predictions,73,-88.51063172038485
v2.1,predictions,74,-88.46191028758437
v2.1,predictions,75,-86.02085837649302
v2.1,predictions,76,-86.82709966957104
v2.1,predictions,77,-85.6898419509514
v2.1,predictions,78,-85.27540230775757
v2.1,predictions,79,-84.89151452611307
v2.1,predictions,80,-84.05579603870932
v2.1,predictions,81,-84.96243664395158
v2.1,predictions,82,-85.41744586246686
v2.1,predictions,83,-85.47715508500973
v2.1,predictions,84,-85.00206520410792
v2.1,predictions,85,-84.98526165716663
v2.1,predictions,86,-83.72213472548243
v2.1,predictions,87,-83.58584082844577
v2.1,predictions,88,-84.90179661411855
v2.1,predictions,89,-85.69604949458743
v2.1,predictions,90,-87.37662572966899
v2.1,predictions,91,-86.59135724929635
v2.1,predictions,92,-87.79930044733825
v2.1,predictions,93,-86.79188239015556
v3,predictions,94,-86.11768377218911
v3,predictions,95,-86.9544575922082
v3,predictions,96,-85.99306422887102
v3,predictions,97,-79.84457046662905
v3,predictions,98,-78.8186327970045
v3,predictions,99,-79.1430657854974
v3,predictions,100,-76.1574052633741
v3,predictions,101,-76.39103851823386
v3,predictions,102,-74.81418673492993
v3,predictions,103,-73.80578635195027
v3,predictions,104,-73.24048948727439
v3,predictions,105,-73.42863408059219
v3,predictions,106,-73.13713604338956
v3,predictions,107,-71.72607565967614
v3,predictions,108,-71.4611392739362
v3,predictions,109,-70.65396934703074
v3,predictions,110,-71.52937023940709
v3,predictions,111,-71.49242146269184
v3,predictions,112,-69.40285503795033
v3,predictions,113,-70.35441633844343
v3,predictions,114,-71.5935062504498
v3,predictions,115,-70.81111245844286
