season,stagecode,tieid,team1,team2,winner,aggscore,loglik
2020,el-0q-1fqr,6777e16d|8ab497d5,Gzira United,Hajduk Split,Gzira United,3–3,-Inf
2020,el-0q-1fqr,25f1fd26|7d326cbe,Connah's Quay,Kilmarnock,Connah's Quay,3–2,-621.4450196200294
2018,el-0q-1fqr,86b7acd2|ec560e72,Rangers,Progrès,Progrès,1–2,-511.9239355019492
2016,el-0q-1fqr,835be610|8a898dad,FK Jelgava,Litex Lovech,FK Jelgava,3–3,-461.3329871066218
2020,cl-0q-1fqr,33afefe1|c480c810,Nõmme Kalju,Shkëndija 79,Nõmme Kalju,2–2,-446.098584635816
2017,el-0q-2sqr,ab75e049|f3aacc58,Hibernian,Brøndby,Hibernian,1–1,-437.06215418414337
2018,cl-1k-2qf,206d90db|cf74a709,Barcelona,Roma,Roma,4–4,-431.4035865584311
2015,cl-0q-3tqr,a73408a7|b81aa4fa,Legia Warsaw,Celtic,Celtic,4–4,-420.5138541679163
2019,el-0q-3tqr,69d84c29|946a30cb,Zorya Luhansk,Braga,Zorya Luhansk,3–3,-408.7907777177626
2017,el-0q-2sqr,1e972a99|f4f98e1c,Genk,Budućnost,Budućnost,2–2,-402.07719205622317
2016,el-1k-3qf,822bd0ba|add600ae,Dortmund,Liverpool,Liverpool,4–5,-376.8895823030182
2015,el-0q-3tqr,a224b06a|d884c383,Mainz 05,Asteras Tripoli,Asteras Tripoli,2–3,-376.5142123047345
2016,cl-0q-3tqr,02cd81bf|04c011d8,Maccabi Tel Aviv,Viktoria Plzeň,Maccabi Tel Aviv,3–2,-373.67192915099275
2020,cl-0q-1fqr,55ff3845|ae7f2f70,Sl. Bratislava,Sutjeska Nik,Sutjeska Nik,2–2,-373.6705138646128
2017,el-1k-1r32,e89d5a28|f25da7fb,Celta Vigo,Shakhtar,Celta Vigo,2–1,-373.0291852133245
2020,el-0q-1fqr,8c6383a1|f1849f98,Jeunesse Esch,Tobol Qostanaı,Jeunesse Esch,1–1,-370.49229609502305
2017,cl-1k-1r16,206d90db|e2d8892c,Paris S-G,Barcelona,Barcelona,5–6,-362.4872257554133
2015,el-0q-2sqr,a3ee587a|ea73b616,Víkingur Gøta,Tromsø,Víkingur Gøta,2–1,-353.0810519482843
2019,cl-1k-3sf,19c3f8c4|361ca564,Tottenham,Ajax,Tottenham,3–3,-352.7740279165393
2017,el-0q-4po,12d53956|7c21e445,Astra Giurgiu,West Ham,Astra Giurgiu,2–1,-339.356279370557
2017,el-0q-3tqr,01689b1a|8c635914,AEK Larnaca FC,Spartak Moscow,AEK Larnaca FC,2–1,-325.82586128410657
2020,el-0q-2sqr,a338349f|b1b46fc3,Fehérvár,Vaduz,Vaduz,1–2,-321.1546014450556
2015,el-0q-3tqr,c9607f44|fac9957a,FK Sarajevo,Atromitos,FK Sarajevo,4–3,-315.83554692689705
2015,el-0q-4po,5a8dc328|8dff1828,Apollon Limassol,Loko Moscow,Apollon Limassol,5–2,-309.51560170366434
2018,cl-0q-3tqr,4b682260|c734e22f,Dynamo Kyiv,Young Boys,Young Boys,3–3,-308.5148419682839
2019,cl-1k-1r16,19538871|e2d8892c,Manchester Utd,Paris S-G,Manchester Utd,3–3,-304.27214039110555
2017,el-0q-1fqr,24cd860c|e839c85b,Zimbru Chișinău,Chikhura,Zimbru Chișinău,3–3,-301.8032630644787
2018,el-0q-3tqr,8ac05d3e|a486e511,Freiburg,NK Domžale,NK Domžale,1–2,-300.37016366158593
2018,el-0q-2sqr,356c100c|aeae4fe1,Ružomberok,Brann,Ružomberok,2–1,-299.80534564171876
2019,cl-0q-4po,099c6eb5|50f2a074,Red Star,RB Salzburg,Red Star,2–2,-298.8395103885867
2019,cl-1k-3sf,206d90db|822bd0ba,Barcelona,Liverpool,Liverpool,3–4,-294.7382418081068
2017,cl-0q-4po,50f2a074|edd0d381,Dinamo Zagreb,RB Salzburg,Dinamo Zagreb,3–2,-293.57784678717934
2016,el-0q-3tqr,4ebc9920|c8ad3091,FK Rabotnički,Trabzonspor,FK Rabotnički,2–1,-283.88393248155944
2015,cl-0q-3tqr,7e746554|edd0d381,Aalborg,Dinamo Zagreb,Aalborg,2–1,-278.8276388195123
2019,el-0q-3tqr,98ce363d|e2a78c9d,Dinamo Minsk,Zenit,Zenit,5–8,-275.6807615845766
2020,el-0q-3tqr,91cc0413|d7319d80,Rīga FC,HJK,Rīga FC,3–3,-275.5693781096793
