version,predset,minuteclean,rmserror
v3,predictions,0,0.4122089709051053
v2.1,predictions,1,0.4108760262643806
v2.1,predictions,2,0.41022942284056235
v2.1,predictions,3,0.4109108974891213
v2.1,predictions,4,0.4089589311577979
v2.1,predictions,5,0.40991196552741255
v2.1,predictions,6,0.40573777071611505
v1,predictions,7,0.4096315624579864
v1,predictions,8,0.4093151551624524
v1,predictions,9,0.4091929922763355
v2.1,predictions,10,0.4077640998946029
v2.1,predictions,11,0.4093128751716269
v1,predictions,12,0.4078398516529214
v1,predictions,13,0.4100231784730402
v1,predictions,14,0.4114926870868803
v1,predictions,15,0.4116733490680354
v3,predictions,16,0.4109254787262657
v3,predictions,17,0.41098207713889817
v1,predictions,18,0.40884079064715123
v1,predictions,19,0.40844628567068675
v3,predictions,20,0.4065222251489961
v3,predictions,21,0.4072271180766885
v3,predictions,22,0.4068302573991338
v1,predictions,23,0.406174478081592
v1,predictions,24,0.4061369211393505
v1,predictions,25,0.40507686623907985
v3,predictions,26,0.40497712809103825
v3,predictions,27,0.40298872853972395
v3,predictions,28,0.4011885337422994
v3,predictions,29,0.3991795960055
v3,predictions,30,0.3965034150871451
v3,predictions,31,0.39432232621670776
v3,predictions,32,0.39374942510003585
v3,predictions,33,0.3936894962143889
v3,predictions,34,0.39205223449751003
v3,predictions,35,0.39249437049131697
v1,predictions,36,0.3920701134335593
v1,predictions,37,0.3910070999320493
v1,predictions,38,0.3909535138864517
v3,predictions,39,0.390621220087593
v3,predictions,40,0.3928612314188702
v3,predictions,41,0.3931337442592614
v3,predictions,42,0.39212236303906456
v3,predictions,43,0.3915763197666443
v3,predictions,44,0.38961869967380774
v2.1,predictions,45,0.3831592878980244
v3,predictions,46,0.38276906108541353
v3,predictions,47,0.3831037233526717
v3,predictions,48,0.3848391805196882
v2.1,predictions,49,0.38262472389119684
v3,predictions,50,0.38096391202130225
v3,predictions,51,0.38107117502173976
v3,predictions,52,0.38207766331734017
v3,predictions,53,0.38167908127336464
v3,predictions,54,0.38348422706169355
v3,predictions,55,0.38052437082519447
v2.1,predictions,56,0.37712158885783736
v2.1,predictions,57,0.37488531324567004
v3,predictions,58,0.373629642653761
v3,predictions,59,0.3736723634956845
v2.1,predictions,60,0.3751542668161297
v2.1,predictions,61,0.37463641502291506
v2.1,predictions,62,0.372943481516427
v2.1,predictions,63,0.3731233096353219
v2.1,predictions,64,0.36643550964286903
v2.1,predictions,65,0.3634656002077975
v2.1,predictions,66,0.3643315299501643
v2.1,predictions,67,0.36042602011292113
v1,predictions,68,0.3596333630534678
v1,predictions,69,0.361713471687834
v1,predictions,70,0.3592471856322124
v1,predictions,71,0.3576035158193341
v2.1,predictions,72,0.3570886553773987
v3,predictions,73,0.35533697082200427
v3,predictions,74,0.3558245734028283
v3,predictions,75,0.3505700908036781
v3,predictions,76,0.3517898119234599
v3,predictions,77,0.35056018966216185
v3,predictions,78,0.3485628619704843
v3,predictions,79,0.3473642824971047
v3,predictions,80,0.3460959918768648
v3,predictions,81,0.34706889940030616
v3,predictions,82,0.34615561031815195
v3,predictions,83,0.346331886330793
v3,predictions,84,0.34511201919069356
v3,predictions,85,0.34445040300847757
v3,predictions,86,0.342439651635197
v3,predictions,87,0.3423454596565805
v3,predictions,88,0.3473856885686261
v3,predictions,89,0.34835963366468703
v3,predictions,90,0.3464169109933235
v3,predictions,91,0.3468347178276813
v3,predictions,92,0.34973074128391946
v1,predictions,93,0.34850494843756347
v3,predictions,94,0.3485647209345396
v1,predictions,95,0.35281648872672
v1,predictions,96,0.3525968949127965
v3,predictions,97,0.34882406680211747
v3,predictions,98,0.3477061050539158
v3,predictions,99,0.3491408383963945
v2.1,predictions,100,0.3413051345915667
v2.1,predictions,101,0.34627792307018757
v2.1,predictions,102,0.3435718670805109
v2.1,predictions,103,0.3415554857033593
v2.1,predictions,104,0.34045908016347154
v2.1,predictions,105,0.340780779284389
v2.1,predictions,106,0.33964630088724673
v2.1,predictions,107,0.336582461996129
v2.1,predictions,108,0.33648626205808346
v2.1,predictions,109,0.3350272582047687
v2.1,predictions,110,0.3373748395896653
v2.1,predictions,111,0.33848231765656567
v2.1,predictions,112,0.3386771160513518
v2.1,predictions,113,0.3418847335344702
v2.1,predictions,114,0.34489721771498055
v2.1,predictions,115,0.34272283276381676
