predset,minuteclean,loglik
predictions,1,-101.12458633882537
predictions,2,-100.83127437035769
predictions,3,-101.03153926958633
predictions,4,-100.48177048652737
predictions,5,-100.5249459268798
predictions,6,-99.16833055945892
predictions,7,-100.39980401527993
predictions,8,-100.17487675295928
predictions,9,-99.98933059081003
predictions,10,-99.15959314949876
predictions,11,-99.48020616695003
predictions,12,-99.04513761236153
predictions,13,-99.7986134795929
predictions,14,-99.95534779532287
predictions,15,-99.69596019817799
predictions,16,-99.70262309325184
predictions,17,-99.69440995880566
predictions,18,-98.65794248125378
predictions,19,-98.37683123226564
predictions,20,-97.63791744401068
predictions,21,-97.91881284342938
predictions,22,-97.49830269473865
predictions,23,-97.11080231654769
predictions,24,-96.97744075639417
predictions,25,-96.57620559226261
predictions,26,-96.92838742556455
predictions,27,-96.59315874721496
predictions,28,-96.09089026681364
predictions,29,-95.47328406696646
predictions,30,-93.84056680949959
predictions,31,-92.71397256876377
predictions,32,-92.3471836873428
predictions,33,-92.22169229356724
predictions,34,-91.19934979346749
predictions,35,-91.10229068306556
predictions,36,-91.02998690428763
predictions,37,-90.9348097911226
predictions,38,-90.83289382367884
predictions,39,-90.76108401316344
predictions,40,-91.75776726871752
predictions,41,-92.06858138858722
predictions,42,-91.32404248681698
predictions,43,-91.19212246113197
predictions,44,-92.32000010364216
predictions,45,-89.75801232196523
predictions,46,-89.73136838364847
predictions,47,-89.31508755511226
predictions,48,-89.5924173496429
predictions,49,-88.96966944235581
predictions,50,-88.1951633661805
predictions,51,-87.88695123300522
predictions,52,-88.53059200247576
predictions,53,-88.87399184189111
predictions,54,-89.16785636360157
predictions,55,-87.76105488296331
predictions,56,-86.88137653341741
predictions,57,-86.16160181323274
predictions,58,-85.78982496788414
predictions,59,-84.97844195742428
predictions,60,-85.31430762761435
predictions,61,-85.1594419321114
predictions,62,-84.55293771753581
predictions,63,-84.61502345356746
predictions,64,-81.68416013333368
predictions,65,-80.73424467973516
predictions,66,-80.1862641168445
predictions,67,-79.02854425065158
predictions,68,-78.57217350911922
predictions,69,-78.88974345691777
predictions,70,-77.94558155649933
predictions,71,-77.17021074520156
predictions,72,-77.49106353867262
predictions,73,-77.27123312824041
predictions,74,-77.27285215937361
predictions,75,-75.75010326442043
predictions,76,-76.20844330470983
predictions,77,-76.00049142334069
predictions,78,-75.43518053892522
predictions,79,-74.90631918451231
predictions,80,-74.03664524844737
predictions,81,-74.64774173610304
predictions,82,-77.04959969395337
predictions,83,-77.16042201739644
predictions,84,-76.48447613739413
predictions,85,-76.46241916717528
predictions,86,-74.83730007847889
predictions,87,-74.71410141958327
predictions,88,-76.15143543333043
predictions,89,-76.9044723386277
predictions,90,-80.79313129373156
predictions,91,-79.98434531271769
predictions,92,-81.02559557644236
predictions,93,-80.07697592640396
predictions,94,-80.852033716082
predictions,95,-81.90042026812068
predictions,96,-80.51809082929604
predictions,97,-81.66533374046533
predictions,98,-80.98850549581822
predictions,99,-80.96744410587543
predictions,100,-77.59805133844011
predictions,101,-79.28934773252415
predictions,102,-79.10223049937781
predictions,103,-78.42870867706425
predictions,104,-78.0268687532051
predictions,105,-78.26637183548502
predictions,106,-77.89664742018148
predictions,107,-76.76691027063293
predictions,108,-76.88201799006838
predictions,109,-76.21241462377785
predictions,110,-77.30836452874259
predictions,111,-77.53162392787203
predictions,112,-78.2452781620923
predictions,113,-79.43230580410662
predictions,114,-80.20573926142654
predictions,115,-79.34659684987669
predictions,116,-77.21274975757322
predictions,117,-75.95108973662194
predictions,118,-76.31550741504769
predictions,119,-76.18985351808722
predictions,120,-76.56361349688429
predictions,121,-76.46380776582288
predictions,122,-76.43528533574236
predictions,123,-75.73874882694649
predictions,124,-74.30009944703852
predictions,125,-73.66623742098093
predictions,126,-72.86291479922079
predictions,127,-73.05262423499747
predictions,128,-71.34052009440526
predictions,129,-71.4035517957801
predictions,130,-71.7424588823367
predictions,131,-71.81146260620025
predictions,132,-71.21394201860271
predictions,133,-70.85475379687556
predictions,134,-71.11603049897963
predictions,135,-70.83092463042453
predictions,136,-70.9519851892078
predictions,137,-69.8090268366746
predictions,138,-68.41998306251888
predictions,139,-70.52609068326224
predictions,140,-68.36134100588636
predictions,141,-68.24929662121477
predictions,142,-68.17212977339561
predictions,143,-67.55576745867154
predictions,144,-68.01020242221865
predictions,145,-67.42582705913982
predictions,146,-67.62613997903006
predictions,147,-64.94155241315613
predictions,148,-64.86124681752636
predictions,149,-62.12644319819448
predictions,150,-61.49140253244868
predictions,151,-61.50364687603666
predictions,152,-61.20530216810044
predictions,153,-60.865885630708775
