season,stagecode,tieid,team1,team2,winner,excitement
2019,el-0q-3tqr,98ce363d|e2a78c9d,Dinamo Minsk,Zenit,Zenit,3.9597995745181143
2019,el-1k-2r16,111cbfb1|ad2be733,Sevilla,Slavia Prague,Slavia Prague,3.936161799945318
2018,cl-0q-1fqr,75cd4ee3|fd12ff13,The New Saints,Europa FC,The New Saints,3.563209972177063
2017,cl-1k-1r16,b8fd03ef|fd6114db,Manchester City,Monaco,Monaco,3.396995091989827
2020,cl-0q-3tqr,b81aa4fa|ff04e205,CFR Cluj,Celtic,CFR Cluj,3.3942221046874748
2017,el-0q-3tqr,7b66a29c|8dff1828,Grasshopper,Apollon Limassol,Grasshopper,3.3597688441986158
2016,el-1k-1r32,d298ef2c|d3d9424a,Saint-Étienne,Basel,Basel,3.140186909223717
2017,cl-0q-3tqr,099c6eb5|488c6ba1,Ludogorets,Red Star,Ludogorets,3.1384572514062947
2020,el-0q-1fqr,112c9642|f13065a8,Stjarnan,Levadia Tallinn,Stjarnan,3.1105287236255204
2020,cl-0q-2sqr,2aae7689|b0333581,Maribor,AIK Stockholm,Maribor,3.089843385694042
2015,el-0q-1fqr,3d81ccdb|88ee782c,FC Sioni Bolnisi,Flamurtari Vlorë,Flamurtari Vlorë,3.0573503497417414
2015,el-0q-2sqr,9d04848a|f13065a8,Motherwell,Stjarnan,Stjarnan,3.0543041088845877
2016,cl-0q-3tqr,c72c8787|d7319d80,HJK Helsinki,FC Astana,FC Astana,3.043072371126567
2015,el-1k-1r32,105360fe|2b390eca,Torino,Athletic Bilbao,Torino,2.932003202341569
2019,el-0q-2sqr,31742d51|c9607f44,FC Dinamo Brest,Atromitos,FC Dinamo Brest,2.9130742271070327
2015,el-0q-1fqr,7bc6abf1|c3071553,Sillamäe Kalev,FC Honka,Sillamäe Kalev,2.891097688032243
2015,el-0q-4po,15e031af|541a280b,Dynamo Mosc,AC Omonia,Dynamo Mosc,2.882668863339419
2017,cl-1k-2qf,054efa67|53a2f082,Bayern Munich,Real Madrid,Real Madrid,2.879589055063201
2020,el-0q-4po,3986b791|c2e6b53b,AZ Alkmaar,Antwerp,AZ Alkmaar,2.8154201324608272
2019,el-1k-1r32,b3072e00|fc536746,Rennes,Betis,Rennes,2.7611358180573315
2020,el-1k-1r32,a77c513e|e89d5a28,Shakhtar,Benfica,Shakhtar,2.7102540177756
2019,cl-1k-2qf,361ca564|b8fd03ef,Tottenham,Manchester City,Tottenham,2.6676883685499875
2018,el-1k-3qf,50f2a074|7213da33,Lazio,RB Salzburg,RB Salzburg,2.6649021610598123
2020,el-1k-1r32,13dc44fd|bff39cf5,Sporting CP,Başakşehir,Başakşehir,2.6581582076966455
2016,el-0q-1fqr,8dc7bf66|d0ab5e26,Neftchi PFK,Mladost,Mladost,2.6294789961209304
2020,cl-0q-2sqr,d3d9424a|e334d850,PSV Eindhoven,Basel,Basel,2.602082617469478
2017,el-1k-1r32,08ad393c|98ce363d,Anderlecht,Zenit,Anderlecht,2.557300852974645
2017,cl-1k-1r16,206d90db|e2d8892c,Paris S-G,Barcelona,Barcelona,2.546833347333773
2016,el-0q-1fqr,dd289621|e6232d10,Alashkert FC,St Johnstone,Alashkert FC,2.544848150774659
2016,cl-0q-3tqr,19c3f8c4|912e4c40,Rapid Wien,Ajax,Rapid Wien,2.5291312412837916
2015,el-0q-3tqr,c9607f44|fac9957a,FK Sarajevo,Atromitos,FK Sarajevo,2.506290905623456
2016,cl-0q-3tqr,aed59852|dde3e804,Steaua,Partizan,Partizan,2.4932016819571325
2016,cl-0q-3tqr,ecb862be|f0c0c2c2,CSKA Moscow,Sparta Prague,CSKA Moscow,2.474391327251578
2015,cl-1k-1r16,cff3d9bb|e2d8892c,Paris S-G,Chelsea,Paris S-G,2.4697912305683105
2019,el-0q-4po,04c011d8|47b3e736,Sarpsborg 08,Maccabi Tel Aviv,Sarpsborg 08,2.4693847549137606
2018,cl-0q-3tqr,132ebc33|19c3f8c4,Nice,Ajax,Nice,2.453665019057317
2018,el-1k-1r32,922493f3|add600ae,Dortmund,Atalanta,Dortmund,2.447244337140226
2018,cl-0q-3tqr,02cd81bf|aed59852,FCSB,Viktoria Plzeň,FCSB,2.44550721237823
2016,el-0q-1fqr,04dcef70|baae133b,UC Dublin,F91 Dudelange,UC Dublin,2.430580603759105
2017,el-0q-2sqr,6507d2b8|b70ec3fa,PAS Giannina,Odd,PAS Giannina,2.4293174884695605
2020,el-0q-1fqr,aeae4fe1|f082c4f3,Brann,Shamrock Rov,Shamrock Rov,2.418730085630152
2017,el-1k-3qf,19c3f8c4|c539e393,Ajax,Schalke 04,Ajax,2.4140239090597446
2020,el-0q-1fqr,7c90642e|8ae75624,Olimpija,FK Rīgas FS,Olimpija,2.396383413178466
