season,stagecode,tieid,t1win,team1,team2,winner,minprob,minprobminute,minprobscore,finalscore
2020,el-0q-1fqr,6777e16d|8ab497d5,TRUE,Gzira United,Hajduk Split,Gzira United,4.8725334780911483e-4,146,0-3,3*-3
2017,cl-1k-1r16,206d90db|e2d8892c,FALSE,Paris S-G,Barcelona,Barcelona,0.0017601618602750557,177,5-3,5-6
2016,el-1k-3qf,822bd0ba|add600ae,FALSE,Dortmund,Liverpool,Liverpool,0.006657613142971419,155,4-2,4-5
2019,cl-1k-3sf,19c3f8c4|361ca564,TRUE,Tottenham,Ajax,Tottenham,0.008201728362848479,144,0-3,3*-3
2020,el-0q-1fqr,25f1fd26|7d326cbe,TRUE,Connah's Quay,Kilmarnock,Connah's Quay,0.010160373675312593,139,1-2,3-2
2015,cl-1k-1r16,cff3d9bb|e2d8892c,TRUE,Paris S-G,Chelsea,Paris S-G,0.012836431003513294,175,1-2,3*-3
2017,el-1k-1r32,32f3ee20|421387cf,TRUE,M'gladbach,Fiorentina,M'gladbach,0.014534802186221335,133,0-3,4-3
2017,cl-0q-4po,50f2a074|edd0d381,TRUE,Dinamo Zagreb,RB Salzburg,Dinamo Zagreb,0.01727820732019944,176,1-2,3-2
2016,cl-0q-3tqr,02cd81bf|04c011d8,TRUE,Maccabi Tel Aviv,Viktoria Plzeň,Maccabi Tel Aviv,0.02073769634159844,164,1-2,3-2
2019,cl-0q-4po,099c6eb5|50f2a074,TRUE,Red Star,RB Salzburg,Red Star,0.02344538322876143,154,0-2,2*-2
2018,cl-1k-2qf,206d90db|cf74a709,FALSE,Barcelona,Roma,Roma,0.024007831362384935,79,3-0,4-4*
2019,el-0q-3tqr,98ce363d|e2a78c9d,FALSE,Dinamo Minsk,Zenit,Zenit,0.02401408098804758,155,4-1,5-8
2019,el-1k-2r16,111cbfb1|ad2be733,FALSE,Sevilla,Slavia Prague,Slavia Prague,0.024207172592946136,188,5-4,5-6
2016,cl-0q-3tqr,c72c8787|d7319d80,FALSE,HJK Helsinki,FC Astana,FC Astana,0.026338584732293335,133,2-0,3-4
2019,el-0q-1fqr,b11bfada|e2fa043d,TRUE,Dunajská Streda,Dinamo Tbilisi,Dunajská Streda,0.02656612729527444,175,1-2,3-2
2018,el-1k-3qf,50f2a074|7213da33,FALSE,Lazio,RB Salzburg,RB Salzburg,0.028279888871840853,145,5-2,5-6
2016,el-0q-1fqr,835be610|8a898dad,TRUE,FK Jelgava,Litex Lovech,FK Jelgava,0.02878934911245762,50,0-1,3*-3
2017,el-1k-2r16,32f3ee20|c539e393,TRUE,Schalke 04,M'gladbach,Schalke 04,0.028863412966366096,143,1-3,3*-3
2019,el-0q-3tqr,69d84c29|946a30cb,TRUE,Zorya Luhansk,Braga,Zorya Luhansk,0.0322181266500395,159,1-2,3*-3
