season,stagecode,tieid,team1,team2,winner,tension
2019,el-0q-1fqr,7de37644|aa065002,CS Fola Esch,FC Prishtina,CS Fola Esch,4.939373725645755
2020,el-0q-3tqr,70c92f33|aed59852,FCSB,Mladá Boleslav,FCSB,6.080747653826321
2015,el-1k-3qf,c4770a69|f1e6c5f1,Club Brugge,Dnipro,Dnipro,6.499311595096903
2019,el-0q-2sqr,8cac5dfa|ec560e72,Honvéd,Progrès,Progrès,11.593598932521804
2019,el-0q-4po,c72c8787|eab315a6,APOEL FC,Astana FK,Astana FK,12.69649470935264
2020,cl-0q-1fqr,91cc0413|e4a9d483,Dundalk,Rīga FC,Dundalk,13.70611503046105
2015,cl-0q-4po,488c6ba1|aed59852,Steaua,Ludogorets,Ludogorets,14.580000789583849
2019,cl-1k-1r16,5e876ee6|cf74a709,Roma,Porto,Porto,16.579230149149613
2018,el-0q-1fqr,869a3b6a|b838366a,FK Ventspils,Valur,Valur,17.631957496595977
2020,el-0q-2sqr,57d14db5|cbde2682,CSKA Sofia,Osijek,CSKA Sofia,18.0276133419966
2019,el-0q-3tqr,943e8050|bff39cf5,Başakşehir,Burnley,Burnley,18.37189158033136
2016,el-0q-3tqr,22a5a99c|e2a78c9d,Zürich,Dinamo Minsk,Dinamo Minsk,18.791442973652977
2020,el-0q-1fqr,4a29fb1c|b1b46fc3,Breiðablik,Vaduz,Vaduz,20.18409155555355
2015,el-0q-2sqr,b1b46fc3|c39b0fab,Ruch Chorzów,Vaduz,Ruch Chorzów,20.394398520277342
2018,el-0q-3tqr,2a428619|fdba14df,Utrecht,Lech Poznań,Utrecht,20.60864579521129
2020,cl-0q-2sqr,90e37d3a|b983b638,BATE Borisov,Rosenborg,Rosenborg,21.002324106209862
2016,el-0q-1fqr,a1962466|e2fa043d,Dinamo Tbilisi,Gabala FK,Gabala FK,21.14642923271149
2017,el-0q-2sqr,2aae7689|3a7a27c6,NK Maribor,Levski Sofia,NK Maribor,22.45369918757291
2015,el-0q-4po,15e031af|541a280b,Dynamo Mosc,AC Omonia,Dynamo Mosc,23.020169509795107
2019,cl-0q-1fqr,3f53cc7a|f1e85b1e,FK Kukësi,Valletta FC,FK Kukësi,23.063711620463078
2019,el-0q-2sqr,8ff9960d|9ac2ced1,Hapoel Haifa FC,FH,Hapoel Haifa FC,23.198181957124923
2020,cl-0q-2sqr,02cd81bf|2fdb4aef,Viktoria Plzeň,Olympiacos,Olympiacos,23.216050232604655
2016,el-0q-4po,12d53956|3986b791,Astra Giurgiu,AZ Alkmaar,AZ Alkmaar,23.35833571684509
2017,el-0q-3tqr,2aae7689|8bbab7cf,Aberdeen,NK Maribor,NK Maribor,23.43137332173426
2017,el-0q-1fqr,112c9642|15c5743b,Levadia Tallinn,Havnar Bóltfelag,Levadia Tallinn,23.47090121947913
2018,el-0q-3tqr,6777e16d|ab75e049,Brøndby,Hajduk Split,Hajduk Split,23.569472638819782
2017,cl-0q-3tqr,19c3f8c4|5a5e7874,Ajax,PAOK,Ajax,23.919093227983275
2018,el-0q-3tqr,12d53956|797d38d2,Astra Giurgiu,FC Oleksandriya,FC Oleksandriya,24.005930939262967
2018,el-0q-2sqr,1040e0f7|d8b8c85b,FK AS Trenčín,Bnei Yehuda,Bnei Yehuda,24.32848606219836
2020,el-0q-3tqr,133013ee|1d0836d6,Norrköping,Be'er Sheva,Be'er Sheva,24.368833038894877
2020,el-0q-2sqr,03022534|8424bb18,Pyunik,Jablonec,Pyunik,24.39413121033534
2015,el-0q-2sqr,24cd860c|cbde2682,CSKA Sofia,Zimbru Chișinău,Zimbru Chișinău,24.46937902866848
2016,cl-1k-1r16,98ce363d|a77c513e,Benfica,Zenit,Benfica,24.53710884858547
2016,cl-1k-3sf,054efa67|db3b9613,Atlético Madrid,Bayern Munich,Atlético Madrid,24.619607276808075
2018,el-0q-3tqr,51e5a603|80beba99,Gent,SCR Altach,SCR Altach,25.027466476294663
2018,el-0q-4po,df526548|edd0d381,Dinamo Zagreb,Skënderbeu Korçë,Skënderbeu Korçë,25.287943203454933
2020,el-0q-4po,174bd5a0|dde3e804,Partizan,Molde,Partizan,25.330259806042317
