predset,minuteclean,loglik
predictions,1,-113.47167974534038
predictions,2,-113.18905284078504
predictions,3,-113.82819962898985
predictions,4,-112.72355490826993
predictions,5,-112.78207981689945
predictions,6,-111.4168609596456
predictions,7,-112.66324130972046
predictions,8,-112.4482824282989
predictions,9,-112.27322679744154
predictions,10,-111.44877284452274
predictions,11,-112.17026912670686
predictions,12,-111.36456502285137
predictions,13,-112.03491994622753
predictions,14,-113.17516456833073
predictions,15,-113.04380558661445
predictions,16,-112.6886969159596
predictions,17,-112.69001045441271
predictions,18,-111.6637461195135
predictions,19,-111.388942653303
predictions,20,-110.65327443868492
predictions,21,-110.93945797467408
predictions,22,-110.55487659605791
predictions,23,-110.17124503727385
predictions,24,-110.04864329262217
predictions,25,-109.64645833811863
predictions,26,-109.64577631066152
predictions,27,-109.31525506051504
predictions,28,-108.78314003450616
predictions,29,-107.934459809358
predictions,30,-106.31114815981574
predictions,31,-105.2082379142392
predictions,32,-104.84504068919483
predictions,33,-104.72511340409432
predictions,34,-103.72126808534072
predictions,35,-103.63129112362445
predictions,36,-103.20971524372024
predictions,37,-102.81713897621
predictions,38,-102.71728597901675
predictions,39,-102.6206276946874
predictions,40,-103.62381983909634
predictions,41,-103.93782031827111
predictions,42,-103.10788010021928
predictions,43,-102.75482717226582
predictions,44,-104.43889234066175
predictions,45,-101.88585117863278
predictions,46,-101.84961093672122
predictions,47,-101.90541921868218
predictions,48,-102.21688918000225
predictions,49,-101.25396140292213
predictions,50,-100.48782194301249
predictions,51,-100.88757662812486
predictions,52,-100.74198025246778
predictions,53,-100.83125671373516
predictions,54,-101.13887522897171
predictions,55,-99.74169020825721
predictions,56,-98.47819650248137
predictions,57,-97.58332705013514
predictions,58,-96.90137339105408
predictions,59,-97.01560653933143
predictions,60,-97.39769913143742
predictions,61,-97.22578861608629
predictions,62,-96.36335421873989
predictions,63,-96.44754556332944
predictions,64,-93.52831285786706
predictions,65,-92.57963044934482
predictions,66,-92.6674623316876
predictions,67,-90.9161360220083
predictions,68,-90.49302677017023
predictions,69,-91.234629761521
predictions,70,-90.288163493874393
predictions,71,-89.39987438686626
predictions,72,-89.31035699533987
predictions,73,-89.42547955726812
predictions,74,-89.45194565339511
predictions,75,-86.73109032413079
predictions,76,-87.2086046415562
predictions,77,-86.09861894837543
predictions,78,-85.53491591797052
predictions,79,-84.99958385689389
predictions,80,-84.1431311928218
predictions,81,-85.67887812049513
predictions,82,-87.22970335201131
predictions,83,-87.36011806979883
predictions,84,-86.66371488697173
predictions,85,-86.76556259686882
predictions,86,-85.35465243187703
predictions,87,-85.25021431220573
predictions,88,-86.71538559397912
predictions,89,-87.46950951953377
predictions,90,-91.23249433735808
predictions,91,-90.39518163050433
predictions,92,-91.4543567100441
predictions,93,-90.47161880693766
predictions,94,-91.2951197758944
predictions,95,-92.28191507147126
predictions,96,-90.95152310602758
predictions,97,-91.98168504875157
predictions,98,-91.31172273549554
predictions,99,-91.817151343378
predictions,100,-88.12024871558171
predictions,101,-89.82205010321584
predictions,102,-88.91633085565584
predictions,103,-88.24581712781134
predictions,104,-87.84665479281993
predictions,105,-88.09873607179493
predictions,106,-87.73646469930428
predictions,107,-86.62453414096315
predictions,108,-86.73969904679551
predictions,109,-86.06103786832763
predictions,110,-87.20816524244634
predictions,111,-87.42842875834299
predictions,112,-88.02997514471429
predictions,113,-89.2531697896144
predictions,114,-90.157517133846
predictions,115,-89.5847533626754
predictions,116,-87.41942093438779
predictions,117,-86.04341657705531
predictions,118,-86.02602746649252
predictions,119,-85.54084778701888
predictions,120,-85.77551674203023
predictions,121,-84.70222157655581
predictions,122,-84.68728229604686
predictions,123,-83.96952789998873
predictions,124,-82.46692347815808
predictions,125,-81.87377564611225
predictions,126,-81.48169942157377
predictions,127,-81.69615196703191
predictions,128,-79.98622643195336
predictions,129,-80.06366314731434
predictions,130,-80.4415507765976
predictions,131,-80.19327150434412
predictions,132,-79.58724845801814
predictions,133,-79.94607042458551
predictions,134,-79.93773590619223
predictions,135,-78.7147317142191
predictions,136,-78.84781094119558
predictions,137,-78.49680446392223
predictions,138,-76.91537389158584
predictions,139,-77.8315535615549
predictions,140,-75.52142081943101
predictions,141,-74.13783670934177
predictions,142,-74.06066849713785
predictions,143,-71.80332447275265
predictions,144,-72.19319949131562
predictions,145,-71.62040652436254
predictions,146,-71.83030595867304
predictions,147,-69.37382538630948
predictions,148,-69.28952853905083
predictions,149,-66.57902197084415
predictions,150,-65.91259515231265
predictions,151,-65.44598468378618
predictions,152,-65.11021895103809
predictions,153,-64.81922076728233
predictions,154,-65.49081611689003
predictions,155,-63.90019423314546
predictions,156,-62.924296317628404
predictions,157,-61.76607124543522
predictions,158,-60.41226912748877
predictions,159,-58.92063516887393
predictions,160,-58.53194046857175
predictions,161,-57.7572862946659
predictions,162,-58.79770286810334
predictions,163,-56.007432416502226
predictions,164,-52.62076596282313
predictions,165,-52.520219760544215
predictions,166,-52.557577117379026
predictions,167,-51.36010751926004
predictions,168,-51.822045819008174
predictions,169,-50.921734858864845
predictions,170,-44.57357050920736
predictions,171,-45.313604147060545
predictions,172,-43.49736129962895
predictions,173,-43.04792953581852
predictions,174,-43.62958325801379
predictions,175,-42.41710866772536
predictions,176,-42.429326689026674
predictions,177,-40.40997833966351
predictions,178,-40.24039526757066
predictions,179,-39.980376992320835
predictions,180,-26.164681069524498
predictions,181,-13.660623090035525
predictions,182,-13.397053661328403
predictions,183,-14.87873925185844
predictions,184,-15.376777230674566
predictions,185,-15.389091063185449
predictions,186,-15.200049528491423
predictions,187,-14.573293708556951
predictions,188,-14.584135755388461
predictions,189,-14.5954351698747
predictions,190,-14.012934236318394
predictions,191,-14.25219019340704
predictions,192,-13.793626122476855
predictions,193,-13.795444671360396
predictions,194,-13.797658413816002
predictions,195,-14.2909388807627
predictions,196,-14.310086537594694
predictions,197,-14.393942580721959
predictions,198,-14.576836649707726
predictions,199,-14.58909394246485
predictions,200,-14.602063725953665
predictions,201,-13.893566548084772
predictions,202,-13.901824173048839
predictions,203,-13.60670345651673
predictions,204,-13.64455510114516
predictions,205,-13.683493434288058
predictions,206,-13.723538864542286
predictions,207,-11.526450691122005
predictions,208,-11.487362531832678
predictions,209,-8.503811183937737
predictions,210,-6.482346195181152
training,1,-588.4481222089811
training,2,-586.8294649850202
training,3,-583.6461695911569
training,4,-580.5545434969489
training,5,-577.4437858897456
training,6,-577.4436423069567
training,7,-575.5001523544668
training,8,-576.3498083380108
training,9,-574.9349983340225
training,10,-574.6322707996421
training,11,-573.738293602173
training,12,-571.0782843818623
training,13,-566.4432735689138
training,14,-563.3643364603306
training,15,-561.328470851014
training,16,-561.9978846291689
training,17,-562.3054535234702
training,18,-560.8577926841548
training,19,-558.5510876687945
training,20,-557.6138890572684
training,21,-558.2189436095008
training,22,-556.5429321982649
training,23,-553.2449940657207
training,24,-550.4148499642031
training,25,-547.6324272744832
training,26,-546.8937970598083
training,27,-546.5637862254663
training,28,-544.7807613373109
training,29,-543.0226328044688
training,30,-539.8829829589009
training,31,-537.7559551653084
training,32,-534.1323968102521
training,33,-533.6453042241523
training,34,-532.3763241105479
training,35,-531.9586578971448
training,36,-529.560269512032
training,37,-525.6657177166086
training,38,-525.4955747295375
training,39,-529.4805094799516
training,40,-528.8444732144982
training,41,-527.9664921331191
training,42,-524.7673254528154
training,43,-522.9770349527676
training,44,-517.2108300369209
training,45,-515.5369824458311
training,46,-513.6731642353445
training,47,-514.10088079397
training,48,-512.2642487356218
training,49,-511.353865429251
training,50,-511.1310973972926
training,51,-511.5295819379743
training,52,-511.0604051606876
training,53,-510.8062372483388
training,54,-509.17809646140734
training,55,-509.0606608054291
training,56,-508.05621551530635
training,57,-503.5837241966192
training,58,-503.85448578226334
training,59,-503.94965735062294
training,60,-504.56485780339517
training,61,-503.03209386388613
training,62,-500.4915618301766
training,63,-498.14595718053204
training,64,-496.03622094636046
training,65,-493.3638974942337
training,66,-491.91977141487325
training,67,-488.8420320441403
training,68,-487.03961242790797
training,69,-487.8445775729451
training,70,-486.98561230331904
training,71,-484.8419013067262
training,72,-479.1244486617341
training,73,-476.3576122190579
training,74,-472.65144082636414
training,75,-470.40780852066666
training,76,-471.5013005586179
training,77,-471.38121846300476
training,78,-470.67848596235604
training,79,-467.9165035026079
training,80,-464.94774316795343
training,81,-461.25310391728
training,82,-460.84300046910954
training,83,-459.40866847725664
training,84,-460.138927747977
training,85,-459.4747612862199
training,86,-458.8347266655036
training,87,-459.08498853542966
training,88,-458.8376475837491
training,89,-457.47181917005395
training,90,-439.34062070720984
training,91,-430.9417366248358
training,92,-429.3158674019792
training,93,-427.78255263240106
training,94,-428.3250903269258
training,95,-428.859301757806
training,96,-424.79613221575096
training,97,-417.30840532513986
training,98,-414.8026354391647
training,99,-413.40313537228417
training,100,-412.1906773807305
training,101,-408.89442626093313
training,102,-407.26645782811545
training,103,-408.0496817814803
training,104,-406.4098542249085
training,105,-402.8264585342667
training,106,-399.44124254786243
training,107,-397.4686025655958
training,108,-396.10910692864417
training,109,-392.20839428210974
training,110,-386.90440261859993
training,111,-381.3492255919926
training,112,-379.48982420377916
training,113,-375.2897173384937
training,114,-371.5373996733209
training,115,-368.9029856887308
training,116,-366.45575581793264
training,117,-358.5317488592187
training,118,-361.9580362183482
training,119,-363.76557021208225
training,120,-362.23679421541726
training,121,-361.2467143979812
training,122,-357.3717857291976
training,123,-355.84093334663595
training,124,-352.18521441285606
training,125,-348.97967228469986
training,126,-344.7787893817756
training,127,-342.7330345284257
training,128,-340.93442357543427
training,129,-339.8552675609977
training,130,-336.65275907624977
