season,stagecode,tieid,t1win,excitement,tension,comeback,competition,round,dates,team1,team2,winner,teamid1,teamid2,winnerid,aggscore,aggscore1,aggscore2,result,score1,score2,agr,aet,pk,has_events,has_odds,has_invalid_match,in_progress,in_progress_halfway
2015,cl-0q-1fqr,112c9642|6de42722,FALSE,0.1452588586569664,85.90100489593232,0.9143089700905561,UEFA Champions League,First qualifying round,"July 1, 2014 to July 8, 2014",S.P. La Fiorita,Levadia Tallinn,Levadia Tallinn,6de42722,112c9642,112c9642,0–8,0,8,S.P. La Fiorita (0–8) Levadia Tallinn,0–1,7–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-1fqr,15c5743b|2d3c1b6d,FALSE,0.880293494466653,60.50783604010199,0.5970436887868046,UEFA Champions League,First qualifying round,"July 1, 2014 to July 8, 2014",Red Imps,Havnar Bóltfelag,Havnar Bóltfelag,2d3c1b6d,15c5743b,15c5743b,3–6,3,6,Red Imps (3–6) Havnar Bóltfelag,1–1,5–2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-1fqr,9549dc95|f0e1ca42,TRUE,2.7087688156566587,53.96377680338352,0.05118107741887895,UEFA Champions League,First qualifying round,"July 1, 2014 to July 8, 2014",Santa Coloma,Banants,Santa Coloma,9549dc95,f0e1ca42,9549dc95,3–3,3,3,"Santa Coloma (3–3) Banants, Santa Coloma won on away goals",1–0,3–2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,04c011d8|9549dc95,FALSE,0.10833791226327963,87.26378916323394,0.9624597423889805,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Santa Coloma,Maccabi Tel Aviv,Maccabi Tel Aviv,9549dc95,04c011d8,04c011d8,0–3,0,3,Santa Coloma (0–3) Maccabi Tel Aviv,0–1,2–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,112c9642|ecb862be,TRUE,0.1322223666411244,87.15496935969544,0.8977058839961617,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Sparta Prague,Levadia Tallinn,Sparta Prague,ecb862be,112c9642,ecb862be,8–1,8,1,Sparta Prague (8–1) Levadia Tallinn,7–0,1–1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,15c5743b|dde3e804,TRUE,0.1524603310391348,86.103254625011175,0.9099589061863627,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Partizan,Havnar Bóltfelag,Partizan,dde3e804,15c5743b,dde3e804,6–1,6,1,Partizan (6–1) Havnar Bóltfelag,3–0,1–3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,2a6cfcb2|2aae7689,FALSE,0.4917289953505983,56.02890688072247,0.676305943857006,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Zrinjski Mostar,NK Maribor,NK Maribor,2a6cfcb2,2aae7689,2aae7689,0–2,0,2,Zrinjski Mostar (0–2) NK Maribor,0–0,2–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,3f53cc7a|44b65410,FALSE,0.15368193373577657,84.61293918045338,0.8947877477520434,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Valletta FC,Qarabağ FK,Qarabağ FK,3f53cc7a,44b65410,44b65410,0–5,0,5,Valletta FC (0–5) Qarabağ FK,0–1,4–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,488c6ba1|baae133b,TRUE,0.12841695430886235,86.53636380610345,0.9002821906293887,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Ludogorets,F91 Dudelange,Ludogorets,488c6ba1,baae133b,488c6ba1,5–1,5,1,Ludogorets (5–1) F91 Dudelange,4–0,1–1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,4c6489de|edd0d381,TRUE,0.18859796291247077,80.80801360773482,0.8531109261398941,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Dinamo Zagreb,Žalgiris,Dinamo Zagreb,edd0d381,4c6489de,edd0d381,4–0,4,0,Dinamo Zagreb (4–0) Žalgiris,2–0,0–2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,4ebc9920|d7319d80,FALSE,0.5605519581190023,62.2054160108287,0.7351114207181226,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",FK Rabotnički,HJK,HJK,4ebc9920,d7319d80,d7319d80,1–2,1,2,FK Rabotnički (1–2) HJK,0–0,2–1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,50995c1e|55ff3845,TRUE,0.2665711386940457,74.1104328999549,0.7807964196416682,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Sheriff Tiraspol,Sutjeska Nikšić,Sheriff Tiraspol,50995c1e,55ff3845,50995c1e,5–0,5,0,Sheriff Tiraspol (5–0) Sutjeska Nikšić,2–0,0–3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,5a130b7c|e24ac92e,FALSE,0.49447303322426817,64.86381072536824,0.7043071604489652,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Cliftonville FC,Debrecen,Debrecen,5a130b7c,e24ac92e,e24ac92e,0–2,0,2,Cliftonville FC (0–2) Debrecen,0–0,2–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,869a3b6a|f3d8c8b9,TRUE,0.3618531298746275,69.47218274367033,0.7558622213062812,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Malmö,FK Ventspils,Malmö,f3d8c8b9,869a3b6a,f3d8c8b9,1–0,1,0,Malmö (1–0) FK Ventspils,0–0,0–1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,8a814429|a73408a7,TRUE,0.9726247848340326,46.248273151437054,0.4882052187978715,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Legia Warsaw,St Patrick's,Legia Warsaw,a73408a7,8a814429,a73408a7,6–1,6,1,Legia Warsaw (6–1) St Patrick's,1–1,0–5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2015,cl-0q-2sqr,90eb0dcc|aed59852,FALSE,0.3615866082989943,59.61363911541844,0.6675458657348441,UEFA Champions League,Second qualifying round,"July 15, 2014 to July 23, 2014",Strømsgodset,Steaua,Steaua,90eb0dcc,aed59852,aed59852,0–3,0,3,Strømsgodset (0–3) Steaua,0–1,2–0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
