season,tie,game,hometeam,awayteam,pcthome,pctdraw,pctaway
2008,arsenal-milan,1,Arsenal,AC Milan,0.4524743312915877,0.31463446877891865,0.23289119992949367
2008,arsenal-milan,2,AC Milan,Arsenal,0.4285663837651407,0.3170812096100197,0.2543524066248396
2008,celtic-barcelona,1,Celtic,Barcelona,0.23400353212878686,0.3024045645972015,0.46359190327401173
2008,celtic-barcelona,2,Barcelona,Celtic,0.8212564036543896,0.14636924319081038,0.03237435315480002
2008,fenerbahce-sevilla,1,Fenerbahce,Sevilla,0.34209977910223816,0.3094652607010378,0.34843496019672404
2008,fenerbahce-sevilla,2,Sevilla,Fenerbahce,0.6913784064153243,0.20044257460768555,0.10817901897699025
2008,liverpool-inter,1,Liverpool,Inter,0.3793969849246231,0.3103015075376884,0.3103015075376884
2008,liverpool-inter,2,Inter,Liverpool,0.47242026965645434,0.2965814229969932,0.23099830734655244
2008,lyon-united,1,Lyon,Manchester Utd,0.27953961944220046,0.3149479712382125,0.40551240931958693
2008,lyon-united,2,Manchester Utd,Lyon,0.6826058771460817,0.20616013961447,0.1112339832394484
2008,olympiacos-chelsea,1,Olympiakos Piraeus,Chelsea,0.2154249060156047,0.2914572257858182,0.4931178681985771
2008,olympiacos-chelsea,2,Chelsea,Olympiakos Piraeus,0.7452265514443407,0.18300036832004518,0.07177308023561406
2008,roma-madrid,1,AS Roma,Real Madrid,0.37483328887703393,0.30424779941317687,0.32091891170978926
2008,roma-madrid,2,Real Madrid,AS Roma,0.540510446989528,0.28015067435280516,0.17933887865766693
2008,schalke-porto,1,Schalke,FC Porto,0.4233330416172738,0.30025538415027087,0.27641157423245527
2008,schalke-porto,2,FC Porto,Schalke,0.5425012693905888,0.2870377086722692,0.17046102193714185
2008,arsenal-liverpool,1,Arsenal,Liverpool,0.3547223322836945,0.46566429629011746,0.17961337142618813
2008,arsenal-liverpool,2,Liverpool,Arsenal,0.40435850240020993,0.3134456847464715,0.2821958128533187
2008,fenerbahce-chelsea,1,Fenerbahce,Chelsea,0.13794025143910024,0.2766122814004239,0.5854474671604759
2008,fenerbahce-chelsea,2,Chelsea,Fenerbahce,0.737864041507902,0.17427096807607018,0.08786499041602794
2008,roma-united,1,AS Roma,Manchester Utd,0.30175243983507405,0.3127434227429741,0.3855041374219518
2008,roma-united,2,Manchester Utd,AS Roma,0.5479121194350883,0.2655036339040175,0.1865842466608942
2008,schalke-barcelona,1,Schalke,Barcelona,0.08015193409462021,0.29348866093293263,0.6263594049724472
2008,schalke-barcelona,2,Barcelona,Schalke,0.6582699707719337,0.22188426215387272,0.11984576707419367
2008,barcelona-united,1,Barcelona,Manchester Utd,0.3365031767995711,0.37841638387425075,0.28508043932617816
2008,barcelona-united,2,Manchester Utd,Barcelona,0.4718772826880935,0.2921840759678598,0.23593864134404674
2008,liverpool-chelsea,1,Liverpool,Chelsea,0.5049742710120069,0.32933104631217835,0.16569468267581475
2008,liverpool-chelsea,2,Chelsea,Liverpool,0.4376209640256828,0.306903013732297,0.25547602224202026
2009,arsenal-roma,1,Arsenal,AS Roma,0.4812078380982974,0.294052237515135,0.22473992438656748
2009,arsenal-roma,2,AS Roma,Arsenal,0.3772839748947119,0.2929223407567638,0.3297936843485243
2009,atletico-porto,1,Atl. Madrid,FC Porto,0.462063156309265,0.2900793154204399,0.247857528270295
2009,atletico-porto,2,FC Porto,Atl. Madrid,0.4524221320884671,0.28174791459401544,0.2658299533175174
2009,chelsea-juventus,1,Chelsea,Juventus,0.5404144254192962,0.2877632404476907,0.17182233413301315
2009,chelsea-juventus,2,Juventus,Chelsea,0.35793734819704803,0.3046521766207885,0.33741047518216355
2009,inter-united,1,Inter,Manchester Utd,0.3864082433758587,0.31427870461236507,0.29931305201177627
2009,inter-united,2,Manchester Utd,Inter,0.5752601253760949,0.26818653863687414,0.15655333598703097
2009,lyon-barcelona,1,Lyon,Barcelona,0.2554846342143848,0.2752542785285931,0.4692610872570222
2009,lyon-barcelona,2,Barcelona,Lyon,0.6821419139437888,0.2126913899278209,0.10516669612839039
2009,madrid-liverpool,1,Real Madrid,Liverpool,0.4844626777035789,0.2919307728666481,0.223606549429773
2009,madrid-liverpool,2,Liverpool,Real Madrid,0.41410876460868623,0.29842123671800563,0.28746999867330814
2009,sporting-bayern,1,Sporting,Bayern Munich,0.34359452608572405,0.29713363104897517,0.3592718428653008
2009,sporting-bayern,2,Bayern Munich,Sporting,0.5471627380229428,0.2672741464753992,0.18556311550165783
2009,villareal-panathinaikos,1,Villarreal,Panathinaikos,0.5610728980181537,0.2678281652181586,0.17109893676368754
2009,villareal-panathinaikos,2,Panathinaikos,Villarreal,0.3580350087501189,0.29704481798511445,0.3449201732647666
2009,barcelona-bayern,1,Barcelona,Bayern Munich,0.6864390076145107,0.2028784652169152,0.11068252716857406
2009,barcelona-bayern,2,Bayern Munich,Barcelona,0.33563361856870255,0.26642103620848984,0.39794534522280767
2009,liverpool-chelsea,1,Liverpool,Chelsea,0.4295408348597618,0.31711068345351545,0.2533484816867228
2009,liverpool-chelsea,2,Chelsea,Liverpool,0.40236054107875757,0.28792772664351457,0.3097117322777279
2009,united-porto,1,Manchester Utd,FC Porto,0.6731336092058273,0.22121761804886342,0.10564877274530922
2009,united-porto,2,FC Porto,Manchester Utd,0.27318252460714904,0.278017613538249,0.44879986185460197
2009,villareal-arsenal,1,Villarreal,Arsenal,0.32314457226142734,0.30536639191047504,0.3714890358280976
2009,villareal-arsenal,2,Arsenal,Villarreal,0.6334217261563306,0.23306730180528262,0.1335109720383868
2009,barcelona-chelsea,1,Barcelona,Chelsea,0.5600488789842513,0.2614059351326759,0.17854518588307297
2009,barcelona-chelsea,2,Chelsea,Barcelona,0.34688419799590703,0.2816492592683185,0.37146654273577445
2009,united-arsenal,1,Manchester Utd,Arsenal,0.5402991739227506,0.26977748009228253,0.1899233459849669
2009,united-arsenal,2,Arsenal,Manchester Utd,0.34926692106848767,0.28663242762459473,0.36410065130691766
2010,bayern-fiorentina,1,Bayern Munich,Fiorentina,0.6716193016182588,0.2147104566342153,0.11367024174752574
2010,bayern-fiorentina,2,Fiorentina,Bayern Munich,0.3286220523874845,0.2813949310862891,0.38998301652622647
