tie,hometeam,awayteam,oddshome,oddsdraw,oddsaway,season
AS Roma - Liverpool,AS Roma,Liverpool,165,305,149,2018
Real Madrid - Bayern Munich,Real Madrid,Bayern Munich,139,309,174,2018
Bayern Munich - Real Madrid,Bayern Munich,Real Madrid,100,308,256,2018
Liverpool - AS Roma,Liverpool,AS Roma,-192,362,568,2018
Bayern Munich - Sevilla,Bayern Munich,Sevilla,-370,581,952,2018
Real Madrid - Juventus,Real Madrid,Juventus,-154,341,413,2018
AS Roma - Barcelona,AS Roma,Barcelona,372,342,-143,2018
Manchester City - Liverpool,Manchester City,Liverpool,-204,430,495,2018
Barcelona - AS Roma,Barcelona,AS Roma,-455,603,1327,2018
Liverpool - Manchester City,Liverpool,Manchester City,210,262,135,2018
Juventus - Real Madrid,Juventus,Real Madrid,200,224,159,2018
Sevilla - Bayern Munich,Sevilla,Bayern Munich,493,345,-172,2018
Barcelona - Chelsea,Barcelona,Chelsea,-208,363,619,2018
Besiktas - Bayern Munich,Besiktas,Bayern Munich,784,497,-294,2018
AS Roma - Shakhtar Donetsk,AS Roma,Shakhtar Donetsk,-152,334,413,2018
Manchester Utd - Sevilla,Manchester Utd,Sevilla,-156,308,474,2018
Manchester City - Basel,Manchester City,Basel,-357,479,1201,2018
Tottenham - Juventus,Tottenham,Juventus,125,249,237,2018
Liverpool - FC Porto,Liverpool,FC Porto,-227,371,708,2018
Paris SG - Real Madrid,Paris SG,Real Madrid,-127,358,298,2018
Sevilla - Manchester Utd,Sevilla,Manchester Utd,169,225,185,2018
Shakhtar Donetsk - AS Roma,Shakhtar Donetsk,AS Roma,160,234,188,2018
Bayern Munich - Besiktas,Bayern Munich,Besiktas,-769,860,2349,2018
Chelsea - Barcelona,Chelsea,Barcelona,252,234,125,2018
FC Porto - Liverpool,FC Porto,Liverpool,258,248,114,2018
Real Madrid - Paris SG,Real Madrid,Paris SG,125,274,215,2018
Basel - Manchester City,Basel,Manchester City,1023,433,-303,2018
Juventus - Tottenham,Juventus,Tottenham,131,202,276,2018
Atl. Madrid - Real Madrid,Atl. Madrid,Real Madrid,163,258,167,2017
Juventus - Monaco,Juventus,Monaco,-154,295,476,2017
Monaco - Juventus,Monaco,Juventus,218,227,143,2017
Real Madrid - Atl. Madrid,Real Madrid,Atl. Madrid,-123,254,412,2017
Barcelona - Juventus,Barcelona,Juventus,-204,413,509,2017
Monaco - Dortmund,Monaco,Dortmund,193,315,123,2017
Leicester - Atl. Madrid,Leicester,Atl. Madrid,341,282,-119,2017
Real Madrid - Bayern Munich,Real Madrid,Bayern Munich,161,288,154,2017
Atl. Madrid - Leicester,Atl. Madrid,Leicester,-303,428,1011,2017
Bayern Munich - Real Madrid,Bayern Munich,Real Madrid,-145,334,371,2017
Dortmund - Monaco,Dortmund,Monaco,-185,391,454,2017
Juventus - Barcelona,Juventus,Barcelona,170,235,175,2017
Atl. Madrid - Bayer Leverkusen,Atl. Madrid,Bayer Leverkusen,-189,346,553,2017
Monaco - Manchester City,Monaco,Manchester City,189,286,134,2017
Juventus - FC Porto,Juventus,FC Porto,-133,262,443,2017
Leicester - Sevilla,Leicester,Sevilla,200,260,136,2017
Barcelona - Paris SG,Barcelona,Paris SG,-189,398,458,2017
Dortmund - Benfica,Dortmund,Benfica,-357,542,967,2017
Arsenal - Bayern Munich,Arsenal,Bayern Munich,301,316,-119,2017
Napoli - Real Madrid,Napoli,Real Madrid,200,295,124,2017
FC Porto - Juventus,FC Porto,Juventus,204,198,172,2017
Sevilla - Leicester,Sevilla,Leicester,-270,418,822,2017
Bayer Leverkusen - Atl. Madrid,Bayer Leverkusen,Atl. Madrid,202,209,164,2017
Manchester City - Monaco,Manchester City,Monaco,-164,333,467,2017
Bayern Munich - Arsenal,Bayern Munich,Arsenal,-250,409,725,2017
Real Madrid - Napoli,Real Madrid,Napoli,-182,349,519,2017
Benfica - Dortmund,Benfica,Dortmund,222,236,137,2017
Paris SG - Barcelona,Paris SG,Barcelona,219,244,135,2017
Real Madrid - Manchester City,Real Madrid,Manchester City,-208,365,595,2016
Bayern Munich - Atl. Madrid,Bayern Munich,Atl. Madrid,-175,308,565,2016
Atl. Madrid - Bayern Munich,Atl. Madrid,Bayern Munich,219,196,163,2016
Manchester City - Real Madrid,Manchester City,Real Madrid,158,229,193,2016
Atl. Madrid - Barcelona,Atl. Madrid,Barcelona,214,243,136,2016
Benfica - Bayern Munich,Benfica,Bayern Munich,585,323,-189,2016
Manchester City - Paris SG,Manchester City,Paris SG,186,254,148,2016
Real Madrid - Wolfsburg,Real Madrid,Wolfsburg,-526,734,1293,2016
Paris SG - Manchester City,Paris SG,Manchester City,-145,298,420,2016
Wolfsburg - Real Madrid,Wolfsburg,Real Madrid,448,337,-164,2016
Barcelona - Atl. Madrid,Barcelona,Atl. Madrid,-192,319,625,2016
Bayern Munich - Benfica,Bayern Munich,Benfica,-435,568,1333,2016
Barcelona - Arsenal,Barcelona,Arsenal,-417,609,1055,2016
Bayern Munich - Juventus,Bayern Munich,Juventus,-217,351,677,2016
Atl. Madrid - PSV,Atl. Madrid,PSV,-323,433,1062,2016
Manchester City - Dyn. Kyiv,Manchester City,Dyn. Kyiv,-227,363,694,2016
Chelsea - Paris SG,Chelsea,Paris SG,-,-,-,2016
Zenit Petersburg - Benfica,Zenit Petersburg,Benfica,110,252,260,2016
Real Madrid - AS Roma,Real Madrid,AS Roma,-278,480,695,2016
Wolfsburg - Gent,Wolfsburg,Gent,-189,348,527,2016
Dyn. Kyiv - Manchester City,Dyn. Kyiv,Manchester City,236,215,139,2016
PSV - Atl. Madrid,PSV,Atl. Madrid,384,227,-110,2016
Arsenal - Barcelona,Arsenal,Barcelona,311,270,-109,2016
Juventus - Bayern Munich,Juventus,Bayern Munich,269,216,125,2016
AS Roma - Real Madrid,AS Roma,Real Madrid,319,280,-114,2016
Gent - Wolfsburg,Gent,Wolfsburg,-,-,-,2016
Benfica - Zenit Petersburg,Benfica,Zenit Petersburg,106,242,290,2016
Paris SG - Chelsea,Paris SG,Chelsea,-156,289,504,2016
Real Madrid - Juventus,Real Madrid,Juventus,-152,316,437,2015
Bayern Munich - Barcelona,Bayern Munich,Barcelona,154,277,168,2015
Barcelona - Bayern Munich,Barcelona,Bayern Munich,-135,296,390,2015
Juventus - Real Madrid,Juventus,Real Madrid,172,217,188,2015
Monaco - Juventus,Monaco,Juventus,315,206,112,2015
Real Madrid - Atl. Madrid,Real Madrid,Atl. Madrid,100,241,315,2015
Barcelona - Paris SG,Barcelona,Paris SG,-227,411,585,2015
Bayern Munich - FC Porto,Bayern Munich,FC Porto,-286,434,797,2015
FC Porto - Bayern Munich,FC Porto,Bayern Munich,311,225,106,2015
Paris SG - Barcelona,Paris SG,Barcelona,348,261,-114,2015
Atl. Madrid - Real Madrid,Atl. Madrid,Real Madrid,194,225,158,2015
Juventus - Monaco,Juventus,Monaco,-192,293,722,2015
Barcelona - Manchester City,Barcelona,Manchester City,-270,474,682,2015
Dortmund - Juventus,Dortmund,Juventus,125,235,239,2015
Atl. Madrid - Bayer Leverkusen,Atl. Madrid,Bayer Leverkusen,-133,261,430,2015
Monaco - Arsenal,Monaco,Arsenal,245,259,114,2015
Bayern Munich - Shakhtar Donetsk,Bayern Munich,Shakhtar Donetsk,-625,730,1778,2015
Chelsea - Paris SG,Chelsea,Paris SG,123,223,264,2015
FC Porto - Basel,FC Porto,Basel,-227,355,736,2015
Real Madrid - Schalke,Real Madrid,Schalke,-476,643,1319,2015
Arsenal - Monaco,Arsenal,Monaco,-164,281,570,2015
Bayer Leverkusen - Atl. Madrid,Bayer Leverkusen,Atl. Madrid,197,214,166,2015
Juventus - Dortmund,Juventus,Dortmund,-106,237,345,2015
Manchester City - Barcelona,Manchester City,Barcelona,289,267,-101,2015
Basel - FC Porto,Basel,FC Porto,268,218,124,2015
Schalke - Real Madrid,Schalke,Real Madrid,590,343,-200,2015
Paris SG - Chelsea,Paris SG,Chelsea,167,206,202,2015
Shakhtar Donetsk - Bayern Munich,Shakhtar Donetsk,Bayern Munich,816,409,-278,2015
Chelsea - Atl. Madrid,Chelsea,Atl. Madrid,138,223,219,2014
Bayern Munich - Real Madrid,Bayern Munich,Real Madrid,-135,330,324,2014
Real Madrid - Bayern Munich,Real Madrid,Bayern Munich,124,266,212,2014
Atl. Madrid - Chelsea,Atl. Madrid,Chelsea,-128,249,424,2014
Atl. Madrid - Barcelona,Atl. Madrid,Barcelona,269,252,104,2014
Bayern Munich - Manchester Utd,Bayern Munich,Manchester Utd,-333,529,789,2014
Chelsea - Paris SG,Chelsea,Paris SG,-120,280,330,2014
Dortmund - Real Madrid,Dortmund,Real Madrid,194,285,125,2014
Paris SG - Chelsea,Paris SG,Chelsea,108,235,278,2014
Real Madrid - Dortmund,Real Madrid,Dortmund,-256,411,691,2014
Barcelona - Atl. Madrid,Barcelona,Atl. Madrid,-182,322,515,2014
Manchester Utd - Bayern Munich,Manchester Utd,Bayern Munich,547,382,-208,2014
Dortmund - Zenit Petersburg,Dortmund,Zenit Petersburg,-286,466,719,2014
Manchester Utd - Olympiakos Piraeus,Manchester Utd,Olympiakos Piraeus,-213,359,579,2014
Chelsea - Galatasaray,Chelsea,Galatasaray,-244,369,727,2014
Real Madrid - Schalke,Real Madrid,Schalke,-370,552,918,2014
Barcelona - Manchester City,Barcelona,Manchester City,-154,361,357,2014
Paris SG - Bayer Leverkusen,Paris SG,Bayer Leverkusen,-244,383,691,2014
Atl. Madrid - AC Milan,Atl. Madrid,AC Milan,-200,346,579,2014
Bayern Munich - Arsenal,Bayern Munich,Arsenal,-333,519,769,2014
Galatasaray - Chelsea,Galatasaray,Chelsea,252,225,121,2014
Schalke - Real Madrid,Schalke,Real Madrid,501,324,-175,2014
Olympiakos Piraeus - Manchester Utd,Olympiakos Piraeus,Manchester Utd,225,221,136,2014
Zenit Petersburg - Dortmund,Zenit Petersburg,Dortmund,368,290,-133,2014
AC Milan - Atl. Madrid,AC Milan,Atl. Madrid,294,227,106,2014
Arsenal - Bayern Munich,Arsenal,Bayern Munich,420,311,-154,2014
Bayer Leverkusen - Paris SG,Bayer Leverkusen,Paris SG,239,238,122,2014
Manchester City - Barcelona,Manchester City,Barcelona,195,254,137,2014
Barcelona - Bayern Munich,Barcelona,Bayern Munich,108,297,222,2013
Real Madrid - Dortmund,Real Madrid,Dortmund,-196,409,438,2013
Dortmund - Real Madrid,Dortmund,Real Madrid,159,252,168,2013
Bayern Munich - Barcelona,Bayern Munich,Barcelona,102,263,265,2013
Barcelona - Paris SG,Barcelona,Paris SG,-238,395,623,2013
Juventus - Bayern Munich,Juventus,Bayern Munich,200,233,141,2013
Dortmund - Malaga,Dortmund,Malaga,-312,426,894,2013
Galatasaray - Real Madrid,Galatasaray,Real Madrid,392,284,-141,2013
Malaga - Dortmund,Malaga,Dortmund,227,240,124,2013
Real Madrid - Galatasaray,Real Madrid,Galatasaray,-588,677,1453,2013
Bayern Munich - Juventus,Bayern Munich,Juventus,-169,295,517,2013
Paris SG - Barcelona,Paris SG,Barcelona,336,260,-116,2013
Bayern Munich - Arsenal,Bayern Munich,Arsenal,-286,448,736,2013
Malaga - FC Porto,Malaga,FC Porto,179,223,164,2013
Barcelona - AC Milan,Barcelona,AC Milan,-357,525,851,2013
Schalke - Galatasaray,Schalke,Galatasaray,-145,309,378,2013
Juventus - Celtic,Juventus,Celtic,-227,359,674,2013
Paris SG - Valencia,Paris SG,Valencia,-106,249,312,2013
Dortmund - Shakhtar Donetsk,Dortmund,Shakhtar Donetsk,-149,301,409,2013
Manchester Utd - Real Madrid,Manchester Utd,Real Madrid,199,257,131,2013
AC Milan - Barcelona,AC Milan,Barcelona,507,304,-172,2013
Galatasaray - Schalke,Galatasaray,Schalke,133,234,216,2013
Arsenal - Bayern Munich,Arsenal,Bayern Munich,309,258,-110,2013
