fullteam|teamcode|country
AC Milan|milan|ita
APOEL|apoel|cyp
AS Roma|roma|ita
Ajax|ajax|ned
Arsenal|arsenal|eng
Atl. Madrid|atletico|esp
Barcelona|barcelona|esp
Basel|basel|sui
Bayer Leverkusen|leverkusen|ger
Bayern Munich|bayern|ger
Benfica|benfica|por
Besiktas|besiktas|tur
Bordeaux|bordeaux|fra
CSKA Moscow|cska|rus
Celtic|celtic|sco
Chelsea|chelsea|eng
Dortmund|dortmund|ger
Dyn. Kyiv|kyiv|ukr
FC Copenhagen|copenhagen|den
FC Porto|porto|por
Fenerbahce|fenerbahce|tur
Fiorentina|fiorentina|ita
Galatasaray|galatasaray|tur
Gent|gent|bel
Inter|inter|ita
Juventus|juventus|ita
Leicester|leicester|eng
Liverpool|liverpool|eng
Lyon|lyon|fra
Malaga|malaga|esp
Manchester City|city|eng
Manchester Utd|united|eng
Marseille|marseille|fra
Monaco|monaco|fra
Napoli|napoli|ita
Olympiakos Piraeus|olympiacos|gre
PSV|psv|ned
Panathinaikos|panathinaikos|gre
Paris SG|psg|fra
Real Madrid|madrid|esp
Schalke|schalke|ger
Sevilla|sevilla|spa
Shakhtar Donetsk|shakhtar|ukr
Sporting|sporting|por
Stuttgart|stuttgart|ger
Tottenham|tottenham|eng
Valencia|valencia|esp
Villarreal|villareal|esp
Wolfsburg|wolfsburg|ger
Zenit Petersburg|zenit|rus
